,Job tenure,Age,Car price,Funding amount,Default (y)
3464,0,22,24421,26794,1
5736,3,30,15945,17664,0
755,1,26,8900,9725,0
3197,4,62,4990,5447,0
1614,5,49,4450,5061,1
3554,1,21,11987,11987,1
3408,8,32,10000,10000,0
7253,2,40,13980,15434,0
6356,0,25,13900,12900,0
5048,2,21,12790,13948,1
421,2,42,9800,9800,1
44,1,47,16500,14565,0
538,5,27,17877,19822,1
6409,0,22,16000,18241,1
6110,3,38,12990,13284,0
4655,3,19,14560,16350,1
6145,0,47,8850,9443,0
1701,1,52,9990,9990,0
5064,2,26,10000,10832,1
2652,3,32,13100,13100,1
4608,0,24,6950,7080,1
7384,4,46,9000,8200,1
4245,2,67,3300,3917,0
6165,5,71,11054,11054,0
915,2,50,5700,3830,0
1562,5,51,11149,13334,0
6766,4,58,10350,11087,0
6426,2,67,16339,19779,0
5288,3,68,21377,19541,1
5768,3,43,6887,6887,0
921,2,41,14990,13552,0
1942,0,22,9500,7300,0
336,3,76,12990,14471,1
7268,2,26,9283,9283,0
4834,1,49,4550,4390,1
6105,1,46,5382,5726,0
741,0,22,4600,4764,1
5231,1,23,14269,15704,1
3837,6,56,12200,12073,1
5244,1,43,19900,18895,1
4309,4,46,16000,15592,0
2509,0,27,14110,16433,1
4522,5,26,5550,3275,0
1168,1,27,17069,20660,1
4231,1,31,7290,8305,0
5019,3,22,23700,25917,0
6695,0,57,10990,8490,0
6380,2,41,13290,12025,0
3704,2,32,10490,11629,1
2283,9,51,11980,11980,0
2840,1,27,17048,18459,0
5751,1,30,12500,10293,0
6560,1,22,25040,25154,1
118,3,20,22586,22682,1
6499,2,32,3500,3759,0
4840,0,36,7990,7595,0
5698,3,32,6550,7318,1
6798,5,24,14490,15638,0
1446,7,68,6400,4025,0
2177,7,32,19968,19968,1
4032,4,66,12990,12990,0
7226,6,31,5674,5674,0
5891,6,56,15990,15490,0
2526,1,38,12950,12950,1
3593,1,31,24990,27800,1
325,7,49,7980,6480,1
5170,4,53,12138,13274,1
5351,0,20,8500,8000,0
1616,8,67,8590,9071,0
108,4,51,7680,8897,0
218,0,22,17890,19438,1
3114,9,53,13980,15077,0
2799,2,22,12500,13603,1
4767,5,43,19999,23233,0
625,2,22,8900,8900,1
2697,1,35,17490,20034,1
3016,3,34,14400,14400,0
6599,0,30,9589,9202,0
3411,5,54,18880,20844,1
6960,6,25,10513,10513,0
4374,0,61,21800,21612,0
6340,0,28,6880,6880,0
2915,6,26,5670,6212,1
6579,8,49,6155,6743,0
5368,1,28,14990,16254,0
6563,1,39,9790,11705,1
3661,2,45,7900,6519,0
1370,1,61,24135,22871,1
5325,5,54,10630,12232,1
5782,4,20,21990,24948,1
7323,7,59,9035,9742,0
156,5,40,20849,20849,0
648,0,20,10990,12461,1
744,4,54,7495,6758,0
3995,1,55,6990,6990,1
1268,1,25,18500,20016,0
3207,5,52,5825,4825,0
1598,0,19,27250,27390,1
5090,4,47,15920,15920,0
1024,4,26,20990,22381,0
7213,3,40,9180,7866,0
7274,1,26,9950,9250,0
748,0,57,12990,14674,1
1157,4,59,12909,12011,1
1127,2,39,21970,21970,1
2333,1,21,4900,4900,0
7212,5,38,8950,6935,0
7321,9,69,11885,12000,0
2226,2,34,15840,15950,0
3248,7,26,22700,25149,0
1073,3,41,12078,12217,1
2927,4,30,22450,24689,0
2436,7,28,11990,14322,0
4192,3,36,5990,6872,0
3491,7,23,13844,12494,0
2825,6,36,29000,29000,1
1526,0,63,5698,6358,0
4011,2,34,8115,8115,1
790,1,29,12950,12984,0
1425,2,38,7500,6200,0
3439,9,35,9300,10084,0
4213,2,64,10250,9109,0
6605,8,27,15899,14665,0
4739,1,31,16220,17831,0
6104,2,22,14760,14760,0
7265,7,32,4634,4998,1
7014,3,67,12000,10000,0
6044,5,49,17500,17500,1
196,3,19,7990,4255,0
7183,2,45,12978,10963,1
5433,7,65,5490,5915,0
4707,1,42,9800,8500,0
4507,6,47,12359,14067,0
2277,2,41,15000,16617,0
7301,2,52,16700,16700,0
1773,6,58,2791,2791,0
4828,4,31,13000,14793,0
5834,4,67,16359,14359,0
5842,3,45,12901,9990,0
295,7,58,4643,4894,0
6923,2,41,7990,7081,1
500,1,56,7950,6950,1
5224,2,45,14697,13017,0
3536,4,54,12173,12173,0
3143,6,56,5037,5037,0
2404,0,19,10669,12311,1
6460,3,50,7900,8469,0
4296,0,24,15700,17466,0
2955,5,28,10500,11280,1
2123,4,67,6500,3131,0
3063,4,37,5400,4314,0
2841,0,64,20990,22486,1
6662,2,58,11490,12948,0
5002,10,74,11800,12241,0
5038,7,49,5239,5693,0
6116,2,29,22850,22850,1
2892,4,31,12790,14220,1
2540,2,45,6250,4945,0
721,1,41,15860,18346,0
862,0,18,19898,20037,1
5466,4,33,4600,3600,0
7411,3,33,7500,6000,0
7071,8,59,10109,10238,0
4269,2,43,14260,16582,0
3815,7,44,12000,10700,0
5624,5,69,9500,9500,1
1545,8,61,8238,8238,0
1515,0,25,12500,9000,0
5465,3,21,10090,11948,0
3274,1,49,2718,2890,1
6257,0,44,11750,13562,0
3075,2,43,14737,14876,0
1095,3,33,5878,5878,0
1700,0,31,9119,9119,1
283,10,71,2775,2804,1
6708,7,41,13900,12457,0
5219,3,37,10575,9434,0
1626,1,51,15305,15500,0
5844,7,41,12010,13401,1
3362,2,18,7770,8644,1
5552,4,42,29184,29561,0
4257,3,33,8866,8866,0
1313,2,38,7513,7513,0
1647,6,29,7078,6666,0
1578,1,40,17990,19571,0
354,1,27,3690,2009,0
544,0,41,8490,9371,0
6203,1,36,9690,8936,1
1803,3,67,12705,12828,0
3094,7,55,7990,7990,1
3289,1,60,5500,4500,0
4581,0,23,9650,9764,0
227,1,52,19350,22561,1
5998,8,33,25858,25972,1
5602,3,55,16490,16490,1
4407,4,33,9890,8227,0
3454,2,54,16390,17914,1
6362,2,33,13220,9887,0
25,4,67,2986,2986,0
6098,1,43,15890,15890,1
5316,3,31,16900,16394,0
1728,7,66,9659,9758,1
6690,5,47,8456,10114,1
2594,0,24,14400,15382,0
978,7,67,12200,12200,0
2492,2,29,6350,6500,0
1361,0,27,22390,24720,0
4113,4,57,5012,5282,0
3809,5,78,11940,12676,1
1025,6,71,11990,9490,0
3955,3,24,8900,8922,0
2646,4,54,15180,14180,0
4570,0,36,18990,20268,0
2248,4,49,5300,4800,0
4803,7,56,9850,9767,0
2897,8,51,10480,9778,0
2410,0,19,6290,5790,1
4103,9,50,4490,4490,0
185,0,37,10120,11306,0
7141,7,71,7950,7000,1
6648,1,37,16810,18488,0
3794,0,42,20719,23098,0
4498,0,37,12490,14046,1
1965,6,36,19400,22603,1
1873,1,23,4995,4995,0
2895,6,43,18567,18567,0
1322,1,32,4200,3759,0
4028,2,65,10895,11455,0
4273,0,21,4500,1894,0
6370,0,33,29990,29990,1
4704,0,46,11490,11490,1
7077,4,40,8500,8500,0
2464,0,32,10900,10874,0
79,0,44,5839,6067,0
5459,2,24,14000,15189,0
6904,9,28,5961,5961,0
658,6,45,8500,8191,0
7018,1,41,22300,24302,0
2805,6,26,9700,6700,0
2842,0,21,18970,19417,1
6317,6,39,16990,20762,1
3290,0,49,26926,29294,1
1488,2,50,14319,14319,0
3473,4,51,12480,10422,0
5653,3,27,20239,19638,0
5885,1,46,11250,13360,0
3545,3,27,4847,5227,0
1661,1,44,12000,12941,1
5673,3,31,18990,20897,0
640,5,37,5789,5968,0
4404,2,55,15487,16361,0
6746,3,54,22000,22000,0
6462,1,66,5287,5287,1
4110,0,58,8100,8567,0
6594,1,22,13000,10881,0
1740,5,32,9830,6830,0
3933,0,32,15600,17283,0
5242,5,54,27377,27439,0
5110,1,64,9500,8500,0
1921,3,42,8140,8854,1
6592,3,65,9990,8490,0
3685,2,65,4625,5006,0
6622,3,46,18459,17458,0
1482,2,30,10990,9490,0
2250,4,35,13000,10220,1
2881,1,27,15990,13490,0
6299,2,54,11532,11532,0
4184,1,28,24790,23504,1
203,1,62,7980,6480,0
6277,0,47,11288,12647,0
4326,2,40,23780,26125,1
4376,1,40,17490,19077,0
869,2,49,20950,20827,1
1105,4,60,5300,5806,1
4753,4,44,20600,23116,1
4127,9,77,19990,19990,1
6247,1,28,8500,9313,0
6066,0,55,11299,8799,0
1436,4,42,14900,16190,0
5643,1,19,21950,21950,1
1108,1,45,11233,8866,0
315,2,47,11490,10941,0
1468,0,48,10800,12082,0
4302,5,55,5570,6350,0
3994,4,59,16950,15816,0
6595,4,49,8990,9829,0
4092,1,25,13210,11900,0
4502,1,26,17950,16950,0
2271,0,41,13425,13425,1
7391,1,25,7738,6803,0
4870,3,23,16109,16109,0
6365,1,38,14980,17142,1
6140,5,57,15990,15318,0
3905,2,65,16900,16847,0
498,1,35,11850,11850,1
4306,1,18,6200,6845,1
1569,1,21,25490,27214,0
4625,7,45,8995,6995,0
1113,1,48,11835,11501,0
4995,0,39,9579,12756,0
7425,9,38,4502,4856,1
1051,2,49,8651,10211,0
2767,3,21,6300,4800,0
3297,6,45,4490,4842,0
5564,0,49,12190,12190,0
5230,7,26,14240,14240,0
2517,1,39,11950,12100,0
2354,6,31,10500,10500,0
7221,0,44,22000,23603,0
2656,0,31,14290,17753,1
3878,2,24,6300,4300,0
5440,0,26,9600,8400,0
3749,4,30,9970,11025,1
3218,5,65,8490,8521,0
2378,1,21,5595,5924,0
