,Job tenure,Age,Car price,Funding amount,Default (y)
3464,0,22,24421,26794,1
5736,3,30,15945,17664,0
7253,2,40,13980,15434,0
6356,0,25,13900,12900,0
3424,1,64,16790,13790,0
5048,2,21,12790,13948,1
44,1,47,16500,14565,0
538,5,27,17877,19822,1
6409,0,22,16000,18241,1
2407,5,56,28485,11881,0
6110,3,38,12990,13284,0
4655,3,19,14560,16350,1
4384,9,28,22910,25744,0
2652,3,32,13100,13100,1
6426,2,67,16339,19779,0
5288,3,68,21377,19541,1
921,2,41,14990,13552,0
4228,31,48,28390,14390,0
5231,1,23,14269,15704,1
783,11,61,14590,24245,0
5244,1,43,19900,18895,1
7322,7,35,30500,25800,0
4309,4,46,16000,15592,0
3018,1,28,15200,11785,0
584,10,31,23367,25497,1
2509,0,27,14110,16433,1
1168,1,27,17069,20660,1
2664,11,58,22080,21643,0
5019,3,22,23700,25917,0
3852,5,23,22559,19184,0
1730,18,51,25700,19800,0
2840,1,27,17048,18459,0
6223,15,50,27590,22906,0
4125,22,63,16650,15804,0
6560,1,22,25040,25154,1
7153,3,51,23100,18568,0
414,30,54,23521,13957,0
118,3,20,22586,22682,1
6798,5,24,14490,15638,0
3131,2,37,30500,28500,0
2177,7,32,19968,19968,1
180,12,59,27219,20219,0
1181,3,23,15317,11437,1
68,10,51,16900,17920,0
5891,6,56,15990,15490,0
3593,1,31,24990,27800,1
436,5,46,17900,13862,0
5684,34,50,31915,29407,0
2820,26,46,16990,15034,0
218,0,22,17890,19438,1
3114,9,53,13980,15077,0
2799,2,22,12500,13603,1
4767,5,43,19999,23233,0
3858,0,39,15490,12000,0
2697,1,35,17490,20034,1
3016,3,34,14400,14400,0
6314,8,51,15900,12897,0
3411,5,54,18880,20844,1
4374,0,61,21800,21612,0
3405,21,49,29710,21710,0
5368,1,28,14990,16254,0
1370,1,61,24135,22871,1
5782,4,20,21990,24948,1
156,5,40,20849,20849,0
1268,1,25,18500,20016,0
1598,0,19,27250,27390,1
1831,9,41,36159,11159,0
5090,4,47,15920,15920,0
3407,22,45,20970,10785,0
6301,14,55,23719,22720,0
1024,4,26,20990,22381,0
533,8,30,22650,12650,0
1127,2,39,21970,21970,1
4684,12,69,22126,12193,0
2132,7,29,17290,11928,0
2226,2,34,15840,15950,0
3248,7,26,22700,25149,0
4343,25,51,23600,14645,0
2927,4,30,22450,24689,0
2436,7,28,11990,14322,0
5480,14,30,20850,25599,0
2885,19,46,22702,16951,0
3491,7,23,13844,12494,0
2825,6,36,29000,29000,1
790,1,29,12950,12984,0
6605,8,27,15899,14665,0
4739,1,31,16220,17831,0
6104,2,22,14760,14760,0
5339,11,52,19249,22019,0
1222,10,39,16400,13400,0
6044,5,49,17500,17500,1
6076,25,49,14990,16300,0
7060,2,58,19680,12825,0
1212,2,27,30061,25061,0
1718,3,37,19400,16490,0
2277,2,41,15000,16617,0
7301,2,52,16700,16700,0
1199,28,49,28000,18000,0
3098,7,54,18760,15760,0
4828,4,31,13000,14793,0
1954,20,43,17000,17000,0
5834,4,67,16359,14359,0
1659,12,41,21300,16066,0
5224,2,45,14697,13017,0
2688,5,31,16190,13390,0
287,12,34,17500,17500,0
4296,0,24,15700,17466,0
3237,1,64,26500,20100,0
2841,0,64,20990,22486,1
6004,39,60,20666,21147,0
1366,31,58,30685,24929,0
6116,2,29,22850,22850,1
2892,4,31,12790,14220,1
721,1,41,15860,18346,0
862,0,18,19898,20037,1
2552,10,49,23448,24247,0
4269,2,43,14260,16582,0
3167,16,47,25000,25000,0
134,19,56,19160,15538,0
4041,9,33,24885,22535,0
3075,2,43,14737,14876,0
1626,1,51,15305,15500,0
1551,7,36,22739,20339,1
5552,4,42,29184,29561,0
1578,1,40,17990,19571,0
227,1,52,19350,22561,1
5998,8,33,25858,25972,1
5602,3,55,16490,16490,1
3454,2,54,16390,17914,1
6612,10,41,13980,16044,0
6098,1,43,15890,15890,1
5316,3,31,16900,16394,0
1720,14,54,24136,23136,0
2594,0,24,14400,15382,0
1361,0,27,22390,24720,0
5784,25,46,18650,14650,0
2646,4,54,15180,14180,0
4570,0,36,18990,20268,0
211,24,43,23000,9000,0
4692,19,57,19990,15781,0
6648,1,37,16810,18488,0
298,24,47,15030,15158,0
3794,0,42,20719,23098,0
4498,0,37,12490,14046,1
231,1,41,23860,20990,0
1965,6,36,19400,22603,1
2895,6,43,18567,18567,0
6929,20,41,13990,16557,0
6370,0,33,29990,29990,1
3544,22,42,14665,16068,0
5459,2,24,14000,15189,0
6907,11,76,18200,14800,0
7018,1,41,22300,24302,0
6178,11,43,13990,13990,0
1533,12,51,21200,10722,0
2842,0,21,18970,19417,1
6317,6,39,16990,20762,1
3290,0,49,26926,29294,1
1488,2,50,14319,14319,0
5653,3,27,20239,19638,0
4152,4,37,18900,15628,0
5799,0,44,30850,20980,0
6200,0,38,19480,13619,0
5673,3,31,18990,20897,0
1793,14,36,29493,25993,0
321,26,46,15300,17384,0
4404,2,55,15487,16361,0
6746,3,54,22000,22000,0
7070,12,39,23980,23980,0
2789,7,70,19377,16377,0
3933,0,32,15600,17283,0
5242,5,54,27377,27439,0
4080,35,55,23723,12548,0
6622,3,46,18459,17458,0
2881,1,27,15990,13490,0
4184,1,28,24790,23504,1
4326,2,40,23780,26125,1
3667,17,67,18500,18500,0
4376,1,40,17490,19077,0
869,2,49,20950,20827,1
4753,4,44,20600,23116,1
4127,9,77,19990,19990,1
5277,14,49,16500,14821,0
1436,4,42,14900,16190,0
4085,33,49,19630,13532,0
5628,9,70,21300,18300,1
5643,1,19,21950,21950,1
4217,6,28,22368,19483,0
2609,8,51,24740,16740,0
6058,10,44,15990,15990,0
4284,8,52,24711,28946,1
59,28,48,29139,9139,0
5921,11,74,18740,18838,1
3994,4,59,16950,15816,0
4092,1,25,13210,11900,0
4502,1,26,17950,16950,0
2271,0,41,13425,13425,1
3450,2,30,24500,14500,0
4870,3,23,16109,16109,0
2700,2,57,27280,18900,0
7201,4,33,18390,11146,0
6365,1,38,14980,17142,1
6140,5,57,15990,15318,0
3905,2,65,16900,16847,0
1340,21,38,23580,13580,0
1569,1,21,25490,27214,0
937,4,50,15800,12000,0
5230,7,26,14240,14240,0
7221,0,44,22000,23603,0
2656,0,31,14290,17753,1
5623,19,39,22930,22930,0
2685,1,30,15900,15230,0
192,36,56,21400,15925,0
62,4,23,19890,16747,0
1426,4,59,28180,19458,0
3306,23,50,21260,21900,0
4434,8,24,13990,15958,1
589,0,59,20500,21582,0
2303,1,21,13890,16162,0
7200,14,38,14950,16950,0
5356,13,42,20289,20289,0
5798,1,44,16990,16990,0
2288,2,35,14420,13247,0
32,4,53,14900,13500,0
4726,23,49,21989,21989,0
1111,6,47,17300,13300,0
5054,3,25,14990,12510,0
1538,17,48,22300,21300,0
1575,5,70,20830,14184,0
2633,2,25,34500,29207,1
1163,38,55,18939,17066,0
6321,0,39,21490,19290,0
4500,25,58,15617,17055,0
3153,3,52,16400,12911,0
4357,9,58,13990,14950,0
5970,0,32,13600,15329,1
2726,0,50,14985,16559,0
626,5,21,18800,20539,0
1429,18,49,20990,19757,0
1234,1,39,17990,20426,1
2687,0,24,26490,29023,1
6912,4,27,17590,15719,0
676,5,39,19300,8500,0
1337,11,48,19479,18979,0
194,2,29,15000,14724,0
3245,10,42,14525,14536,0
3168,29,56,20000,19712,0
841,1,26,13064,14525,0
2572,0,27,16140,12940,0
3655,17,54,18889,18889,1
4240,5,34,20980,15780,0
2103,6,47,15900,13300,0
6870,2,34,25877,25877,1
6189,10,66,30970,19970,0
5454,37,56,27500,27500,0
142,0,38,24880,27364,1
2126,33,51,19990,22863,0
5168,7,55,13750,14551,1
2575,0,64,23175,20865,1
6942,1,36,15990,18850,0
4291,2,26,20100,16100,0
4731,2,31,14115,13275,0
4087,1,26,15300,17038,0
4698,2,28,15890,15890,0
747,1,22,25658,25772,1
1261,2,35,30070,27441,1
6751,1,40,14500,16131,0
6651,12,44,31000,25000,0
2559,1,25,20990,23877,1
1430,28,46,17100,14300,0
7258,2,25,27750,26449,1
4730,14,44,24390,7690,0
5196,9,30,15990,14143,0
4105,5,30,16900,12148,0
3000,4,30,16900,20346,0
303,0,23,25280,20280,1
93,9,34,19990,14190,0
4629,5,29,12490,13871,0
1554,3,54,18930,18930,1
2036,7,47,14800,13649,0
2476,10,34,16900,16990,1
2910,13,39,13900,15076,0
585,1,23,12990,12623,1
157,15,57,26790,15790,0
7421,8,44,17980,18719,0
1009,10,58,24500,16329,0
1971,23,63,19500,15477,0
1467,1,65,19690,9820,0
465,1,41,20950,21800,0
7297,40,59,39136,21650,0
1649,2,42,13870,15366,0
6602,16,41,16300,13800,0
3298,0,35,15000,15000,1
6759,20,43,13620,14907,0
5195,6,41,13750,13750,0
2906,0,18,12800,13908,1
1992,25,54,20450,16837,0
3718,6,31,14300,13093,0
3949,3,22,13333,11747,0
847,0,25,26000,29175,1
4442,6,25,13990,13990,0
2319,4,66,22980,11680,0
2683,2,21,22040,25333,1
1894,1,27,14933,13499,0
2533,2,54,18244,10241,0
103,0,41,16379,15374,1
861,2,24,15340,16688,1
5929,20,51,27750,12950,0
3049,20,36,24990,24990,0
4487,3,39,21475,20327,0
1880,9,50,14351,14351,0
1270,20,48,18390,15572,0
1499,18,57,20990,15923,0
3559,2,20,13990,15289,1
3698,5,24,19100,17990,0
