Index,Cluster
4362,0
3464,1
4727,0
2644,0
5736,1
755,1
6734,0
3197,1
1614,1
3554,1
6400,0
3408,1
7253,1
6356,1
3424,0
5048,1
421,1
44,1
538,1
6409,1
443,0
2407,0
6110,1
4655,1
6145,1
1255,0
1701,1
654,0
319,0
4384,0
5077,0
5064,1
2652,1
4608,1
7384,1
4245,1
6165,1
915,1
2669,0
6992,0
3768,0
2689,0
1562,1
6766,1
6426,1
2516,0
5288,1
6013,0
5768,1
3662,0
6218,0
921,1
1942,1
336,1
7268,1
4834,1
6105,1
741,1
4228,0
3752,0
5231,1
1041,0
3837,1
2883,0
783,0
5244,1
7322,0
4309,1
5740,0
1580,0
3018,0
584,0
2509,1
506,0
3102,0
4522,1
88,0
1168,1
1928,0
4231,1
2664,0
5019,1
3852,0
3583,0
5532,0
6695,1
6380,1
1730,0
3704,1
2283,1
1033,0
2840,1
5751,1
6223,0
4125,0
6560,1
7153,0
414,0
751,0
118,1
6499,1
4840,1
5698,1
3892,0
7207,0
6798,1
3131,0
4489,0
2577,0
809,0
1446,1
6758,0
2177,1
180,0
4032,1
1181,0
7348,0
7226,1
2418,0
1223,0
6529,0
68,0
198,0
5891,1
2526,1
4436,0
3593,1
436,0
325,1
1083,0
5684,0
2820,0
4128,0
84,0
5170,1
5351,1
1616,1
108,1
5992,0
218,1
3114,1
2799,1
4767,1
3858,0
625,1
2697,1
3016,1
6599,1
6314,0
5702,0
3411,1
5542,0
2447,0
3532,0
644,0
6960,1
4374,1
6340,1
7316,0
3405,0
7389,0
2915,1
2439,0
6579,1
6050,0
5368,1
6563,1
3661,1
1370,1
5325,1
5782,1
7323,1
4998,0
156,1
648,1
5162,0
4538,0
744,1
3995,1
1268,1
1432,0
5321,0
3207,1
1598,1
4371,0
1831,0
5090,1
6382,0
3407,0
2550,0
6301,0
4526,0
1024,1
3276,0
533,0
7213,1
1357,0
7274,1
748,1
1157,1
1127,1
5333,0
2333,1
3346,0
4684,0
7212,1
7321,1
4733,0
2132,0
2146,0
2798,0
4480,0
2226,1
461,0
3248,1
1073,1
3641,0
4343,0
2927,1
1539,0
7223,0
2436,1
4192,1
2602,0
5480,0
2885,0
1451,0
3491,1
5613,0
1723,0
2825,1
1526,1
4011,1
790,1
7199,0
1425,1
1847,0
3439,1
4213,1
6605,1
4739,1
6133,0
838,0
6104,1
7265,1
5339,0
1222,0
5291,0
7014,1
1277,0
6044,1
6076,0
196,1
7183,1
7060,0
5433,1
4707,1
3615,0
1212,0
1718,0
4507,1
4504,0
2277,1
7301,1
2207,0
3907,0
1199,0
3098,0
2266,0
1773,1
4828,1
5839,0
1954,0
5834,1
2851,0
1659,0
5842,1
295,1
6923,1
500,1
2299,0
5224,1
485,0
3536,1
3143,1
2404,1
2688,0
1587,0
2934,0
287,0
6460,1
6600,0
4296,1
2955,1
2123,1
5823,0
3063,1
3237,0
3164,0
2841,1
6662,1
6004,0
1366,0
5002,1
5038,1
6116,1
2892,1
2540,1
721,1
862,1
2570,0
2552,0
1672,0
5466,1
4877,0
7411,1
7071,1
4269,1
2232,0
3167,0
134,0
5681,0
4630,0
1292,0
3815,1
2100,0
1480,0
5624,1
1545,1
5013,0
1515,1
41,0
4041,0
5465,1
430,0
3274,1
6257,1
3075,1
3032,0
1095,1
4290,0
1700,1
5395,0
283,1
970,0
6708,1
5219,1
1626,1
5844,1
2815,0
1551,0
3656,0
3362,1
706,0
5552,1
4257,1
1313,1
1647,1
4567,0
1578,1
1334,0
354,1
544,1
1056,0
6203,1
1444,0
5461,0
5189,0
1803,1
3094,1
3289,1
4581,1
227,1
4004,0
5998,1
5602,1
4407,1
1078,0
3454,1
6362,1
6612,0
25,1
6098,1
5316,1
1201,0
1728,1
1720,0
6690,1
2594,1
978,1
2492,1
1361,1
5784,0
4113,1
348,0
3809,1
1025,1
3955,1
1918,0
2646,1
4570,1
211,0
2248,1
4803,1
2897,1
2410,1
4103,1
4692,0
4506,0
185,1
1535,0
7141,1
511,0
701,0
6648,1
298,0
3794,1
7271,0
1589,0
4498,1
231,0
3666,0
1965,1
5132,0
1873,1
3477,0
2166,0
736,0
2445,0
276,0
2895,1
1322,1
4028,1
5349,0
6929,0
4367,0
1096,0
4273,1
6370,1
4704,1
2676,0
4554,0
3544,0
2477,0
7077,1
2464,1
79,1
5459,1
6907,0
611,0
6904,1
658,1
1817,0
7018,1
1610,0
1192,0
803,0
6178,0
2805,1
3929,0
1533,0
2868,0
2842,1
6317,1
3290,1
1488,1
3473,1
5653,1
4152,0
5957,0
5885,1
3545,1
1661,1
5799,0
6200,0
5418,0
5673,1
640,1
6567,0
1793,0
321,0
4404,1
6746,1
7070,0
6462,1
4110,1
6594,1
2651,0
2789,0
1740,1
3933,1
5242,1
4080,0
5110,1
1921,1
6589,0
5171,0
5455,0
2972,0
6592,1
3685,1
1519,0
6622,1
1482,1
2250,1
7302,0
2881,1
6299,1
4184,1
203,1
6277,1
415,0
6062,0
4326,1
3667,0
397,0
4376,1
869,1
1105,1
4753,1
4127,1
6247,1
5277,0
4251,0
6066,1
1436,1
4085,0
4722,0
5804,0
599,0
1023,0
5628,0
3592,0
4668,0
5643,1
4217,0
4303,0
1108,1
355,0
315,1
3210,0
2765,0
2609,0
6658,0
6058,0
4284,0
1468,1
4302,1
621,0
5282,0
5967,0
59,0
5921,0
3994,1
6595,1
4092,1
4502,1
2323,0
3425,0
2271,1
7391,1
4264,0
3450,0
4870,1
2700,0
7201,0
3043,0
996,0
6365,1
6140,1
3905,1
3434,0
498,1
4306,1
1340,0
3680,0
1569,1
4625,1
2787,0
937,0
1113,1
3001,0
4995,1
7425,1
1051,1
2767,1
3297,1
5564,1
5230,1
2517,1
2354,1
7221,1
2656,1
1767,0
3878,1
5440,1
5243,0
3749,1
7067,0
4861,0
3218,1
5623,0
2378,1
6026,0
5281,0
2685,1
3366,1
192,0
4053,1
62,0
1426,0
2641,0
3306,0
4917,0
4017,0
4434,1
4525,0
589,1
4450,0
2303,1
5780,1
5629,1
3107,0
7200,0
2373,0
7092,1
2781,0
3431,0
5356,0
6638,1
678,1
5798,1
4774,0
5746,0
2288,1
32,1
4726,0
1111,0
469,0
5054,1
1538,0
1575,0
5522,0
2633,0
96,1
6244,1
4552,1
1129,0
6952,0
1979,1
3484,0
1671,0
972,0
7290,1
1163,0
339,1
6321,1
4500,0
1116,1
5151,0
6473,1
4329,0
5964,1
3153,0
3395,0
1777,0
4357,1
5970,1
7428,1
4985,1
2726,1
5380,0
743,1
626,1
2997,0
58,0
5995,1
3313,1
2398,0
2094,0
2916,1
1429,0
1234,1
7378,1
2687,1
6912,1
4165,1
0,0
2957,1
5121,1
676,0
3649,0
1337,0
194,1
6922,1
3245,0
6001,0
1669,0
3168,0
2670,0
841,1
3089,1
2572,1
3260,1
3932,0
4209,1
418,0
3655,0
387,1
6274,0
4240,0
1391,0
2103,0
3181,1
6216,0
7180,0
4122,1
6984,1
3570,0
4951,0
6652,1
6870,1
3770,1
3693,0
6479,0
3296,1
6189,0
318,0
5454,0
5538,1
2576,0
3021,1
142,1
2126,0
4545,1
5168,1
2575,0
4899,1
3475,1
6048,1
6003,0
965,0
6942,1
4002,0
4291,0
4731,1
4087,1
4698,1
6587,0
1215,0
5007,0
2510,0
747,1
1261,0
7310,1
6134,1
6751,1
2377,1
4180,1
4101,0
3805,0
6995,1
5598,1
6651,0
1287,0
5184,0
6789,1
4229,0
5636,1
2559,1
1430,0
2705,0
7222,1
7258,1
4730,0
6159,1
5928,1
1703,1
5196,0
2498,0
4105,0
7252,1
6631,0
4771,0
2619,1
4427,0
3196,1
1094,1
2412,0
3000,1
303,0
93,0
3455,0
543,1
3534,0
