,Job tenure,Age,Car price,Funding amount,Default (y)
3464,0,22,24421,26794,1
2644,24,61,9243,10285,1
6734,1,48,15990,6080,0
1614,5,49,4450,5061,1
3554,1,21,11987,11987,1
6400,31,53,5900,5900,0
3408,8,32,10000,10000,0
3424,1,64,16790,13790,0
5048,2,21,12790,13948,1
421,2,42,9800,9800,1
44,1,47,16500,14565,0
538,5,27,17877,19822,1
6409,0,22,16000,18241,1
443,17,83,12490,12490,1
2407,5,56,28485,11881,0
4655,3,19,14560,16350,1
1255,6,26,12000,8000,0
654,16,36,11999,9638,0
5077,28,52,12800,6443,0
5064,2,26,10000,10832,1
2652,3,32,13100,13100,1
4608,0,24,6950,7080,1
7384,4,46,9000,8200,1
4245,2,67,3300,3917,0
915,2,50,5700,3830,0
6992,26,46,9990,6999,0
3768,23,41,10990,10990,0
2689,28,58,11060,10270,0
2516,8,50,13485,10385,0
5288,3,68,21377,19541,1
6013,23,50,10900,4689,0
3662,11,71,2830,2830,0
6218,11,41,6390,4000,0
921,2,41,14990,13552,0
336,3,76,12990,14471,1
4834,1,49,4550,4390,1
741,0,22,4600,4764,1
4228,31,48,28390,14390,0
3752,27,55,17550,7350,0
5231,1,23,14269,15704,1
1041,32,57,5254,5547,0
3837,6,56,12200,12073,1
2883,9,40,11990,10990,0
5244,1,43,19900,18895,1
5740,18,54,5971,6138,0
1580,3,41,5600,1501,0
3018,1,28,15200,11785,0
584,10,31,23367,25497,1
2509,0,27,14110,16433,1
3102,11,46,4084,4342,0
88,39,63,15990,13142,0
1168,1,27,17069,20660,1
1928,5,29,9500,4827,0
2664,11,58,22080,21643,0
3583,18,73,3659,3659,0
5532,20,53,11650,11650,0
6695,0,57,10990,8490,0
1730,18,51,25700,19800,0
3704,2,32,10490,11629,1
2283,9,51,11980,11980,0
1033,19,49,9000,9650,0
6223,15,50,27590,22906,0
6560,1,22,25040,25154,1
414,30,54,23521,13957,0
751,22,60,10490,12019,1
118,3,20,22586,22682,1
5698,3,32,6550,7318,1
3892,29,49,21900,3833,1
7207,13,67,7900,9847,1
4489,0,63,6800,3800,0
2577,35,58,7207,7598,0
809,15,34,10990,10990,0
1446,7,68,6400,4025,0
2177,7,32,19968,19968,1
180,12,59,27219,20219,0
1181,3,23,15317,11437,1
7348,16,48,11040,11967,0
2418,25,55,4140,4140,0
1223,11,49,15990,11570,0
198,13,48,10360,10094,0
5891,6,56,15990,15490,0
2526,1,38,12950,12950,1
