,Job tenure,Age,Car price,Funding amount,Default (y)
3464,0,22,24421,26794,1
5736,3,30,15945,17664,0
755,1,26,8900,9725,0
3554,1,21,11987,11987,1
3408,8,32,10000,10000,0
7253,2,40,13980,15434,0
6356,0,25,13900,12900,0
5048,2,21,12790,13948,1
421,2,42,9800,9800,1
44,1,47,16500,14565,0
538,5,27,17877,19822,1
6409,0,22,16000,18241,1
6110,3,38,12990,13284,0
4655,3,19,14560,16350,1
6145,0,47,8850,9443,0
1255,6,26,12000,8000,0
319,12,37,9990,12131,0
4384,9,28,22910,25744,0
5064,2,26,10000,10832,1
2652,3,32,13100,13100,1
4608,0,24,6950,7080,1
921,2,41,14990,13552,0
1942,0,22,9500,7300,0
7268,2,26,9283,9283,0
741,0,22,4600,4764,1
5231,1,23,14269,15704,1
2883,9,40,11990,10990,0
5244,1,43,19900,18895,1
7322,7,35,30500,25800,0
4309,4,46,16000,15592,0
3018,1,28,15200,11785,0
584,10,31,23367,25497,1
2509,0,27,14110,16433,1
4522,5,26,5550,3275,0
1168,1,27,17069,20660,1
1928,5,29,9500,4827,0
4231,1,31,7290,8305,0
5019,3,22,23700,25917,0
3852,5,23,22559,19184,0
6380,2,41,13290,12025,0
3704,2,32,10490,11629,1
2840,1,27,17048,18459,0
5751,1,30,12500,10293,0
6223,15,50,27590,22906,0
6560,1,22,25040,25154,1
7153,3,51,23100,18568,0
118,3,20,22586,22682,1
6499,2,32,3500,3759,0
4840,0,36,7990,7595,0
5698,3,32,6550,7318,1
6798,5,24,14490,15638,0
3131,2,37,30500,28500,0
809,15,34,10990,10990,0
6758,1,24,8069,3440,0
2177,7,32,19968,19968,1
1181,3,23,15317,11437,1
7226,6,31,5674,5674,0
2526,1,38,12950,12950,1
3593,1,31,24990,27800,1
436,5,46,17900,13862,0
5351,0,20,8500,8000,0
218,0,22,17890,19438,1
2799,2,22,12500,13603,1
4767,5,43,19999,23233,0
3858,0,39,15490,12000,0
625,2,22,8900,8900,1
2697,1,35,17490,20034,1
3016,3,34,14400,14400,0
6599,0,30,9589,9202,0
3411,5,54,18880,20844,1
6960,6,25,10513,10513,0
4374,0,61,21800,21612,0
6340,0,28,6880,6880,0
2915,6,26,5670,6212,1
2439,7,39,12800,5877,0
5368,1,28,14990,16254,0
6563,1,39,9790,11705,1
1370,1,61,24135,22871,1
5782,4,20,21990,24948,1
156,5,40,20849,20849,0
648,0,20,10990,12461,1
1268,1,25,18500,20016,0
1598,0,19,27250,27390,1
1831,9,41,36159,11159,0
5090,4,47,15920,15920,0
1024,4,26,20990,22381,0
533,8,30,22650,12650,0
7213,3,40,9180,7866,0
7274,1,26,9950,9250,0
1127,2,39,21970,21970,1
2333,1,21,4900,4900,0
7212,5,38,8950,6935,0
2132,7,29,17290,11928,0
2798,0,32,9990,5990,0
2226,2,34,15840,15950,0
3248,7,26,22700,25149,0
1073,3,41,12078,12217,1
2927,4,30,22450,24689,0
2436,7,28,11990,14322,0
4192,3,36,5990,6872,0
5480,14,30,20850,25599,0
3491,7,23,13844,12494,0
2825,6,36,29000,29000,1
4011,2,34,8115,8115,1
790,1,29,12950,12984,0
7199,8,35,9900,6050,0
1425,2,38,7500,6200,0
3439,9,35,9300,10084,0
6605,8,27,15899,14665,0
4739,1,31,16220,17831,0
6104,2,22,14760,14760,0
7265,7,32,4634,4998,1
1222,10,39,16400,13400,0
6044,5,49,17500,17500,1
196,3,19,7990,4255,0
7183,2,45,12978,10963,1
4707,1,42,9800,8500,0
1212,2,27,30061,25061,0
1718,3,37,19400,16490,0
2277,2,41,15000,16617,0
7301,2,52,16700,16700,0
3907,2,26,10700,6147,0
4828,4,31,13000,14793,0
5839,1,32,12234,6635,0
1659,12,41,21300,16066,0
5842,3,45,12901,9990,0
6923,2,41,7990,7081,1
5224,2,45,14697,13017,0
2404,0,19,10669,12311,1
2688,5,31,16190,13390,0
287,12,34,17500,17500,0
4296,0,24,15700,17466,0
2955,5,28,10500,11280,1
3063,4,37,5400,4314,0
6116,2,29,22850,22850,1
2892,4,31,12790,14220,1
721,1,41,15860,18346,0
862,0,18,19898,20037,1
2552,10,49,23448,24247,0
5466,4,33,4600,3600,0
7411,3,33,7500,6000,0
4269,2,43,14260,16582,0
3167,16,47,25000,25000,0
1515,0,25,12500,9000,0
4041,9,33,24885,22535,0
5465,3,21,10090,11948,0
6257,0,44,11750,13562,0
3075,2,43,14737,14876,0
1095,3,33,5878,5878,0
1700,0,31,9119,9119,1
6708,7,41,13900,12457,0
5219,3,37,10575,9434,0
1626,1,51,15305,15500,0
5844,7,41,12010,13401,1
1551,7,36,22739,20339,1
3362,2,18,7770,8644,1
5552,4,42,29184,29561,0
4257,3,33,8866,8866,0
1313,2,38,7513,7513,0
1647,6,29,7078,6666,0
1578,1,40,17990,19571,0
1334,1,26,7400,2157,1
354,1,27,3690,2009,0
544,0,41,8490,9371,0
6203,1,36,9690,8936,1
4581,0,23,9650,9764,0
227,1,52,19350,22561,1
5998,8,33,25858,25972,1
4407,4,33,9890,8227,0
3454,2,54,16390,17914,1
6362,2,33,13220,9887,0
6612,10,41,13980,16044,0
6098,1,43,15890,15890,1
5316,3,31,16900,16394,0
2594,0,24,14400,15382,0
2492,2,29,6350,6500,0
1361,0,27,22390,24720,0
3955,3,24,8900,8922,0
1918,0,24,8800,1800,1
4570,0,36,18990,20268,0
2410,0,19,6290,5790,1
185,0,37,10120,11306,0
6648,1,37,16810,18488,0
3794,0,42,20719,23098,0
4498,0,37,12490,14046,1
231,1,41,23860,20990,0
3666,6,28,8600,5370,0
1965,6,36,19400,22603,1
1873,1,23,4995,4995,0
2895,6,43,18567,18567,0
1322,1,32,4200,3759,0
4273,0,21,4500,1894,0
6370,0,33,29990,29990,1
4704,0,46,11490,11490,1
2477,0,37,14700,11200,0
7077,4,40,8500,8500,0
2464,0,32,10900,10874,0
5459,2,24,14000,15189,0
6904,9,28,5961,5961,0
7018,1,41,22300,24302,0
2805,6,26,9700,6700,0
2842,0,21,18970,19417,1
6317,6,39,16990,20762,1
3290,0,49,26926,29294,1
1488,2,50,14319,14319,0
5653,3,27,20239,19638,0
4152,4,37,18900,15628,0
5885,1,46,11250,13360,0
3545,3,27,4847,5227,0
1661,1,44,12000,12941,1
5799,0,44,30850,20980,0
6200,0,38,19480,13619,0
5673,3,31,18990,20897,0
640,5,37,5789,5968,0
1793,14,36,29493,25993,0
6746,3,54,22000,22000,0
7070,12,39,23980,23980,0
6594,1,22,13000,10881,0
2651,12,34,8500,9426,0
1740,5,32,9830,6830,0
3933,0,32,15600,17283,0
5242,5,54,27377,27439,0
1921,3,42,8140,8854,1
6622,3,46,18459,17458,0
1482,2,30,10990,9490,0
2250,4,35,13000,10220,1
2881,1,27,15990,13490,0
4184,1,28,24790,23504,1
6277,0,47,11288,12647,0
4326,2,40,23780,26125,1
4376,1,40,17490,19077,0
869,2,49,20950,20827,1
4753,4,44,20600,23116,1
6247,1,28,8500,9313,0
4251,9,31,10150,6168,0
1436,4,42,14900,16190,0
1023,0,42,12290,8790,0
5643,1,19,21950,21950,1
4217,6,28,22368,19483,0
1108,1,45,11233,8866,0
315,2,47,11490,10941,0
2609,8,51,24740,16740,0
6058,10,44,15990,15990,0
4284,8,52,24711,28946,1
1468,0,48,10800,12082,0
4092,1,25,13210,11900,0
4502,1,26,17950,16950,0
2271,0,41,13425,13425,1
7391,1,25,7738,6803,0
3450,2,30,24500,14500,0
4870,3,23,16109,16109,0
2700,2,57,27280,18900,0
7201,4,33,18390,11146,0
6365,1,38,14980,17142,1
498,1,35,11850,11850,1
4306,1,18,6200,6845,1
1569,1,21,25490,27214,0
1113,1,48,11835,11501,0
4995,0,39,9579,12756,0
2767,3,21,6300,4800,0
5564,0,49,12190,12190,0
5230,7,26,14240,14240,0
2517,1,39,11950,12100,0
2354,6,31,10500,10500,0
7221,0,44,22000,23603,0
2656,0,31,14290,17753,1
3878,2,24,6300,4300,0
5440,0,26,9600,8400,0
3749,4,30,9970,11025,1
5623,19,39,22930,22930,0
2378,1,21,5595,5924,0
2685,1,30,15900,15230,0
3366,2,37,13402,11146,0
4053,0,34,4100,4100,0
62,4,23,19890,16747,0
2641,5,31,8700,4995,0
4434,8,24,13990,15958,1
589,0,59,20500,21582,0
2303,1,21,13890,16162,0
5780,0,32,4500,4500,0
7200,14,38,14950,16950,0
5356,13,42,20289,20289,0
6638,3,31,10990,9490,0
5798,1,44,16990,16990,0
2288,2,35,14420,13247,0
1111,6,47,17300,13300,0
5054,3,25,14990,12510,0
2633,2,25,34500,29207,1
96,5,41,12968,12968,0
4552,2,28,7529,8164,0
1979,0,20,11365,12225,1
1671,3,35,11940,5435,0
7290,8,39,12510,13200,0
339,0,21,8684,9259,1
6321,0,39,21490,19290,0
1116,2,28,7990,5490,0
5970,0,32,13600,15329,1
7428,6,32,12300,11300,0
2726,0,50,14985,16559,0
743,6,40,6999,7989,0
626,5,21,18800,20539,0
1234,1,39,17990,20426,1
2687,0,24,26490,29023,1
6912,4,27,17590,15719,0
5121,4,39,10400,11432,1
676,5,39,19300,8500,0
1337,11,48,19479,18979,0
194,2,29,15000,14724,0
3245,10,42,14525,14536,0
841,1,26,13064,14525,0
3089,2,35,11200,12433,0
2572,0,27,16140,12940,0
4209,0,26,6700,3433,0
4240,5,34,20980,15780,0
2103,6,47,15900,13300,0
