,Job tenure,Age,Car price,Funding amount,Default (y)
4362,24,82,6680,6300,0
3464,0,22,24421,26794,1
755,1,26,8900,9725,0
3197,4,62,4990,5447,0
3554,1,21,11987,11987,1
6400,31,53,5900,5900,0
3408,8,32,10000,10000,0
5048,2,21,12790,13948,1
538,5,27,17877,19822,1
6409,0,22,16000,18241,1
443,17,83,12490,12490,1
4655,3,19,14560,16350,1
6145,0,47,8850,9443,0
1255,6,26,12000,8000,0
1701,1,52,9990,9990,0
5077,28,52,12800,6443,0
2652,3,32,13100,13100,1
4245,2,67,3300,3917,0
6165,5,71,11054,11054,0
915,2,50,5700,3830,0
2669,17,70,6700,5300,0
6992,26,46,9990,6999,0
6766,4,58,10350,11087,0
5288,3,68,21377,19541,1
6013,23,50,10900,4689,0
5768,3,43,6887,6887,0
3662,11,71,2830,2830,0
6218,11,41,6390,4000,0
1942,0,22,9500,7300,0
336,3,76,12990,14471,1
7268,2,26,9283,9283,0
6105,1,46,5382,5726,0
5231,1,23,14269,15704,1
1041,32,57,5254,5547,0
3837,6,56,12200,12073,1
5244,1,43,19900,18895,1
5740,18,54,5971,6138,0
1580,3,41,5600,1501,0
584,10,31,23367,25497,1
2509,0,27,14110,16433,1
506,19,60,7350,7500,0
3102,11,46,4084,4342,0
4522,5,26,5550,3275,0
1168,1,27,17069,20660,1
1928,5,29,9500,4827,0
4231,1,31,7290,8305,0
3583,18,73,3659,3659,0
6695,0,57,10990,8490,0
1033,19,49,9000,9650,0
5751,1,30,12500,10293,0
6560,1,22,25040,25154,1
118,3,20,22586,22682,1
6499,2,32,3500,3759,0
4840,0,36,7990,7595,0
3892,29,49,21900,3833,1
4489,0,63,6800,3800,0
2577,35,58,7207,7598,0
1446,7,68,6400,4025,0
6758,1,24,8069,3440,0
2177,7,32,19968,19968,1
1181,3,23,15317,11437,1
7226,6,31,5674,5674,0
2418,25,55,4140,4140,0
6529,18,45,7870,9454,0
198,13,48,10360,10094,0
2526,1,38,12950,12950,1
4436,10,60,11200,5200,0
3593,1,31,24990,27800,1
1083,14,75,4899,4899,0
4128,19,38,5890,6400,0
84,17,53,9800,9800,0
5170,4,53,12138,13274,1
5351,0,20,8500,8000,0
1616,8,67,8590,9071,0
108,4,51,7680,8897,0
218,0,22,17890,19438,1
2799,2,22,12500,13603,1
2697,1,35,17490,20034,1
6599,0,30,9589,9202,0
3411,5,54,18880,20844,1
3532,15,48,5000,4000,0
644,21,76,13150,8350,0
6960,6,25,10513,10513,0
6340,0,28,6880,6880,0
7316,20,47,6900,6464,0
2439,7,39,12800,5877,0
6579,8,49,6155,6743,0
6050,11,72,10490,10490,0
3661,2,45,7900,6519,0
1370,1,61,24135,22871,1
5782,4,20,21990,24948,1
7323,7,59,9035,9742,0
4998,13,75,9850,9068,0
744,4,54,7495,6758,0
1432,2,47,12110,8710,0
5321,25,51,3608,3608,0
3207,5,52,5825,4825,0
1598,0,19,27250,27390,1
6382,24,45,7990,9447,0
7213,3,40,9180,7866,0
1357,15,66,5901,5901,0
7274,1,26,9950,9250,0
748,0,57,12990,14674,1
1157,4,59,12909,12011,1
1127,2,39,21970,21970,1
5333,9,39,9510,3769,0
2333,1,21,4900,4900,0
3346,25,42,11490,6640,0
7212,5,38,8950,6935,0
4733,13,49,5924,6368,0
2146,29,57,4990,4249,0
2798,0,32,9990,5990,0
4480,11,50,9700,5037,0
461,18,55,9331,10336,0
1073,3,41,12078,12217,1
1539,21,50,4750,4750,0
4192,3,36,5990,6872,0
2602,27,52,9990,5990,0
1451,26,56,8500,8891,0
2825,6,36,29000,29000,1
1526,0,63,5698,6358,0
7199,8,35,9900,6050,0
1425,2,38,7500,6200,0
1847,16,35,5800,6255,0
3439,9,35,9300,10084,0
4213,2,64,10250,9109,0
6133,7,60,5360,1948,0
838,15,36,8048,8048,0
5291,15,77,9259,3259,0
7014,3,67,12000,10000,0
6044,5,49,17500,17500,1
