,Job tenure,Age,Car price,Funding amount,Down payment,Loan duration,Default (y)
4362,24,82,6680,6300,0,36,0
4727,23,77,13960,12981,0,48,0
5736,3,30,15945,17664,0,96,0
755,1,26,8900,9725,0,72,0
6734,1,48,15990,6080,1,48,0
3197,4,62,4990,5447,0,60,0
6400,31,53,5900,5900,0,48,0
3408,8,32,10000,10000,0,60,0
7253,2,40,13980,15434,0,84,0
6356,0,25,13900,12900,0,36,0
3424,1,64,16790,13790,0,48,0
44,1,47,16500,14565,0,72,0
2407,5,56,28485,11881,1,48,0
6110,3,38,12990,13284,0,84,0
6145,0,47,8850,9443,0,60,0
1255,6,26,12000,8000,0,60,0
1701,1,52,9990,9990,0,48,0
654,16,36,11999,9638,0,72,0
319,12,37,9990,12131,0,96,0
4384,9,28,22910,25744,1,60,0
5077,28,52,12800,6443,0,36,0
4245,2,67,3300,3917,0,60,0
6165,5,71,11054,11054,0,48,0
915,2,50,5700,3830,0,36,0
2669,17,70,6700,5300,0,36,0
6992,26,46,9990,6999,0,48,0
3768,23,41,10990,10990,0,72,0
2689,28,58,11060,10270,0,72,0
1562,5,51,11149,13334,0,84,0
6766,4,58,10350,11087,0,60,0
6426,2,67,16339,19779,0,60,0
2516,8,50,13485,10385,0,48,0
6013,23,50,10900,4689,1,48,0
5768,3,43,6887,6887,0,36,0
3662,11,71,2830,2830,0,24,0
6218,11,41,6390,4000,0,36,0
921,2,41,14990,13552,0,60,0
1942,0,22,9500,7300,0,48,0
7268,2,26,9283,9283,0,12,0
6105,1,46,5382,5726,0,24,0
4228,31,48,28390,14390,0,48,0
3752,27,55,17550,7350,1,60,0
1041,32,57,5254,5547,0,24,0
2883,9,40,11990,10990,0,60,0
783,11,61,14590,24245,0,96,0
7322,7,35,30500,25800,0,60,0
4309,4,46,16000,15592,0,60,0
5740,18,54,5971,6138,0,36,0
1580,3,41,5600,1501,1,24,0
3018,1,28,15200,11785,0,48,0
506,19,60,7350,7500,0,72,0
3102,11,46,4084,4342,0,24,0
4522,5,26,5550,3275,1,36,0
88,39,63,15990,13142,0,72,0
1928,5,29,9500,4827,0,36,0
4231,1,31,7290,8305,0,60,0
2664,11,58,22080,21643,0,60,0
5019,3,22,23700,25917,0,72,0
3852,5,23,22559,19184,0,60,0
3583,18,73,3659,3659,0,12,0
5532,20,53,11650,11650,0,84,0
6695,0,57,10990,8490,0,36,0
6380,2,41,13290,12025,0,60,0
1730,18,51,25700,19800,0,72,0
2283,9,51,11980,11980,0,84,0
1033,19,49,9000,9650,0,36,0
2840,1,27,17048,18459,0,60,0
5751,1,30,12500,10293,0,60,0
6223,15,50,27590,22906,0,96,0
4125,22,63,16650,15804,0,60,0
7153,3,51,23100,18568,0,60,0
414,30,54,23521,13957,0,48,0
6499,2,32,3500,3759,0,36,0
4840,0,36,7990,7595,0,60,0
6798,5,24,14490,15638,0,60,0
3131,2,37,30500,28500,0,72,0
4489,0,63,6800,3800,0,24,0
2577,35,58,7207,7598,0,24,0
809,15,34,10990,10990,0,60,0
1446,7,68,6400,4025,0,60,0
6758,1,24,8069,3440,1,36,0
180,12,59,27219,20219,0,48,0
4032,4,66,12990,12990,0,60,0
7348,16,48,11040,11967,0,60,0
7226,6,31,5674,5674,0,16,0
2418,25,55,4140,4140,0,12,0
1223,11,49,15990,11570,0,60,0
