,Job tenure,Age,Car price,Funding amount,Down payment,Loan duration,Default (y)
4362,24,82,6680,6300,0,36,0
3464,0,22,24421,26794,0,72,1
4727,23,77,13960,12981,0,48,0
2644,24,61,9243,10285,0,48,1
6734,1,48,15990,6080,1,48,0
1614,5,49,4450,5061,0,60,1
3554,1,21,11987,11987,0,60,1
5048,2,21,12790,13948,0,60,1
421,2,42,9800,9800,0,48,1
538,5,27,17877,19822,0,72,1
6409,0,22,16000,18241,0,60,1
443,17,83,12490,12490,0,36,1
2407,5,56,28485,11881,1,48,0
4655,3,19,14560,16350,0,48,1
5064,2,26,10000,10832,0,60,1
2652,3,32,13100,13100,0,60,1
4608,0,24,6950,7080,0,60,1
7384,4,46,9000,8200,0,60,1
5288,3,68,21377,19541,0,60,1
6013,23,50,10900,4689,1,48,0
336,3,76,12990,14471,0,96,1
4834,1,49,4550,4390,0,36,1
741,0,22,4600,4764,0,12,1
3752,27,55,17550,7350,1,60,0
5231,1,23,14269,15704,0,60,1
3837,6,56,12200,12073,0,96,1
5244,1,43,19900,18895,0,60,1
1580,3,41,5600,1501,1,24,0
584,10,31,23367,25497,0,72,1
2509,0,27,14110,16433,0,72,1
4522,5,26,5550,3275,1,36,0
1168,1,27,17069,20660,0,96,1
3704,2,32,10490,11629,0,72,1
6560,1,22,25040,25154,0,60,1
751,22,60,10490,12019,0,84,1
118,3,20,22586,22682,0,60,1
5698,3,32,6550,7318,0,96,1
3892,29,49,21900,3833,1,36,1
7207,13,67,7900,9847,0,72,1
6758,1,24,8069,3440,1,36,0
2177,7,32,19968,19968,0,60,1
1181,3,23,15317,11437,0,84,1
2526,1,38,12950,12950,0,84,1
3593,1,31,24990,27800,0,96,1
325,7,49,7980,6480,0,48,1
5170,4,53,12138,13274,0,60,1
5351,0,20,8500,8000,0,24,0
5992,29,51,5300,5215,0,60,1
218,0,22,17890,19438,0,60,1
2799,2,22,12500,13603,0,60,1
625,2,22,8900,8900,0,60,1
2697,1,35,17490,20034,0,60,1
5702,16,62,9950,11553,0,96,1
3411,5,54,18880,20844,0,84,1
7389,3,68,14790,6790,1,48,0
2915,6,26,5670,6212,0,72,1
2439,7,39,12800,5877,1,60,0
6563,1,39,9790,11705,0,96,1
1370,1,61,24135,22871,0,60,1
5325,5,54,10630,12232,0,60,1
5782,4,20,21990,24948,0,60,1
648,0,20,10990,12461,0,60,1
3995,1,55,6990,6990,0,72,1
1268,1,25,18500,20016,0,60,0
1598,0,19,27250,27390,0,72,1
1831,9,41,36159,11159,1,60,0
3407,22,45,20970,10785,1,48,0
2550,16,58,6000,6854,0,60,1
533,8,30,22650,12650,1,60,0
748,0,57,12990,14674,0,60,1
1157,4,59,12909,12011,0,60,1
