Index,Cluster
4362,0
3464,0
4727,0
2644,0
5736,1
755,1
6734,0
3197,1
1614,0
3554,0
6400,1
3408,1
7253,1
6356,1
3424,1
5048,0
421,0
44,1
538,0
6409,0
443,0
2407,0
6110,1
4655,0
6145,1
1255,1
1701,1
654,1
319,1
4384,1
5077,1
5064,0
2652,0
4608,0
7384,0
4245,1
6165,1
915,1
2669,1
6992,1
3768,1
2689,1
1562,1
6766,1
6426,1
2516,1
5288,0
6013,0
5768,1
3662,1
6218,1
921,1
1942,1
336,0
7268,1
4834,0
6105,1
741,0
4228,1
3752,0
5231,0
1041,1
3837,0
2883,1
783,1
5244,0
7322,1
4309,1
5740,1
1580,0
3018,1
584,0
2509,0
506,1
3102,1
4522,0
88,1
1168,0
1928,1
4231,1
2664,1
5019,1
3852,1
3583,1
5532,1
6695,1
6380,1
1730,1
3704,0
2283,1
1033,1
2840,1
5751,1
6223,1
4125,1
6560,0
7153,1
414,1
751,0
118,0
6499,1
4840,1
5698,0
3892,0
7207,0
6798,1
3131,1
4489,1
2577,1
809,1
1446,1
6758,0
2177,0
180,1
4032,1
1181,0
7348,1
7226,1
2418,1
1223,1
6529,1
68,1
198,1
5891,1
2526,0
4436,1
3593,0
436,1
325,0
1083,1
5684,1
2820,1
4128,1
84,1
5170,0
5351,0
1616,1
108,1
5992,0
218,0
3114,1
2799,0
4767,1
3858,1
625,0
2697,0
3016,1
6599,1
6314,1
5702,0
3411,0
5542,1
2447,1
3532,1
644,1
6960,1
4374,1
6340,1
7316,1
3405,1
7389,0
2915,0
2439,0
6579,1
6050,1
5368,1
6563,0
3661,1
1370,0
5325,0
5782,0
7323,1
4998,1
156,1
648,0
5162,1
4538,1
744,1
3995,0
1268,0
1432,1
5321,1
3207,1
1598,0
4371,1
1831,0
5090,1
6382,1
3407,0
2550,0
6301,1
4526,1
1024,1
3276,1
533,0
7213,1
1357,1
7274,1
748,0
1157,0
1127,0
5333,0
2333,1
3346,1
4684,1
7212,1
7321,1
4733,1
2132,1
2146,1
2798,1
4480,1
2226,1
461,1
3248,1
1073,0
3641,0
4343,0
2927,1
1539,1
7223,1
2436,1
4192,1
2602,0
5480,1
2885,1
1451,1
3491,1
5613,1
1723,0
2825,0
1526,1
4011,0
790,1
7199,1
1425,1
1847,1
3439,1
4213,0
6605,1
4739,1
6133,0
838,1
6104,1
7265,0
5339,1
1222,1
5291,0
7014,1
1277,1
6044,0
6076,1
196,0
7183,0
7060,1
5433,1
4707,1
3615,1
1212,1
1718,1
4507,1
4504,1
2277,1
7301,1
2207,1
3907,1
1199,1
3098,1
2266,1
1773,1
4828,1
5839,0
1954,1
5834,1
2851,1
1659,1
5842,1
295,1
6923,0
500,0
2299,0
5224,1
485,1
3536,1
3143,1
2404,0
2688,1
1587,0
2934,1
287,1
6460,1
6600,1
4296,1
2955,0
2123,1
5823,0
3063,1
3237,1
3164,1
2841,0
6662,1
6004,1
1366,1
5002,1
5038,1
6116,0
2892,0
2540,1
721,1
862,0
2570,1
2552,1
1672,1
5466,1
4877,1
7411,1
7071,1
4269,1
2232,1
3167,1
134,1
5681,0
4630,0
1292,1
3815,1
2100,1
1480,1
5624,0
1545,1
5013,0
1515,1
41,1
4041,1
5465,0
430,1
3274,0
6257,1
3075,1
3032,0
1095,1
4290,1
1700,0
5395,1
283,0
970,1
6708,1
5219,1
1626,1
5844,0
2815,1
1551,0
3656,0
3362,0
706,0
5552,1
4257,1
1313,1
1647,1
4567,0
1578,1
1334,0
354,1
544,1
1056,1
6203,0
1444,1
5461,1
5189,1
1803,1
3094,0
3289,1
4581,1
227,0
4004,1
5998,0
5602,0
4407,1
1078,0
3454,0
6362,1
6612,1
25,1
6098,0
5316,1
1201,0
1728,0
1720,1
6690,0
2594,1
978,1
2492,1
1361,1
5784,1
4113,1
348,1
3809,0
1025,1
3955,1
1918,0
2646,0
4570,1
211,0
2248,1
4803,1
2897,1
2410,0
4103,1
4692,1
4506,1
185,1
1535,1
7141,0
511,0
701,1
6648,1
298,1
3794,1
7271,1
1589,1
4498,0
231,1
3666,1
1965,0
5132,1
1873,1
3477,1
2166,0
736,1
2445,0
276,1
2895,1
1322,1
4028,1
5349,1
6929,1
4367,1
1096,1
4273,0
6370,0
4704,0
2676,0
4554,1
3544,1
2477,1
7077,1
2464,1
79,1
5459,1
6907,1
611,1
6904,1
658,1
1817,1
7018,1
1610,0
1192,1
803,1
6178,1
2805,1
3929,1
1533,1
2868,1
2842,0
6317,0
3290,0
1488,1
3473,1
5653,1
4152,1
5957,1
5885,1
3545,1
1661,0
5799,1
6200,1
5418,1
5673,1
640,1
6567,0
1793,1
321,1
4404,1
6746,1
7070,1
6462,0
4110,1
6594,0
2651,1
2789,1
1740,1
3933,1
5242,0
4080,0
5110,1
1921,0
6589,1
5171,1
5455,1
2972,1
6592,1
3685,1
1519,1
6622,1
1482,1
2250,0
7302,1
2881,1
6299,1
4184,0
203,1
6277,1
415,1
6062,1
4326,0
3667,1
397,1
4376,1
869,0
1105,0
4753,0
4127,0
6247,1
5277,1
4251,1
6066,1
1436,1
4085,0
4722,0
5804,1
599,1
1023,1
5628,0
3592,1
4668,1
5643,0
4217,1
4303,1
1108,1
355,1
315,1
3210,1
2765,0
2609,1
6658,1
6058,1
4284,0
1468,1
4302,1
621,1
5282,1
5967,1
59,0
5921,0
3994,1
6595,1
4092,1
4502,1
2323,1
3425,0
2271,0
7391,1
4264,0
3450,1
4870,1
2700,1
7201,1
3043,1
996,0
6365,0
6140,1
3905,1
3434,0
498,0
4306,0
1340,1
3680,0
1569,0
4625,1
2787,1
937,1
1113,1
3001,1
4995,1
7425,0
1051,1
2767,1
3297,1
5564,1
5230,1
2517,1
2354,1
7221,1
2656,0
1767,0
3878,1
5440,1
5243,1
3749,0
7067,1
4861,1
3218,1
5623,1
2378,1
6026,0
5281,1
2685,1
3366,0
192,1
4053,1
62,1
1426,1
2641,1
3306,1
4917,0
4017,1
4434,0
4525,0
589,1
4450,1
2303,1
5780,1
5629,1
3107,1
7200,1
2373,1
7092,1
2781,1
3431,0
5356,1
6638,1
678,1
5798,1
4774,1
5746,1
2288,1
32,1
4726,1
1111,1
469,0
5054,1
1538,1
1575,1
5522,0
2633,0
96,1
6244,0
4552,1
1129,1
6952,1
1979,0
3484,1
1671,0
972,0
7290,1
1163,1
339,0
6321,1
4500,1
1116,1
5151,0
6473,1
4329,1
5964,1
3153,1
3395,0
1777,1
4357,1
5970,0
7428,1
4985,1
2726,1
5380,1
743,1
626,0
2997,0
58,0
5995,1
3313,1
2398,1
2094,1
2916,1
1429,1
1234,0
7378,1
2687,0
6912,1
4165,1
0,1
2957,1
5121,0
676,0
3649,1
1337,1
194,1
6922,1
3245,1
6001,1
1669,1
3168,1
2670,0
841,1
3089,1
2572,1
3260,1
3932,1
4209,1
418,1
3655,0
387,0
6274,0
4240,1
1391,1
2103,1
3181,1
6216,1
7180,0
4122,1
6984,1
3570,1
4951,1
6652,1
6870,0
3770,1
3693,1
6479,0
3296,1
6189,1
318,1
5454,1
5538,1
2576,1
3021,1
142,0
2126,1
4545,0
5168,0
2575,0
4899,1
3475,1
6048,0
6003,0
965,1
6942,1
4002,0
4291,1
4731,1
4087,1
4698,1
6587,1
1215,1
5007,0
2510,0
747,0
1261,0
7310,1
6134,1
6751,1
2377,1
4180,1
4101,0
3805,0
6995,0
5598,1
6651,1
1287,1
5184,0
6789,1
4229,0
5636,1
2559,0
1430,1
2705,1
7222,1
7258,0
4730,0
6159,1
5928,1
1703,0
5196,1
2498,1
4105,1
7252,1
6631,1
4771,0
2619,1
4427,1
3196,1
1094,1
2412,1
3000,1
303,0
93,1
3455,1
543,0
3534,1
752,1
4541,1
4629,1
5185,1
1554,0
2036,1
3651,0
2476,0
1320,1
4751,1
6290,1
1801,1
7261,0
3784,1
2662,1
2312,1
1501,1
6810,1
139,1
3003,1
4987,1
2827,1
7173,1
5359,1
1036,1
2910,1
585,0
157,1
7421,1
3262,0
1009,1
1971,1
6654,1
5269,1
1467,0
465,1
7297,0
1886,1
6519,0
1216,1
61,1
7266,1
4546,1
1649,1
6602,1
668,1
3298,0
6759,1
1075,1
5195,1
6914,1
2906,0
1992,1
3718,1
4441,1
3862,0
708,1
7124,1
3505,1
3949,0
5983,1
3113,1
439,1
866,0
4847,1
2093,1
847,0
2900,1
4055,1
2001,1
4442,1
2319,1
5495,0
2450,0
2683,0
1894,1
960,1
2533,1
4695,1
103,0
2963,0
6081,0
861,0
5929,1
3049,1
4487,1
1880,0
1270,1
1499,1
5557,1
3559,0
480,1
6447,1
2020,0
764,1
3621,0
2182,1
5144,1
5112,0
5001,1
3698,1
4248,1
5958,1
3733,1
91,1
3480,0
3319,1
3076,1
6780,1
7354,1
1666,1
188,1
4885,1
979,1
7095,1
5389,0
944,1
641,0
7259,1
4279,1
5789,1
3011,0
6977,1
7076,1
5055,1
3203,1
4791,1
5531,1
6074,1
7204,1
3382,1
2318,0
4666,1
5192,0
871,1
7295,0
5973,0
1393,1
737,1
3616,0
2052,1
1079,1
3856,0
5239,1
6115,1
3601,1
6304,1
5470,1
6682,1
1323,1
2862,0
4955,1
6398,0
1582,1
7006,0
111,1
7164,1
300,1
633,1
6487,1
6801,0
4147,1
5786,0
401,0
1224,1
810,0
12,1
479,1
4462,1
3501,1
52,1
4905,0
1018,0
4766,1
5775,1
6982,1
7133,1
3820,1
238,1
5413,1
3357,1
5785,1
903,1
6143,0
2213,1
234,1
5430,1
2275,0
7249,1
3309,1
2375,1
2168,1
360,1
3328,1
7203,1
5193,1
5074,1
6993,1
7047,1
5025,1
6444,1
7139,1
5568,0
1434,1
6240,1
3166,1
4852,1
453,1
3488,1
2144,1
5437,1
4691,1
3846,0
2536,1
6056,1
2138,1
2654,0
5216,1
2223,1
576,1
6366,0
5118,1
3774,1
1281,1
2316,0
6723,1
1658,1
4816,1
2170,1
2828,1
6270,1
2819,0
2374,1
7238,1
1258,1
6182,0
2622,1
3948,0
1830,1
5406,1
3254,1
566,0
2960,1
4410,1
3246,1
2519,0
373,1
2578,1
4108,0
5403,0
7305,0
4975,0
1634,1
4395,0
5227,1
879,1
1775,1
6693,1
