,Job tenure,Age,Car price,Funding amount,Down payment,Loan duration,Default (y)
4362,24,82,6680,6300,0,36,0
4727,23,77,13960,12981,0,48,0
2644,24,61,9243,10285,0,48,1
6734,1,48,15990,6080,1,48,0
3197,4,62,4990,5447,0,60,0
1614,5,49,4450,5061,0,60,1
6400,31,53,5900,5900,0,48,0
3408,8,32,10000,10000,0,60,0
421,2,42,9800,9800,0,48,1
443,17,83,12490,12490,0,36,1
6145,0,47,8850,9443,0,60,0
1701,1,52,9990,9990,0,48,0
5077,28,52,12800,6443,0,36,0
4608,0,24,6950,7080,0,60,1
7384,4,46,9000,8200,0,60,1
4245,2,67,3300,3917,0,60,0
6165,5,71,11054,11054,0,48,0
915,2,50,5700,3830,0,36,0
2669,17,70,6700,5300,0,36,0
6992,26,46,9990,6999,0,48,0
3768,23,41,10990,10990,0,72,0
2689,28,58,11060,10270,0,72,0
6766,4,58,10350,11087,0,60,0
2516,8,50,13485,10385,0,48,0
6013,23,50,10900,4689,1,48,0
5768,3,43,6887,6887,0,36,0
3662,11,71,2830,2830,0,24,0
6218,11,41,6390,4000,0,36,0
1942,0,22,9500,7300,0,48,0
7268,2,26,9283,9283,0,12,0
4834,1,49,4550,4390,0,36,1
6105,1,46,5382,5726,0,24,0
741,0,22,4600,4764,0,12,1
3752,27,55,17550,7350,1,60,0
1041,32,57,5254,5547,0,24,0
5740,18,54,5971,6138,0,36,0
1580,3,41,5600,1501,1,24,0
506,19,60,7350,7500,0,72,0
3102,11,46,4084,4342,0,24,0
4522,5,26,5550,3275,1,36,0
88,39,63,15990,13142,0,72,0
1928,5,29,9500,4827,0,36,0
4231,1,31,7290,8305,0,60,0
3583,18,73,3659,3659,0,12,0
6695,0,57,10990,8490,0,36,0
1033,19,49,9000,9650,0,36,0
6499,2,32,3500,3759,0,36,0
4840,0,36,7990,7595,0,60,0
3892,29,49,21900,3833,1,36,1
7207,13,67,7900,9847,0,72,1
4489,0,63,6800,3800,0,24,0
2577,35,58,7207,7598,0,24,0
809,15,34,10990,10990,0,60,0
1446,7,68,6400,4025,0,60,0
6758,1,24,8069,3440,1,36,0
4032,4,66,12990,12990,0,60,0
7348,16,48,11040,11967,0,60,0
7226,6,31,5674,5674,0,16,0
2418,25,55,4140,4140,0,12,0
6529,18,45,7870,9454,0,84,0
198,13,48,10360,10094,0,48,0
4436,10,60,11200,5200,0,24,0
325,7,49,7980,6480,0,48,1
1083,14,75,4899,4899,0,24,0
4128,19,38,5890,6400,0,60,0
84,17,53,9800,9800,0,72,0
5351,0,20,8500,8000,0,24,0
1616,8,67,8590,9071,0,72,0
108,4,51,7680,8897,0,72,0
5992,29,51,5300,5215,0,60,1
5542,32,58,13500,6909,0,36,0
3532,15,48,5000,4000,0,36,0
644,21,76,13150,8350,0,48,0
6960,6,25,10513,10513,0,48,0
6340,0,28,6880,6880,0,36,0
7316,20,47,6900,6464,0,72,0
7389,3,68,14790,6790,1,48,0
2915,6,26,5670,6212,0,72,1
2439,7,39,12800,5877,1,60,0
6579,8,49,6155,6743,0,72,0
6050,11,72,10490,10490,0,48,0
3661,2,45,7900,6519,0,60,0
5325,5,54,10630,12232,0,60,1
7323,7,59,9035,9742,0,36,0
4998,13,75,9850,9068,0,36,0
5162,14,59,11290,11359,0,60,0
744,4,54,7495,6758,0,72,0
