,Job tenure,Age,Car price,Funding amount,Down payment,Loan duration,Default (y)
3464,0,22,24421,26794,0,72,1
2644,24,61,9243,10285,0,48,1
6734,1,48,15990,6080,1,48,0
1614,5,49,4450,5061,0,60,1
3554,1,21,11987,11987,0,60,1
6400,31,53,5900,5900,0,48,0
3408,8,32,10000,10000,0,60,0
3424,1,64,16790,13790,0,48,0
5048,2,21,12790,13948,0,60,1
421,2,42,9800,9800,0,48,1
44,1,47,16500,14565,0,72,0
538,5,27,17877,19822,0,72,1
6409,0,22,16000,18241,0,60,1
443,17,83,12490,12490,0,36,1
2407,5,56,28485,11881,1,48,0
4655,3,19,14560,16350,0,48,1
1255,6,26,12000,8000,0,60,0
654,16,36,11999,9638,0,72,0
5077,28,52,12800,6443,0,36,0
5064,2,26,10000,10832,0,60,1
2652,3,32,13100,13100,0,60,1
4608,0,24,6950,7080,0,60,1
7384,4,46,9000,8200,0,60,1
6165,5,71,11054,11054,0,48,0
915,2,50,5700,3830,0,36,0
2669,17,70,6700,5300,0,36,0
6992,26,46,9990,6999,0,48,0
3768,23,41,10990,10990,0,72,0
2689,28,58,11060,10270,0,72,0
2516,8,50,13485,10385,0,48,0
5288,3,68,21377,19541,0,60,1
6013,23,50,10900,4689,1,48,0
5768,3,43,6887,6887,0,36,0
3662,11,71,2830,2830,0,24,0
6218,11,41,6390,4000,0,36,0
921,2,41,14990,13552,0,60,0
336,3,76,12990,14471,0,96,1
7268,2,26,9283,9283,0,12,0
4834,1,49,4550,4390,0,36,1
741,0,22,4600,4764,0,12,1
4228,31,48,28390,14390,0,48,0
3752,27,55,17550,7350,1,60,0
5231,1,23,14269,15704,0,60,1
1041,32,57,5254,5547,0,24,0
3837,6,56,12200,12073,0,96,1
2883,9,40,11990,10990,0,60,0
5244,1,43,19900,18895,0,60,1
5740,18,54,5971,6138,0,36,0
1580,3,41,5600,1501,1,24,0
3018,1,28,15200,11785,0,48,0
584,10,31,23367,25497,0,72,1
2509,0,27,14110,16433,0,72,1
3102,11,46,4084,4342,0,24,0
4522,5,26,5550,3275,1,36,0
1168,1,27,17069,20660,0,96,1
1928,5,29,9500,4827,0,36,0
2664,11,58,22080,21643,0,60,0
3583,18,73,3659,3659,0,12,0
5532,20,53,11650,11650,0,84,0
6695,0,57,10990,8490,0,36,0
3704,2,32,10490,11629,0,72,1
1033,19,49,9000,9650,0,36,0
4125,22,63,16650,15804,0,60,0
6560,1,22,25040,25154,0,60,1
414,30,54,23521,13957,0,48,0
751,22,60,10490,12019,0,84,1
118,3,20,22586,22682,0,60,1
5698,3,32,6550,7318,0,96,1
3892,29,49,21900,3833,1,36,1
7207,13,67,7900,9847,0,72,1
4489,0,63,6800,3800,0,24,0
2577,35,58,7207,7598,0,24,0
809,15,34,10990,10990,0,60,0
1446,7,68,6400,4025,0,60,0
2177,7,32,19968,19968,0,60,1
180,12,59,27219,20219,0,48,0
1181,3,23,15317,11437,0,84,1
7348,16,48,11040,11967,0,60,0
7226,6,31,5674,5674,0,16,0
2418,25,55,4140,4140,0,12,0
1223,11,49,15990,11570,0,60,0
198,13,48,10360,10094,0,48,0
5891,6,56,15990,15490,0,60,0
2526,1,38,12950,12950,0,84,1
4436,10,60,11200,5200,0,24,0
3593,1,31,24990,27800,0,96,1
436,5,46,17900,13862,0,48,0
325,7,49,7980,6480,0,48,1
1083,14,75,4899,4899,0,24,0
5684,34,50,31915,29407,0,72,0
2820,26,46,16990,15034,0,60,0
84,17,53,9800,9800,0,72,0
5170,4,53,12138,13274,0,60,1
5992,29,51,5300,5215,0,60,1
218,0,22,17890,19438,0,60,1
2799,2,22,12500,13603,0,60,1
3858,0,39,15490,12000,0,48,0
625,2,22,8900,8900,0,60,1
2697,1,35,17490,20034,0,60,1
6314,8,51,15900,12897,0,48,0
5702,16,62,9950,11553,0,96,1
3411,5,54,18880,20844,0,84,1
5542,32,58,13500,6909,0,36,0
2447,26,58,13900,8934,0,96,0
3532,15,48,5000,4000,0,36,0
644,21,76,13150,8350,0,48,0
3405,21,49,29710,21710,0,60,0
7389,3,68,14790,6790,1,48,0
2915,6,26,5670,6212,0,72,1
2439,7,39,12800,5877,1,60,0
6050,11,72,10490,10490,0,48,0
6563,1,39,9790,11705,0,96,1
1370,1,61,24135,22871,0,60,1
5325,5,54,10630,12232,0,60,1
5782,4,20,21990,24948,0,60,1
7323,7,59,9035,9742,0,36,0
648,0,20,10990,12461,0,60,1
5162,14,59,11290,11359,0,60,0
3995,1,55,6990,6990,0,72,1
1432,2,47,12110,8710,0,48,0
5321,25,51,3608,3608,0,12,0
3207,5,52,5825,4825,0,24,0
1598,0,19,27250,27390,0,72,1
4371,25,49,14623,14623,0,48,0
1831,9,41,36159,11159,1,60,0
3407,22,45,20970,10785,1,48,0
2550,16,58,6000,6854,0,60,1
6301,14,55,23719,22720,0,36,0
4526,20,53,12300,10300,0,48,0
3276,28,51,14900,10000,0,72,0
533,8,30,22650,12650,1,60,0
1357,15,66,5901,5901,0,48,0
748,0,57,12990,14674,0,60,1
1157,4,59,12909,12011,0,60,1
1127,2,39,21970,21970,0,96,1
5333,9,39,9510,3769,1,36,0
3346,25,42,11490,6640,0,36,0
4684,12,69,22126,12193,0,72,0
7321,9,69,11885,12000,0,60,0
4733,13,49,5924,6368,0,36,0
2132,7,29,17290,11928,0,60,0
2146,29,57,4990,4249,0,36,0
4480,11,50,9700,5037,0,36,0
1073,3,41,12078,12217,0,48,1
3641,1,55,18100,6100,1,24,0
4343,25,51,23600,14645,1,48,0
1539,21,50,4750,4750,0,36,0
7223,17,62,12500,9125,0,60,0
2602,27,52,9990,5990,1,48,0
2885,19,46,22702,16951,0,48,0
1451,26,56,8500,8891,0,36,0
3491,7,23,13844,12494,0,36,0
5613,36,60,10379,8984,0,48,0
1723,12,55,3696,3865,0,36,1
2825,6,36,29000,29000,0,72,1
4011,2,34,8115,8115,0,48,1
7199,8,35,9900,6050,0,36,0
1847,16,35,5800,6255,0,48,0
3439,9,35,9300,10084,0,60,0
6605,8,27,15899,14665,0,60,0
6133,7,60,5360,1948,1,36,0
838,15,36,8048,8048,0,36,0
7265,7,32,4634,4998,0,48,1
5339,11,52,19249,22019,0,60,0
1222,10,39,16400,13400,0,60,0
5291,15,77,9259,3259,1,24,0
1277,30,56,11050,11050,0,48,0
6044,5,49,17500,17500,0,96,1
7183,2,45,12978,10963,0,48,1
7060,2,58,19680,12825,0,60,0
3615,35,52,12000,13078,0,60,0
1718,3,37,19400,16490,0,48,0
4504,16,38,5500,3500,0,60,0
2207,28,51,12000,12144,0,84,0
3907,2,26,10700,6147,0,36,0
1199,28,49,28000,18000,0,60,0
2266,18,49,14600,7086,0,36,0
1773,6,58,2791,2791,0,12,0
5839,1,32,12234,6635,1,36,0
5834,4,67,16359,14359,0,48,0
1659,12,41,21300,16066,0,60,0
295,7,58,4643,4894,0,48,0
6923,2,41,7990,7081,0,60,1
500,1,56,7950,6950,0,72,1
2299,10,72,8990,7490,0,48,1
5224,2,45,14697,13017,0,60,0
3143,6,56,5037,5037,0,36,0
2404,0,19,10669,12311,0,72,1
2688,5,31,16190,13390,0,60,0
1587,9,75,19990,9990,1,36,0
2934,29,57,4940,5171,0,36,0
6600,5,67,12990,9024,0,48,0
2955,5,28,10500,11280,0,48,1
2123,4,67,6500,3131,0,24,0
5823,15,45,16900,4400,1,48,0
3164,23,54,7039,4792,0,60,0
2841,0,64,20990,22486,0,60,1
6004,39,60,20666,21147,0,48,0
1366,31,58,30685,24929,0,60,0
6116,2,29,22850,22850,0,60,1
2892,4,31,12790,14220,0,84,1
862,0,18,19898,20037,0,60,1
2570,17,54,9900,8008,0,60,0
4877,15,58,11950,9795,0,60,0
7411,3,33,7500,6000,0,12,0
7071,8,59,10109,10238,0,60,0
3167,16,47,25000,25000,0,48,0
134,19,56,19160,15538,0,48,0
5681,34,51,9460,2009,1,12,0
4630,3,45,11290,2290,1,24,0
3815,7,44,12000,10700,0,96,0
2100,19,62,14490,12105,0,60,0
1480,26,56,9000,9739,0,96,0
5624,5,69,9500,9500,0,84,1
1545,8,61,8238,8238,0,36,0
5013,28,82,6780,5280,0,24,1
41,21,40,6752,6752,0,36,0
3274,1,49,2718,2890,0,24,1
3075,2,43,14737,14876,0,24,0
3032,18,45,9276,9276,0,48,1
1095,3,33,5878,5878,0,36,0
4290,28,58,15069,11184,0,60,0
1700,0,31,9119,9119,0,60,1
5395,34,51,14990,4490,1,24,0
283,10,71,2775,2804,0,12,1
1626,1,51,15305,15500,0,12,0
5844,7,41,12010,13401,0,84,1
2815,30,55,15350,12350,0,84,0
1551,7,36,22739,20339,0,60,1
3656,26,55,18402,3500,1,36,0
3362,2,18,7770,8644,0,96,1
706,11,76,6900,7407,0,60,1
4567,19,43,12282,14016,0,60,1
1334,1,26,7400,2157,1,48,1
1056,26,50,12850,9750,0,48,0
6203,1,36,9690,8936,0,60,1
1444,23,45,8990,9936,0,36,0
5461,33,54,12430,14009,0,48,0
5189,28,47,9380,9380,0,60,0
3094,7,55,7990,7990,0,60,1
227,1,52,19350,22561,0,72,1
4004,36,58,17165,6855,1,24,0
5998,8,33,25858,25972,0,72,1
5602,3,55,16490,16490,0,48,1
1078,35,52,19025,9806,1,60,0
3454,2,54,16390,17914,0,60,1
6362,2,33,13220,9887,0,48,0
6098,1,43,15890,15890,0,96,1
1201,18,39,14300,5800,1,24,0
1728,7,66,9659,9758,0,12,1
1720,14,54,24136,23136,0,60,0
6690,5,47,8456,10114,0,84,1
978,7,67,12200,12200,0,60,0
5784,25,46,18650,14650,0,72,0
348,24,52,5990,3490,0,36,0
3809,5,78,11940,12676,0,72,1
1918,0,24,8800,1800,1,12,1
2646,4,54,15180,14180,1,48,0
211,24,43,23000,9000,1,12,0
2897,8,51,10480,9778,0,48,0
2410,0,19,6290,5790,0,60,1
4103,9,50,4490,4490,0,48,0
4692,19,57,19990,15781,0,48,0
1535,22,47,11318,11318,0,48,0
7141,7,71,7950,7000,0,36,1
511,12,76,6711,7149,0,84,1
701,30,50,9990,4990,0,48,0
298,24,47,15030,15158,0,48,0
7271,13,60,8500,8500,0,60,0
4498,0,37,12490,14046,0,96,1
3666,6,28,8600,5370,0,36,0
1965,6,36,19400,22603,0,72,1
5132,17,70,10500,10932,0,48,0
3477,15,56,10650,8531,0,36,0
2166,9,52,20204,3285,1,12,0
736,5,67,14488,11627,0,48,0
2445,12,54,9990,11686,0,72,1
4367,15,42,4529,4864,0,36,0
1096,50,70,15990,12990,0,36,0
6370,0,33,29990,29990,0,48,1
4704,0,46,11490,11490,0,72,1
2676,4,66,10940,5158,1,48,1
4554,17,36,13849,10849,0,60,0
2477,0,37,14700,11200,0,48,0
6907,11,76,18200,14800,0,60,0
6904,9,28,5961,5961,0,36,0
1817,5,51,15040,10500,0,60,0
1610,13,51,13990,4690,1,36,0
1192,16,43,10740,10740,0,72,0
803,30,56,10403,10889,0,36,0
2805,6,26,9700,6700,0,36,0
3929,12,47,13500,9800,0,60,0
1533,12,51,21200,10722,0,36,0
2868,10,49,9950,9950,0,84,0
2842,0,21,18970,19417,0,60,1
6317,6,39,16990,20762,0,60,1
3290,0,49,26926,29294,0,60,1
3473,4,51,12480,10422,0,60,0
1661,1,44,12000,12941,0,48,1
6200,0,38,19480,13619,0,72,0
5418,24,60,16500,13500,0,48,0
640,5,37,5789,5968,0,36,0
6567,5,57,10850,7537,0,48,1
321,26,46,15300,17384,0,60,0
6462,1,66,5287,5287,0,36,1
2651,12,34,8500,9426,0,48,0
1740,5,32,9830,6830,0,36,0
4080,35,55,23723,12548,1,48,0
1921,3,42,8140,8854,0,60,1
6589,30,53,9900,8400,0,36,0
5171,8,55,11395,8879,0,36,0
5455,6,49,16250,10380,0,96,0
2972,15,49,11790,12564,0,48,0
6592,3,65,9990,8490,0,36,0
1519,15,46,15284,5404,0,24,0
2250,4,35,13000,10220,0,48,1
7302,8,45,11090,9090,0,72,0
4184,1,28,24790,23504,0,60,1
203,1,62,7980,6480,0,36,0
415,17,48,8000,3273,0,60,0
6062,26,54,13300,14149,0,36,0
4326,2,40,23780,26125,0,96,1
397,16,52,17849,8446,0,48,0
869,2,49,20950,20827,0,72,1
1105,4,60,5300,5806,0,48,1
