,Job tenure,Age,Car price,Funding amount,Down payment,Loan duration,Default (y)
3464,0,22,24421,26794,0,72,1
5736,3,30,15945,17664,0,96,0
755,1,26,8900,9725,0,72,0
3554,1,21,11987,11987,0,60,1
3408,8,32,10000,10000,0,60,0
7253,2,40,13980,15434,0,84,0
6356,0,25,13900,12900,0,36,0
3424,1,64,16790,13790,0,48,0
5048,2,21,12790,13948,0,60,1
44,1,47,16500,14565,0,72,0
538,5,27,17877,19822,0,72,1
6409,0,22,16000,18241,0,60,1
2407,5,56,28485,11881,1,48,0
6110,3,38,12990,13284,0,84,0
4655,3,19,14560,16350,0,48,1
1255,6,26,12000,8000,0,60,0
654,16,36,11999,9638,0,72,0
319,12,37,9990,12131,0,96,0
4384,9,28,22910,25744,1,60,0
5064,2,26,10000,10832,0,60,1
2652,3,32,13100,13100,0,60,1
1562,5,51,11149,13334,0,84,0
6426,2,67,16339,19779,0,60,0
5288,3,68,21377,19541,0,60,1
921,2,41,14990,13552,0,60,0
1942,0,22,9500,7300,0,48,0
336,3,76,12990,14471,0,96,1
4228,31,48,28390,14390,0,48,0
5231,1,23,14269,15704,0,60,1
3837,6,56,12200,12073,0,96,1
2883,9,40,11990,10990,0,60,0
783,11,61,14590,24245,0,96,0
5244,1,43,19900,18895,0,60,1
7322,7,35,30500,25800,0,60,0
4309,4,46,16000,15592,0,60,0
3018,1,28,15200,11785,0,48,0
584,10,31,23367,25497,0,72,1
2509,0,27,14110,16433,0,72,1
1168,1,27,17069,20660,0,96,1
2664,11,58,22080,21643,0,60,0
5019,3,22,23700,25917,0,72,0
3852,5,23,22559,19184,0,60,0
6380,2,41,13290,12025,0,60,0
1730,18,51,25700,19800,0,72,0
3704,2,32,10490,11629,0,72,1
2283,9,51,11980,11980,0,84,0
2840,1,27,17048,18459,0,60,0
5751,1,30,12500,10293,0,60,0
6223,15,50,27590,22906,0,96,0
4125,22,63,16650,15804,0,60,0
6560,1,22,25040,25154,0,60,1
7153,3,51,23100,18568,0,60,0
414,30,54,23521,13957,0,48,0
118,3,20,22586,22682,0,60,1
5698,3,32,6550,7318,0,96,1
6798,5,24,14490,15638,0,60,0
3131,2,37,30500,28500,0,72,0
809,15,34,10990,10990,0,60,0
2177,7,32,19968,19968,0,60,1
180,12,59,27219,20219,0,48,0
1181,3,23,15317,11437,0,84,1
1223,11,49,15990,11570,0,60,0
68,10,51,16900,17920,0,72,0
5891,6,56,15990,15490,0,60,0
2526,1,38,12950,12950,0,84,1
3593,1,31,24990,27800,0,96,1
436,5,46,17900,13862,0,48,0
5684,34,50,31915,29407,0,72,0
2820,26,46,16990,15034,0,60,0
5170,4,53,12138,13274,0,60,1
218,0,22,17890,19438,0,60,1
3114,9,53,13980,15077,0,48,0
2799,2,22,12500,13603,0,60,1
4767,5,43,19999,23233,0,72,0
3858,0,39,15490,12000,0,48,0
625,2,22,8900,8900,0,60,1
2697,1,35,17490,20034,0,60,1
3016,3,34,14400,14400,0,48,0
6599,0,30,9589,9202,0,60,0
6314,8,51,15900,12897,0,48,0
3411,5,54,18880,20844,0,84,1
6960,6,25,10513,10513,0,48,0
4374,0,61,21800,21612,0,60,0
3405,21,49,29710,21710,0,60,0
5368,1,28,14990,16254,0,60,0
6563,1,39,9790,11705,0,96,1
1370,1,61,24135,22871,0,60,1
5782,4,20,21990,24948,0,60,1
156,5,40,20849,20849,0,60,0
648,0,20,10990,12461,0,60,1
4538,14,52,13100,12992,0,96,0
1268,1,25,18500,20016,0,60,0
1598,0,19,27250,27390,0,72,1
1831,9,41,36159,11159,1,60,0
5090,4,47,15920,15920,0,60,0
3407,22,45,20970,10785,1,48,0
6301,14,55,23719,22720,0,36,0
1024,4,26,20990,22381,0,72,0
533,8,30,22650,12650,1,60,0
7274,1,26,9950,9250,0,72,0
748,0,57,12990,14674,0,60,1
1127,2,39,21970,21970,0,96,1
4684,12,69,22126,12193,0,72,0
2132,7,29,17290,11928,0,60,0
2226,2,34,15840,15950,0,60,0
3248,7,26,22700,25149,0,84,0
1073,3,41,12078,12217,0,48,1
4343,25,51,23600,14645,1,48,0
2927,4,30,22450,24689,0,72,0
2436,7,28,11990,14322,0,60,0
5480,14,30,20850,25599,0,72,0
2885,19,46,22702,16951,0,48,0
3491,7,23,13844,12494,0,36,0
2825,6,36,29000,29000,0,72,1
790,1,29,12950,12984,0,60,0
6605,8,27,15899,14665,0,60,0
4739,1,31,16220,17831,0,72,0
6104,2,22,14760,14760,0,48,0
5339,11,52,19249,22019,0,60,0
1222,10,39,16400,13400,0,60,0
6044,5,49,17500,17500,0,96,1
6076,25,49,14990,16300,0,96,0
7183,2,45,12978,10963,0,48,1
7060,2,58,19680,12825,0,60,0
1212,2,27,30061,25061,0,60,0
1718,3,37,19400,16490,0,48,0
4507,6,47,12359,14067,0,60,0
2277,2,41,15000,16617,0,96,0
7301,2,52,16700,16700,0,96,0
1199,28,49,28000,18000,0,60,0
3098,7,54,18760,15760,0,72,0
4828,4,31,13000,14793,0,60,0
1954,20,43,17000,17000,0,60,0
5834,4,67,16359,14359,0,48,0
1659,12,41,21300,16066,0,60,0
5842,3,45,12901,9990,0,84,0
5224,2,45,14697,13017,0,60,0
2404,0,19,10669,12311,0,72,1
2688,5,31,16190,13390,0,60,0
287,12,34,17500,17500,0,60,0
4296,0,24,15700,17466,0,96,0
2955,5,28,10500,11280,0,48,1
3237,1,64,26500,20100,0,72,0
2841,0,64,20990,22486,0,60,1
6004,39,60,20666,21147,0,48,0
1366,31,58,30685,24929,0,60,0
6116,2,29,22850,22850,0,60,1
2892,4,31,12790,14220,0,84,1
721,1,41,15860,18346,0,60,0
862,0,18,19898,20037,0,60,1
2552,10,49,23448,24247,0,72,0
4269,2,43,14260,16582,0,72,0
3167,16,47,25000,25000,0,48,0
134,19,56,19160,15538,0,48,0
3815,7,44,12000,10700,0,96,0
1515,0,25,12500,9000,0,48,0
4041,9,33,24885,22535,0,60,0
5465,3,21,10090,11948,0,60,0
6257,0,44,11750,13562,0,60,0
3075,2,43,14737,14876,0,24,0
1700,0,31,9119,9119,0,60,1
970,23,40,13970,13970,0,96,0
6708,7,41,13900,12457,0,72,0
5219,3,37,10575,9434,0,60,0
1626,1,51,15305,15500,0,12,0
5844,7,41,12010,13401,0,84,1
2815,30,55,15350,12350,0,84,0
1551,7,36,22739,20339,0,60,1
3362,2,18,7770,8644,0,96,1
5552,4,42,29184,29561,0,72,0
4567,19,43,12282,14016,0,60,1
1578,1,40,17990,19571,0,60,0
4581,0,23,9650,9764,0,72,0
227,1,52,19350,22561,0,72,1
5998,8,33,25858,25972,0,72,1
5602,3,55,16490,16490,0,48,1
3454,2,54,16390,17914,0,60,1
6362,2,33,13220,9887,0,48,0
6612,10,41,13980,16044,0,60,0
6098,1,43,15890,15890,0,96,1
5316,3,31,16900,16394,0,72,0
1720,14,54,24136,23136,0,60,0
2594,0,24,14400,15382,0,36,0
1361,0,27,22390,24720,0,84,0
5784,25,46,18650,14650,0,72,0
3955,3,24,8900,8922,0,60,0
2646,4,54,15180,14180,1,48,0
4570,0,36,18990,20268,0,48,0
4692,19,57,19990,15781,0,48,0
185,0,37,10120,11306,0,96,0
6648,1,37,16810,18488,0,72,0
298,24,47,15030,15158,0,48,0
3794,0,42,20719,23098,0,96,0
4498,0,37,12490,14046,0,96,1
231,1,41,23860,20990,0,84,0
1965,6,36,19400,22603,0,72,1
2895,6,43,18567,18567,0,96,0
6929,20,41,13990,16557,0,84,0
6370,0,33,29990,29990,0,48,1
4704,0,46,11490,11490,0,72,1
4554,17,36,13849,10849,0,60,0
3544,22,42,14665,16068,0,72,0
2477,0,37,14700,11200,0,48,0
2464,0,32,10900,10874,0,96,0
5459,2,24,14000,15189,0,60,0
6907,11,76,18200,14800,0,60,0
1817,5,51,15040,10500,0,60,0
7018,1,41,22300,24302,0,72,0
6178,11,43,13990,13990,0,96,0
1533,12,51,21200,10722,0,36,0
2842,0,21,18970,19417,0,60,1
6317,6,39,16990,20762,0,60,1
3290,0,49,26926,29294,0,60,1
1488,2,50,14319,14319,0,72,0
5653,3,27,20239,19638,0,72,0
4152,4,37,18900,15628,0,60,0
5885,1,46,11250,13360,0,84,0
1661,1,44,12000,12941,0,48,1
5799,0,44,30850,20980,0,48,0
6200,0,38,19480,13619,0,72,0
5673,3,31,18990,20897,0,72,0
1793,14,36,29493,25993,0,96,0
321,26,46,15300,17384,0,60,0
4404,2,55,15487,16361,0,72,0
6746,3,54,22000,22000,0,48,0
7070,12,39,23980,23980,0,60,0
6594,1,22,13000,10881,0,60,0
2789,7,70,19377,16377,0,96,0
3933,0,32,15600,17283,0,84,0
5242,5,54,27377,27439,1,60,0
4080,35,55,23723,12548,1,48,0
5455,6,49,16250,10380,0,96,0
6622,3,46,18459,17458,0,60,0
1482,2,30,10990,9490,0,48,0
2250,4,35,13000,10220,0,48,1
2881,1,27,15990,13490,0,60,0
4184,1,28,24790,23504,0,60,1
6277,0,47,11288,12647,0,48,0
4326,2,40,23780,26125,0,96,1
3667,17,67,18500,18500,0,72,0
4376,1,40,17490,19077,0,60,0
869,2,49,20950,20827,0,72,1
4753,4,44,20600,23116,0,96,1
4127,9,77,19990,19990,0,72,1
6247,1,28,8500,9313,0,72,0
5277,14,49,16500,14821,0,60,0
1436,4,42,14900,16190,0,60,0
5628,9,70,21300,18300,1,84,1
5643,1,19,21950,21950,0,60,1
4217,6,28,22368,19483,0,60,0
355,24,60,13040,16481,0,96,0
315,2,47,11490,10941,0,60,0
2609,8,51,24740,16740,0,48,0
6058,10,44,15990,15990,0,60,0
4284,8,52,24711,28946,0,72,1
59,28,48,29139,9139,1,36,0
5921,11,74,18740,18838,0,60,1
3994,4,59,16950,15816,0,60,0
4092,1,25,13210,11900,0,60,0
4502,1,26,17950,16950,0,60,0
2271,0,41,13425,13425,0,72,1
3450,2,30,24500,14500,0,60,0
4870,3,23,16109,16109,0,60,0
2700,2,57,27280,18900,0,48,0
7201,4,33,18390,11146,0,48,0
6365,1,38,14980,17142,0,60,1
6140,5,57,15990,15318,0,72,0
3905,2,65,16900,16847,0,72,0
498,1,35,11850,11850,0,72,1
1340,21,38,23580,13580,0,48,0
1569,1,21,25490,27214,0,48,0
937,4,50,15800,12000,0,60,0
1113,1,48,11835,11501,0,60,0
4995,0,39,9579,12756,0,96,0
1051,2,49,8651,10211,0,84,0
5564,0,49,12190,12190,0,72,0
5230,7,26,14240,14240,0,84,0
2517,1,39,11950,12100,0,84,0
2354,6,31,10500,10500,0,60,0
7221,0,44,22000,23603,0,48,0
2656,0,31,14290,17753,0,96,1
5440,0,26,9600,8400,0,96,0
5623,19,39,22930,22930,0,60,0
2378,1,21,5595,5924,0,84,0
