,Job tenure,Age,Car price,Funding amount,Down payment,Loan duration,Default (y)
2644,24,61,9243,10285,0,48,1
5736,3,30,15945,17664,0,96,0
6734,1,48,15990,6080,1,48,0
1614,5,49,4450,5061,0,60,1
3554,1,21,11987,11987,0,60,1
3408,8,32,10000,10000,0,60,0
7253,2,40,13980,15434,0,84,0
3424,1,64,16790,13790,0,48,0
5048,2,21,12790,13948,0,60,1
421,2,42,9800,9800,0,48,1
44,1,47,16500,14565,0,72,0
443,17,83,12490,12490,0,36,1
2407,5,56,28485,11881,1,48,0
6110,3,38,12990,13284,0,84,0
4655,3,19,14560,16350,0,48,1
1255,6,26,12000,8000,0,60,0
654,16,36,11999,9638,0,72,0
319,12,37,9990,12131,0,96,0
4384,9,28,22910,25744,1,60,0
5077,28,52,12800,6443,0,36,0
5064,2,26,10000,10832,0,60,1
4608,0,24,6950,7080,0,60,1
7384,4,46,9000,8200,0,60,1
6992,26,46,9990,6999,0,48,0
3768,23,41,10990,10990,0,72,0
2689,28,58,11060,10270,0,72,0
1562,5,51,11149,13334,0,84,0
6766,4,58,10350,11087,0,60,0
6426,2,67,16339,19779,0,60,0
2516,8,50,13485,10385,0,48,0
6013,23,50,10900,4689,1,48,0
921,2,41,14990,13552,0,60,0
336,3,76,12990,14471,0,96,1
4834,1,49,4550,4390,0,36,1
741,0,22,4600,4764,0,12,1
4228,31,48,28390,14390,0,48,0
3752,27,55,17550,7350,1,60,0
2883,9,40,11990,10990,0,60,0
783,11,61,14590,24245,0,96,0
7322,7,35,30500,25800,0,60,0
4309,4,46,16000,15592,0,60,0
1580,3,41,5600,1501,1,24,0
3018,1,28,15200,11785,0,48,0
4522,5,26,5550,3275,1,36,0
88,39,63,15990,13142,0,72,0
2664,11,58,22080,21643,0,60,0
5019,3,22,23700,25917,0,72,0
3852,5,23,22559,19184,0,60,0
5532,20,53,11650,11650,0,84,0
6380,2,41,13290,12025,0,60,0
1730,18,51,25700,19800,0,72,0
3704,2,32,10490,11629,0,72,1
2283,9,51,11980,11980,0,84,0
2840,1,27,17048,18459,0,60,0
5751,1,30,12500,10293,0,60,0
6223,15,50,27590,22906,0,96,0
4125,22,63,16650,15804,0,60,0
7153,3,51,23100,18568,0,60,0
414,30,54,23521,13957,0,48,0
751,22,60,10490,12019,0,84,1
5698,3,32,6550,7318,0,96,1
7207,13,67,7900,9847,0,72,1
6798,5,24,14490,15638,0,60,0
3131,2,37,30500,28500,0,72,0
809,15,34,10990,10990,0,60,0
6758,1,24,8069,3440,1,36,0
180,12,59,27219,20219,0,48,0
4032,4,66,12990,12990,0,60,0
7348,16,48,11040,11967,0,60,0
1223,11,49,15990,11570,0,60,0
68,10,51,16900,17920,0,72,0
198,13,48,10360,10094,0,48,0
5891,6,56,15990,15490,0,60,0
4436,10,60,11200,5200,0,24,0
436,5,46,17900,13862,0,48,0
325,7,49,7980,6480,0,48,1
5684,34,50,31915,29407,0,72,0
2820,26,46,16990,15034,0,60,0
84,17,53,9800,9800,0,72,0
5992,29,51,5300,5215,0,60,1
2799,2,22,12500,13603,0,60,1
4767,5,43,19999,23233,0,72,0
3858,0,39,15490,12000,0,48,0
625,2,22,8900,8900,0,60,1
3016,3,34,14400,14400,0,48,0
6314,8,51,15900,12897,0,48,0
5702,16,62,9950,11553,0,96,1
5542,32,58,13500,6909,0,36,0
2447,26,58,13900,8934,0,96,0
4374,0,61,21800,21612,0,60,0
3405,21,49,29710,21710,0,60,0
7389,3,68,14790,6790,1,48,0
2915,6,26,5670,6212,0,72,1
2439,7,39,12800,5877,1,60,0
5368,1,28,14990,16254,0,60,0
6563,1,39,9790,11705,0,96,1
5325,5,54,10630,12232,0,60,1
156,5,40,20849,20849,0,60,0
648,0,20,10990,12461,0,60,1
5162,14,59,11290,11359,0,60,0
4538,14,52,13100,12992,0,96,0
3995,1,55,6990,6990,0,72,1
1268,1,25,18500,20016,0,60,0
1432,2,47,12110,8710,0,48,0
4371,25,49,14623,14623,0,48,0
1831,9,41,36159,11159,1,60,0
5090,4,47,15920,15920,0,60,0
3407,22,45,20970,10785,1,48,0
2550,16,58,6000,6854,0,60,1
6301,14,55,23719,22720,0,36,0
4526,20,53,12300,10300,0,48,0
1024,4,26,20990,22381,0,72,0
3276,28,51,14900,10000,0,72,0
533,8,30,22650,12650,1,60,0
5333,9,39,9510,3769,1,36,0
3346,25,42,11490,6640,0,36,0
4684,12,69,22126,12193,0,72,0
7321,9,69,11885,12000,0,60,0
2132,7,29,17290,11928,0,60,0
2226,2,34,15840,15950,0,60,0
461,18,55,9331,10336,0,84,0
3248,7,26,22700,25149,0,84,0
1073,3,41,12078,12217,0,48,1
3641,1,55,18100,6100,1,24,0
4343,25,51,23600,14645,1,48,0
2927,4,30,22450,24689,0,72,0
7223,17,62,12500,9125,0,60,0
2436,7,28,11990,14322,0,60,0
2602,27,52,9990,5990,1,48,0
5480,14,30,20850,25599,0,72,0
2885,19,46,22702,16951,0,48,0
5613,36,60,10379,8984,0,48,0
1723,12,55,3696,3865,0,36,1
4011,2,34,8115,8115,0,48,1
790,1,29,12950,12984,0,60,0
4213,2,64,10250,9109,1,72,0
6605,8,27,15899,14665,0,60,0
4739,1,31,16220,17831,0,72,0
6133,7,60,5360,1948,1,36,0
6104,2,22,14760,14760,0,48,0
7265,7,32,4634,4998,0,48,1
5339,11,52,19249,22019,0,60,0
1222,10,39,16400,13400,0,60,0
5291,15,77,9259,3259,1,24,0
7014,3,67,12000,10000,0,72,0
1277,30,56,11050,11050,0,48,0
6076,25,49,14990,16300,0,96,0
7183,2,45,12978,10963,0,48,1
7060,2,58,19680,12825,0,60,0
3615,35,52,12000,13078,0,60,0
1212,2,27,30061,25061,0,60,0
1718,3,37,19400,16490,0,48,0
4507,6,47,12359,14067,0,60,0
2277,2,41,15000,16617,0,96,0
7301,2,52,16700,16700,0,96,0
2207,28,51,12000,12144,0,84,0
1199,28,49,28000,18000,0,60,0
3098,7,54,18760,15760,0,72,0
2266,18,49,14600,7086,0,36,0
4828,4,31,13000,14793,0,60,0
5839,1,32,12234,6635,1,36,0
1954,20,43,17000,17000,0,60,0
5834,4,67,16359,14359,0,48,0
1659,12,41,21300,16066,0,60,0
5842,3,45,12901,9990,0,84,0
6923,2,41,7990,7081,0,60,1
500,1,56,7950,6950,0,72,1
2299,10,72,8990,7490,0,48,1
5224,2,45,14697,13017,0,60,0
3536,4,54,12173,12173,0,48,0
2404,0,19,10669,12311,0,72,1
2688,5,31,16190,13390,0,60,0
1587,9,75,19990,9990,1,36,0
287,12,34,17500,17500,0,60,0
6600,5,67,12990,9024,0,48,0
4296,0,24,15700,17466,0,96,0
2955,5,28,10500,11280,0,48,1
5823,15,45,16900,4400,1,48,0
3237,1,64,26500,20100,0,72,0
6662,2,58,11490,12948,0,60,0
6004,39,60,20666,21147,0,48,0
1366,31,58,30685,24929,0,60,0
721,1,41,15860,18346,0,60,0
2570,17,54,9900,8008,0,60,0
2552,10,49,23448,24247,0,72,0
1672,23,57,13500,13500,0,72,0
4877,15,58,11950,9795,0,60,0
7071,8,59,10109,10238,0,60,0
4269,2,43,14260,16582,0,72,0
3167,16,47,25000,25000,0,48,0
134,19,56,19160,15538,0,48,0
5681,34,51,9460,2009,1,12,0
4630,3,45,11290,2290,1,24,0
1292,18,51,11490,12595,0,72,0
3815,7,44,12000,10700,0,96,0
