,Job tenure,Age,Car price,Funding amount,Down payment,Default (y)
6734,1,48,15990,6080,1,0
2407,5,56,28485,11881,1,0
4384,9,28,22910,25744,1,0
6013,23,50,10900,4689,1,0
3752,27,55,17550,7350,1,0
1580,3,41,5600,1501,1,0
4522,5,26,5550,3275,1,0
3892,29,49,21900,3833,1,1
6758,1,24,8069,3440,1,0
7389,3,68,14790,6790,1,0
2439,7,39,12800,5877,1,0
1831,9,41,36159,11159,1,0
3407,22,45,20970,10785,1,0
533,8,30,22650,12650,1,0
5333,9,39,9510,3769,1,0
3641,1,55,18100,6100,1,0
4343,25,51,23600,14645,1,0
2602,27,52,9990,5990,1,0
4213,2,64,10250,9109,1,0
6133,7,60,5360,1948,1,0
5291,15,77,9259,3259,1,0
196,3,19,7990,4255,1,0
5839,1,32,12234,6635,1,0
1587,9,75,19990,9990,1,0
5823,15,45,16900,4400,1,0
5681,34,51,9460,2009,1,0
4630,3,45,11290,2290,1,0
5395,34,51,14990,4490,1,0
3656,26,55,18402,3500,1,0
1334,1,26,7400,2157,1,1
4004,36,58,17165,6855,1,0
1078,35,52,19025,9806,1,0
1201,18,39,14300,5800,1,0
1918,0,24,8800,1800,1,1
2646,4,54,15180,14180,1,0
211,24,43,23000,9000,1,0
2166,9,52,20204,3285,1,0
4273,0,21,4500,1894,1,0
2676,4,66,10940,5158,1,1
1610,13,51,13990,4690,1,0
5242,5,54,27377,27439,1,0
4080,35,55,23723,12548,1,0
4085,33,49,19630,13532,1,0
5628,9,70,21300,18300,1,1
2765,20,43,10990,5990,1,0
59,28,48,29139,9139,1,0
3425,22,61,5500,2791,1,0
3434,1,53,7748,1544,1,0
3680,20,46,4810,2391,1,0
1767,26,48,8470,2470,1,0
3366,2,37,13402,11146,1,0
4917,10,70,11985,2134,1,0
3431,21,47,10500,3200,1,0
1671,3,35,11940,5435,1,0
972,8,57,11800,5800,1,0
5151,0,56,9190,4834,1,0
2997,5,57,13309,5294,1,0
58,15,56,11801,12500,1,0
676,5,39,19300,8500,1,0
2670,3,66,10990,3990,1,0
6274,22,62,9790,5480,1,0
7180,3,27,6490,1539,1,0
6003,25,50,14990,3710,1,0
4002,0,66,15078,9548,1,0
2510,11,75,12020,1510,1,0
4101,9,48,9130,3990,1,0
3805,11,44,17980,4180,1,0
5184,4,36,9335,2394,1,1
4730,14,44,24390,7690,1,0
4771,17,40,16140,7886,1,0
7261,0,63,17150,3150,1,0
1467,1,65,19690,9820,1,0
7297,40,59,39136,21650,1,0
6519,7,34,14390,6325,1,0
866,0,29,16600,6600,1,0
6081,3,64,15115,8527,1,0
1880,9,50,14351,14351,1,0
3480,7,37,18970,1810,1,0
5192,14,46,15900,8226,1,0
7295,0,40,8790,4983,1,0
2862,1,47,10795,3167,1,0
6801,16,41,19248,20047,1,0
4905,2,33,19625,16125,1,1
3846,21,56,14069,3335,1,0
2316,5,21,23000,6473,1,0
2819,17,63,18900,15400,1,0
566,23,46,14139,6650,1,0
5403,6,69,13300,5300,1,0
4582,8,37,34829,13829,1,0
657,8,60,24400,19100,1,0
4575,24,61,20149,5264,1,0
416,26,51,31000,16000,1,0
73,1,37,14700,7118,1,0
6123,5,22,14000,4000,1,0
5666,1,30,9200,2200,1,0
5345,22,52,15351,7490,1,0
679,29,47,4950,1550,1,0
6392,1,48,11990,3990,1,1
102,3,22,6600,2764,1,0
2754,3,29,10984,6426,1,0
4253,23,50,8650,5150,1,0
3149,25,57,13700,5896,1,0
6597,1,51,16290,9557,1,0
3653,13,58,18900,8900,1,0
6423,2,48,14500,4853,1,0
6486,13,42,14736,4856,1,0
122,5,31,16110,15870,1,0
6621,0,37,6890,2890,1,0
4742,0,18,6000,2000,1,0
2691,1,26,11990,4501,1,0
2600,1,21,16890,6890,1,0
5202,3,35,6710,8228,1,0
6999,30,58,24554,8737,1,0
1892,0,22,7600,2600,1,0
432,3,68,7990,2190,1,0
1119,14,79,7490,2630,1,0
7029,1,29,3798,1911,1,0
6762,0,46,15439,3939,1,0
4288,4,47,14600,5412,1,0
2018,1,26,11800,4298,1,0
6854,4,41,8990,4115,1,0
5807,8,47,11490,5301,1,0
2415,5,30,12750,7005,1,0
535,20,40,26000,11000,1,0
4235,4,45,8480,3795,1,0
7134,37,59,10490,5902,1,0
1731,5,70,14200,5000,1,0
4634,2,60,17067,15154,1,0
2185,9,29,33670,25670,1,0
1550,15,33,12900,4600,1,0
6754,5,32,10390,4658,1,0
487,3,43,18850,8478,1,0
1305,16,33,21980,5480,1,0
3370,3,68,16990,4058,1,0
4781,0,27,9700,4997,1,0
1172,7,51,10689,4153,1,0
2473,3,55,12390,4390,1,0
3142,2,68,6590,2722,1,0
3199,29,63,27500,10500,1,0
2803,35,55,23596,5885,1,1
1595,1,64,13950,7309,1,0
2422,0,29,11600,2045,1,0
149,8,32,14640,8122,1,0
4690,24,55,7500,3500,1,0
4332,2,54,6500,2400,1,0
2893,21,60,8250,3250,1,0
1858,22,46,23390,11869,1,0
3903,3,27,9500,2695,1,1
4603,0,56,11895,13296,1,0
4914,10,69,8900,4378,1,0
3509,15,78,11990,1990,1,0
1479,2,40,9995,4199,1,0
6675,5,54,7590,4620,1,0
2513,2,29,12590,1751,1,0
4919,9,55,10990,5166,1,0
6576,15,36,15040,18176,1,1
7347,1,35,21400,7680,1,0
4800,12,61,10030,4676,1,0
5816,26,45,16695,10595,1,0
4046,19,50,21200,6500,1,0
1064,13,57,6900,3400,1,0
491,10,31,21593,11571,1,0
4416,8,50,11990,4398,1,0
945,7,59,32875,21252,1,1
3844,4,27,10000,3615,1,0
1506,14,52,3990,2146,1,0
6943,1,41,6350,1912,1,0
5626,8,36,12120,5901,1,0
4938,12,72,7780,2580,1,0
2239,3,47,6500,2500,1,0
622,6,49,7200,3600,1,0
4942,3,27,19015,21407,1,0
1350,10,73,8150,3384,1,0
5846,5,48,21500,7000,1,0
2016,3,31,14041,7137,1,0
3578,2,48,13990,6646,1,0
4166,4,47,10400,5000,1,0
5735,18,37,21000,7549,1,0
5858,2,56,11900,3900,1,0
2845,17,48,11800,2800,1,0
3470,2,40,13980,4286,1,0
6815,2,51,6500,2500,1,0
4519,0,37,15150,8940,1,0
4511,13,53,16000,5500,1,0
3482,19,46,23950,11600,1,0
1022,4,56,13500,7327,1,0
451,1,27,11984,8164,1,1
2225,18,51,16365,15461,1,0
3869,12,56,5000,2090,1,0
647,14,55,20400,17048,1,0
2291,30,56,12700,2792,1,0
5044,1,28,10600,6379,1,0
2586,22,77,11800,3800,1,0
57,28,52,22990,15410,1,0
3715,6,33,13659,14449,1,1
4051,6,33,15079,15769,1,1
2758,1,58,11400,4606,1,0
1161,10,48,23940,10704,1,0
4925,42,59,16110,5854,1,0
3378,3,51,11900,3690,1,0
7369,1,52,15800,3700,1,0
2380,0,49,8905,9488,1,0
6878,5,51,14390,7890,1,0
1115,3,31,17205,18000,1,0
6283,13,54,25500,13690,1,0
278,15,78,4365,1550,1,0
2843,6,40,11900,5300,1,1
683,11,45,27500,5312,1,0
5904,2,55,14290,4290,1,0
7380,24,62,9000,4462,1,0
7191,20,48,22250,11150,1,0
5102,1,57,9600,4600,1,0
4708,5,27,15150,13766,1,0
3980,1,32,6598,1598,1,0
3589,6,34,13659,17476,1,1
4970,1,28,14351,14351,1,1
228,4,50,17460,18490,1,0
3035,9,69,5950,2560,1,0
5130,1,51,16990,6758,1,0
100,8,25,5900,3315,1,0
3647,20,84,16280,2287,1,0
4355,7,36,18500,2500,1,0
2321,0,54,6985,1985,1,0
2131,1,27,3700,1600,1,0
2894,9,54,14500,2000,1,0
7303,3,34,8900,3085,1,0
5257,4,46,22618,7378,1,0
6660,4,35,8900,2900,1,0
3282,1,50,9490,4087,1,0
3722,14,67,12030,9930,1,1
6858,2,67,9742,6654,1,0
3006,24,55,14990,7490,1,0
1877,26,55,22789,4150,1,0
2115,30,57,6900,3050,1,0
4649,39,60,19411,10590,1,0
6055,0,58,5990,2059,1,0
7157,6,33,15000,5444,1,0
730,24,53,15990,7517,1,0
1351,2,38,6500,2000,1,0
6073,11,77,17460,5350,1,0
4174,3,66,9873,2873,1,0
4578,0,28,15799,6214,1,0
6703,17,35,10775,5823,1,0
2718,0,54,15120,5773,1,0
4414,16,48,27840,8000,1,0
4857,24,51,14990,5350,1,0
4888,10,72,8389,2489,1,0
6859,34,54,15700,3000,1,0
1600,14,73,7078,4000,1,0
6027,0,28,14500,6000,1,0
1381,1,30,7725,1897,1,0
1189,5,70,20458,16208,1,0
1586,10,30,20710,5710,1,0
1149,1,38,10790,4790,1,0
6368,24,83,9850,2592,1,0
6792,16,48,12750,4750,1,0
1146,6,66,6490,2490,1,0
5747,17,40,12290,3000,1,0
2388,21,76,5900,2400,1,0
4602,1,39,16890,4218,1,0
1002,24,53,25530,16420,1,0
3130,25,62,5700,1700,1,0
517,8,55,12500,4200,1,0
2053,5,35,14351,14182,1,0
3428,33,61,11800,3800,1,0
3185,30,47,20190,17814,1,0
1951,12,73,4850,3150,1,0
2157,11,61,11900,7400,1,0
6377,17,62,7990,1611,1,0
51,2,22,13000,2500,1,0
4844,1,55,28980,24376,1,0
6490,11,38,23186,6557,1,0
7156,9,69,13190,8190,1,0
