,Job tenure,Age,Car price,Funding amount,Down payment,Default (y)
4362,24,82,6680,6300,0,0
3464,0,22,24421,26794,0,1
4727,23,77,13960,12981,0,0
2644,24,61,9243,10285,0,1
1614,5,49,4450,5061,0,1
3554,1,21,11987,11987,0,1
5048,2,21,12790,13948,0,1
421,2,42,9800,9800,0,1
538,5,27,17877,19822,0,1
6409,0,22,16000,18241,0,1
443,17,83,12490,12490,0,1
4655,3,19,14560,16350,0,1
5064,2,26,10000,10832,0,1
2652,3,32,13100,13100,0,1
4608,0,24,6950,7080,0,1
7384,4,46,9000,8200,0,1
5288,3,68,21377,19541,0,1
336,3,76,12990,14471,0,1
4834,1,49,4550,4390,0,1
741,0,22,4600,4764,0,1
5231,1,23,14269,15704,0,1
5244,1,43,19900,18895,0,1
1580,3,41,5600,1501,1,0
584,10,31,23367,25497,0,1
2509,0,27,14110,16433,0,1
1168,1,27,17069,20660,0,1
5019,3,22,23700,25917,0,0
3704,2,32,10490,11629,0,1
6560,1,22,25040,25154,0,1
751,22,60,10490,12019,0,1
118,3,20,22586,22682,0,1
5698,3,32,6550,7318,0,1
3892,29,49,21900,3833,1,1
7207,13,67,7900,9847,0,1
2177,7,32,19968,19968,0,1
1181,3,23,15317,11437,0,1
2526,1,38,12950,12950,0,1
3593,1,31,24990,27800,0,1
325,7,49,7980,6480,0,1
5170,4,53,12138,13274,0,1
5351,0,20,8500,8000,0,0
5992,29,51,5300,5215,0,1
218,0,22,17890,19438,0,1
2799,2,22,12500,13603,0,1
625,2,22,8900,8900,0,1
2697,1,35,17490,20034,0,1
5702,16,62,9950,11553,0,1
3411,5,54,18880,20844,0,1
2915,6,26,5670,6212,0,1
6563,1,39,9790,11705,0,1
1370,1,61,24135,22871,0,1
5325,5,54,10630,12232,0,1
5782,4,20,21990,24948,0,1
648,0,20,10990,12461,0,1
3995,1,55,6990,6990,0,1
1268,1,25,18500,20016,0,0
1598,0,19,27250,27390,0,1
2550,16,58,6000,6854,0,1
748,0,57,12990,14674,0,1
1157,4,59,12909,12011,0,1
1127,2,39,21970,21970,0,1
1073,3,41,12078,12217,0,1
1723,12,55,3696,3865,0,1
2825,6,36,29000,29000,0,1
4011,2,34,8115,8115,0,1
4213,2,64,10250,9109,1,0
7265,7,32,4634,4998,0,1
6044,5,49,17500,17500,0,1
196,3,19,7990,4255,1,0
7183,2,45,12978,10963,0,1
6923,2,41,7990,7081,0,1
500,1,56,7950,6950,0,1
2299,10,72,8990,7490,0,1
2404,0,19,10669,12311,0,1
2955,5,28,10500,11280,0,1
2841,0,64,20990,22486,0,1
6116,2,29,22850,22850,0,1
2892,4,31,12790,14220,0,1
862,0,18,19898,20037,0,1
