Index,Cluster
4362,1
3464,0
4727,1
2644,0
5736,1
755,1
6734,0
3197,1
1614,0
3554,0
6400,0
3408,0
7253,1
6356,1
3424,0
5048,0
421,0
44,0
538,0
6409,0
443,0
2407,0
6110,1
4655,0
6145,1
1255,0
1701,1
654,0
319,1
4384,1
5077,0
5064,0
2652,0
4608,0
7384,0
4245,1
6165,1
915,0
2669,1
6992,0
3768,0
2689,0
1562,1
6766,1
6426,1
2516,0
5288,0
6013,0
5768,1
3662,0
6218,0
921,1
1942,1
336,0
7268,1
4834,0
6105,1
741,0
4228,0
3752,0
5231,0
1041,0
3837,0
2883,0
783,1
5244,0
7322,1
4309,1
5740,1
1580,0
3018,0
584,0
2509,0
506,1
3102,0
4522,1
88,0
1168,0
1928,0
4231,1
2664,1
5019,1
3852,1
3583,0
5532,0
6695,0
6380,1
1730,0
3704,0
2283,0
1033,0
2840,1
5751,1
6223,1
4125,0
6560,0
7153,1
414,0
751,0
118,0
6499,1
4840,1
5698,0
3892,0
7207,0
6798,1
3131,1
4489,0
2577,0
809,0
1446,0
6758,1
2177,0
180,1
4032,1
1181,0
7348,0
7226,1
2418,0
1223,0
6529,1
68,1
198,0
5891,1
2526,0
4436,0
3593,0
436,0
325,0
1083,0
5684,0
2820,0
4128,1
84,0
5170,0
5351,1
1616,1
108,1
5992,0
218,0
3114,1
2799,0
4767,1
3858,1
625,0
2697,0
3016,1
6599,1
6314,0
5702,0
3411,0
5542,0
2447,0
3532,0
644,0
6960,1
4374,1
6340,1
7316,0
3405,0
7389,0
2915,0
2439,0
6579,1
6050,1
5368,1
6563,0
3661,1
1370,0
5325,0
5782,0
7323,1
4998,1
156,1
648,0
5162,0
4538,0
744,1
3995,0
1268,1
1432,0
5321,0
3207,1
1598,0
4371,0
1831,0
5090,1
6382,1
3407,0
2550,0
6301,1
4526,0
1024,1
3276,0
533,0
7213,1
1357,1
7274,1
748,0
1157,0
1127,0
5333,0
2333,1
3346,0
4684,0
7212,1
7321,1
4733,1
2132,0
2146,0
2798,0
4480,0
2226,1
461,0
3248,1
1073,0
3641,0
4343,0
2927,1
1539,0
7223,0
2436,1
4192,1
2602,0
5480,1
2885,0
1451,0
3491,1
5613,0
1723,0
2825,0
1526,1
4011,0
790,1
7199,0
1425,1
1847,1
3439,0
4213,0
6605,0
4739,1
6133,0
838,1
6104,1
7265,0
5339,1
1222,0
5291,0
7014,0
1277,0
6044,0
6076,0
196,1
7183,0
7060,0
5433,1
4707,1
3615,0
1212,1
1718,1
4507,1
4504,0
2277,1
7301,1
2207,0
3907,0
1199,0
3098,0
2266,0
1773,0
4828,1
5839,0
1954,1
5834,0
2851,1
1659,0
5842,0
295,1
6923,0
500,0
2299,0
5224,0
485,1
3536,1
3143,1
2404,0
2688,0
1587,0
2934,0
287,1
6460,1
6600,0
4296,1
2955,0
2123,0
5823,0
3063,1
3237,1
3164,0
2841,0
6662,1
6004,0
1366,0
5002,1
5038,1
6116,0
2892,0
2540,1
721,1
862,0
2570,0
2552,1
1672,1
5466,0
4877,0
7411,1
7071,0
4269,1
2232,1
3167,1
134,0
5681,0
4630,0
1292,0
3815,0
2100,0
1480,0
5624,0
1545,1
5013,0
1515,1
41,1
4041,1
5465,1
430,1
3274,0
6257,1
3075,1
3032,0
1095,1
4290,0
1700,0
5395,0
283,0
970,0
6708,0
5219,1
1626,1
5844,0
2815,0
1551,0
3656,0
3362,0
706,0
5552,1
4257,1
1313,1
1647,1
4567,0
1578,1
1334,0
354,1
544,1
1056,0
6203,0
1444,0
5461,0
5189,0
1803,1
3094,0
3289,1
4581,1
227,0
4004,0
5998,0
5602,0
4407,1
1078,0
3454,0
6362,0
6612,1
25,1
6098,0
5316,1
1201,0
1728,0
1720,1
6690,0
2594,1
978,1
2492,1
1361,1
5784,0
4113,1
348,0
3809,0
1025,1
3955,1
1918,0
2646,0
4570,1
211,0
2248,1
4803,0
2897,0
2410,0
4103,0
4692,0
4506,1
185,1
1535,0
7141,0
511,0
701,0
6648,1
298,0
3794,1
7271,0
1589,1
4498,0
231,1
3666,0
1965,0
5132,1
1873,1
3477,0
2166,0
736,0
2445,0
276,1
2895,1
1322,1
4028,1
5349,1
6929,1
4367,1
1096,0
4273,1
6370,0
4704,0
2676,0
4554,0
