Index,Cluster
4362,0
3464,1
4727,0
2644,0
5736,1
755,1
6734,0
3197,0
1614,0
3554,1
6400,0
3408,0
7253,1
6356,1
3424,1
5048,1
421,0
44,1
538,1
6409,1
443,0
2407,1
6110,1
4655,1
6145,0
1255,1
1701,0
654,0
319,0
4384,1
5077,0
5064,1
2652,1
4608,0
7384,0
4245,0
6165,0
915,0
2669,0
6992,0
3768,0
2689,0
1562,0
6766,0
6426,1
2516,0
5288,1
6013,0
5768,0
3662,0
6218,0
921,1
1942,1
336,0
7268,1
4834,0
6105,0
741,0
4228,1
3752,0
5231,1
1041,0
3837,0
2883,0
783,1
5244,1
7322,1
4309,1
5740,0
1580,0
3018,1
584,1
2509,1
506,0
3102,0
4522,0
88,0
1168,1
1928,0
4231,0
2664,1
5019,1
3852,1
3583,0
5532,0
6695,0
6380,1
1730,1
3704,1
2283,0
1033,0
2840,1
5751,1
6223,1
4125,0
6560,1
7153,1
414,1
751,0
118,1
6499,0
4840,0
5698,0
3892,0
7207,0
6798,1
3131,1
4489,0
2577,0
809,0
1446,0
6758,0
2177,1
180,1
4032,0
1181,1
7348,0
7226,0
2418,0
1223,1
6529,0
68,1
198,0
5891,1
2526,1
4436,0
3593,1
436,1
325,0
1083,0
5684,1
2820,1
4128,0
84,0
5170,0
5351,1
1616,0
108,0
5992,0
218,1
3114,1
2799,1
4767,1
3858,1
625,1
2697,1
3016,1
6599,0
6314,1
5702,0
3411,1
5542,0
2447,0
3532,0
644,0
6960,1
4374,1
6340,0
7316,0
3405,1
7389,0
2915,0
2439,0
6579,0
6050,0
5368,1
6563,0
3661,0
1370,1
5325,0
5782,1
7323,0
4998,0
156,1
648,1
5162,0
4538,0
744,0
3995,0
1268,1
1432,0
5321,0
3207,0
1598,1
4371,0
1831,1
5090,1
6382,0
3407,1
2550,0
6301,1
4526,0
1024,1
3276,0
533,1
7213,0
1357,0
7274,1
748,1
1157,0
1127,1
5333,0
2333,0
3346,0
4684,1
7212,0
7321,0
4733,0
2132,1
2146,0
2798,0
4480,0
2226,1
461,0
3248,1
1073,1
3641,0
4343,1
2927,1
1539,0
7223,0
2436,1
4192,0
2602,0
5480,1
2885,1
1451,0
3491,1
5613,0
1723,0
2825,1
1526,0
4011,0
790,1
7199,0
1425,0
1847,0
3439,0
4213,0
6605,1
4739,1
6133,0
838,0
6104,1
7265,0
5339,1
1222,1
5291,0
7014,0
1277,0
6044,1
6076,0
196,0
7183,1
7060,1
5433,0
4707,0
3615,0
1212,1
1718,1
4507,1
4504,0
2277,1
7301,1
2207,0
3907,0
1199,1
3098,1
2266,0
1773,0
4828,1
5839,0
1954,1
5834,1
2851,0
1659,1
5842,0
295,0
6923,0
500,0
2299,0
5224,1
485,0
3536,0
3143,0
2404,1
2688,1
1587,0
2934,0
287,1
6460,0
6600,0
4296,1
2955,1
2123,0
5823,0
3063,0
3237,1
3164,0
2841,1
6662,0
6004,1
1366,1
5002,0
5038,0
6116,1
2892,1
2540,0
721,1
862,1
2570,0
2552,1
1672,0
5466,0
4877,0
7411,0
7071,0
4269,1
2232,0
3167,1
134,1
5681,0
4630,0
1292,0
3815,0
2100,0
1480,0
5624,0
1545,0
5013,0
1515,1
41,0
4041,1
5465,1
430,0
3274,0
6257,1
3075,1
3032,0
1095,0
4290,0
1700,0
5395,0
283,0
970,0
6708,1
5219,0
1626,1
5844,1
2815,0
1551,1
3656,0
3362,1
706,0
5552,1
4257,0
1313,0
1647,0
4567,0
1578,1
1334,0
354,0
544,0
1056,0
6203,0
1444,0
5461,0
5189,0
1803,0
3094,0
3289,0
4581,1
227,1
4004,0
5998,1
5602,1
4407,0
1078,0
3454,1
6362,1
6612,1
25,0
6098,1
5316,1
1201,0
1728,0
1720,1
6690,0
2594,1
978,0
2492,0
1361,1
5784,1
4113,0
348,0
3809,0
1025,0
3955,0
1918,0
2646,1
4570,1
211,1
2248,0
4803,0
2897,0
2410,0
4103,0
4692,1
4506,0
185,1
1535,0
7141,0
511,0
701,0
6648,1
298,0
3794,1
7271,0
1589,0
4498,1
231,1
3666,0
1965,1
5132,0
1873,0
3477,0
2166,0
736,0
2445,0
276,0
2895,1
1322,0
4028,0
5349,0
6929,1
4367,0
1096,0
4273,0
6370,1
4704,0
2676,0
4554,0
3544,1
2477,1
7077,0
2464,1
79,0
5459,1
6907,0
611,0
6904,0
658,0
1817,0
7018,1
1610,0
1192,0
803,0
6178,1
2805,0
3929,0
1533,1
2868,0
2842,1
6317,1
3290,1
1488,1
3473,0
5653,1
4152,1
5957,0
5885,1
3545,0
1661,1
5799,1
6200,1
5418,0
5673,1
640,0
6567,0
1793,1
321,1
4404,1
6746,1
7070,1
6462,0
4110,0
6594,1
2651,0
2789,1
1740,0
3933,1
5242,1
4080,1
5110,0
1921,0
6589,0
5171,0
5455,1
2972,0
6592,0
3685,0
1519,0
6622,1
1482,1
2250,1
7302,0
2881,1
6299,0
4184,1
203,0
6277,1
415,0
6062,0
4326,1
3667,1
397,0
4376,1
869,1
1105,0
4753,1
4127,1
6247,0
5277,1
4251,0
6066,0
1436,1
4085,0
4722,0
5804,0
599,0
1023,0
5628,1
3592,0
4668,0
5643,1
4217,1
4303,0
1108,0
355,0
315,0
3210,0
2765,0
2609,1
6658,0
6058,1
4284,1
1468,0
4302,0
621,0
5282,0
5967,0
59,1
5921,1
3994,1
6595,0
4092,1
4502,1
2323,0
3425,0
2271,1
7391,0
4264,0
3450,1
4870,1
2700,1
7201,1
3043,0
996,0
6365,1
6140,1
3905,1
3434,0
498,1
4306,0
1340,1
3680,0
1569,1
4625,0
2787,0
937,1
1113,0
3001,0
4995,1
7425,0
1051,0
2767,0
3297,0
5564,1
5230,1
2517,1
2354,0
7221,1
2656,1
1767,0
3878,0
5440,1
5243,0
3749,1
7067,0
4861,0
3218,0
5623,1
2378,0
6026,0
5281,0
2685,1
3366,1
192,1
4053,0
62,1
1426,1
2641,0
3306,1
4917,0
4017,0
4434,1
4525,0
589,1
4450,0
2303,1
5780,0
5629,0
3107,0
7200,1
2373,0
7092,0
2781,0
3431,0
5356,1
6638,1
678,0
5798,1
4774,0
5746,0
2288,1
32,1
4726,1
1111,1
469,0
5054,1
1538,1
1575,1
5522,0
2633,1
96,1
6244,0
4552,0
1129,1
6952,0
1979,1
3484,0
1671,0
972,0
7290,1
1163,0
339,1
6321,1
4500,0
1116,0
5151,0
6473,0
4329,0
5964,0
3153,1
3395,0
1777,0
4357,0
5970,1
7428,1
4985,0
2726,1
5380,0
743,0
626,1
2997,0
58,0
5995,0
3313,0
2398,0
2094,0
2916,0
1429,1
1234,1
7378,0
2687,1
6912,1
4165,0
0,0
2957,0
5121,0
676,1
3649,0
1337,1
194,1
6922,0
3245,1
6001,0
1669,0
3168,1
2670,0
841,1
3089,1
2572,1
3260,0
3932,0
4209,0
418,0
3655,1
387,0
6274,0
4240,1
1391,0
2103,1
3181,0
6216,0
7180,0
4122,0
6984,0
3570,0
4951,0
6652,0
6870,1
3770,0
3693,0
6479,0
3296,0
6189,1
318,0
5454,1
5538,0
2576,0
3021,1
142,1
2126,1
4545,0
5168,1
2575,1
4899,0
3475,1
6048,1
6003,0
965,0
6942,1
4002,0
4291,1
4731,1
4087,1
4698,1
6587,0
1215,0
5007,0
2510,0
747,1
1261,1
7310,0
6134,1
6751,1
2377,0
4180,0
4101,0
3805,0
6995,1
5598,0
6651,1
1287,0
5184,0
6789,0
4229,0
5636,1
2559,1
1430,0
2705,0
7222,1
7258,1
4730,1
6159,0
5928,0
1703,0
5196,1
2498,0
4105,1
7252,0
6631,0
4771,0
2619,1
4427,0
3196,0
1094,1
2412,0
3000,1
303,1
93,1
3455,0
543,0
3534,0
