,Job tenure,Age,Car price,Default (y)
625,2,22,8900,1
2796,0,55,10400,0
101,1,40,15990,1
4767,5,43,19999,0
2018,1,26,11800,0
5465,3,21,10090,0
4126,14,52,9400,0
6077,4,58,11504,0
1783,5,58,20660,0
2864,0,20,22990,1
7087,0,61,6500,0
2578,13,53,5388,0
5659,4,37,9900,0
5362,3,22,18990,1
1893,20,66,13385,0
1175,1,50,6350,0
1025,6,71,11990,0
3078,3,48,19250,0
3653,13,58,18900,0
7347,1,35,21400,0
1511,10,74,3860,0
773,17,77,5190,0
1024,4,26,20990,0
4545,0,40,3990,1
1047,0,50,7990,0
6579,8,49,6155,0
4679,15,54,7790,0
1176,5,51,8536,0
965,26,42,15250,0
7284,2,20,16877,1
132,10,76,4764,1
1992,25,54,20450,0
6020,1,54,33485,0
4253,23,50,8650,0
6237,3,24,7790,1
6368,24,83,9850,0
1321,8,51,9540,0
3095,5,38,14495,0
6569,11,61,15900,0
5880,3,32,9650,0
1634,20,57,4600,0
2927,4,30,22450,0
3879,0,64,4240,1
2138,10,26,12000,0
1665,1,66,7896,0
5337,3,23,6480,0
2858,5,49,15700,0
856,4,21,9985,0
1414,27,74,10985,0
1420,1,52,3750,0
1721,21,49,13550,0
1702,1,28,7656,1
733,8,82,25990,0
3954,2,30,9246,0
7129,22,65,9596,0
1945,2,20,7990,0
2952,2,67,8980,0
319,12,37,9990,0
3463,0,28,10250,0
4819,0,20,7000,0
5306,0,50,7551,0
7425,9,38,4502,1
4995,0,39,9579,0
3077,9,61,7700,0
3844,4,27,10000,0
1545,8,61,8238,0
6980,7,44,19400,1
5014,34,51,3075,0
6888,3,50,10000,0
4918,19,53,16500,0
3767,12,61,5290,0
1941,10,31,10500,0
6518,34,55,24190,0
1488,2,50,14319,0
3341,1,37,24900,0
2877,1,20,6400,1
7275,19,49,19118,0
6253,40,66,16150,0
5218,6,42,9990,0
6000,5,31,21895,1
3538,18,40,9300,0
3089,2,35,11200,0
5885,1,46,11250,0
2842,0,21,18970,1
4812,1,65,5800,0
4149,0,49,16450,0
5341,0,23,13980,1
2221,1,30,11750,0
7167,6,34,7190,0
6869,4,39,12500,0
1142,5,35,10105,1
1168,1,27,17069,1
332,48,64,13620,0
586,1,28,10990,0
7288,6,59,13880,0
408,9,43,10520,0
37,25,58,18538,0
61,24,58,13500,0
6179,8,26,7970,0
1731,5,70,14200,0
7203,7,55,21524,0
2879,1,28,20039,0
1188,7,50,13500,0
4407,4,33,9890,0
6840,15,38,12485,0
4559,1,44,13000,1
6274,22,62,9790,0
7110,2,26,12990,0
95,10,51,18500,0
5781,6,53,6000,0
1978,3,21,23000,1
4584,0,46,12500,0
5598,1,28,7500,0
169,2,24,7560,0
1507,2,22,7990,0
4577,20,49,11490,0
6116,2,29,22850,1
1410,1,21,9190,0
4794,0,29,16730,0
6966,6,25,7579,1
7153,3,51,23100,0
2351,5,36,13684,0
3044,1,45,21000,0
6133,7,60,5360,0
1954,20,43,17000,0
3182,30,61,9100,0
2550,16,58,6000,1
6538,1,28,2950,0
3196,5,29,10220,0
2199,28,51,16000,0
2586,22,77,11800,0
736,5,67,14488,0
2937,23,42,7490,0
6502,17,44,10900,0
748,0,57,12990,1
7227,32,62,3629,0
1606,5,42,7430,0
251,3,36,18470,0
5812,1,21,21990,0
576,6,28,9450,0
4417,2,65,20900,0
3208,9,69,13300,0
5477,3,19,18990,1
4829,19,59,13990,1
3524,1,56,5000,0
2794,2,40,10900,0
2302,9,38,19880,0
5537,0,26,19886,0
1277,30,56,11050,0
1009,10,58,24500,0
7155,24,53,6019,0
4825,1,51,6300,0
429,0,38,11199,0
6620,31,55,12669,0
6332,3,65,6990,0
3148,25,53,3700,0
544,0,41,8490,0
4687,27,54,13890,0
2178,10,63,19890,1
3221,19,78,13950,0
7323,7,59,9035,0
1144,27,46,6244,0
3309,25,49,9250,0
1320,20,58,7641,0
1726,32,54,18990,0
263,32,59,13700,0
5842,3,45,12901,0
3927,1,49,13750,0
4626,5,48,9400,0
3570,13,37,9950,0
7104,17,48,17000,0
2338,11,53,14440,0
4084,29,46,16809,0
7000,1,31,3950,0
3626,7,49,16388,0
2484,4,39,9590,0
1964,36,59,7897,0
6246,4,30,7990,0
2732,22,57,2700,0
1672,23,57,13500,0
3885,10,32,17910,0
79,0,44,5839,0
3404,7,59,24585,0
3995,1,55,6990,1
3113,3,60,4016,0
6804,4,34,12790,0
5455,6,49,16250,0
5609,5,50,7685,0
3265,5,54,12690,1
5266,0,21,6350,0
2245,8,28,24900,0
1544,1,26,5675,1
230,2,65,7500,0
6932,1,25,7825,1
6876,2,27,8690,1
2126,33,51,19990,0
4952,7,47,18490,1
5033,28,63,20310,0
6425,2,31,8990,0
6266,3,50,14200,0
3779,6,38,16490,0
6333,20,63,7000,0
1760,1,19,22890,1
6314,8,51,15900,0
5184,4,36,9335,1
4582,8,37,34829,0
2406,1,32,7650,0
3886,1,52,16800,0
177,15,78,12540,0
1616,8,67,8590,0
5318,44,64,11884,0
3307,0,37,5400,0
