,Job tenure,Age,Car price,Default (y)
3464,0,22,24421,1
2644,24,61,9243,1
1614,5,49,4450,1
3554,1,21,11987,1
5048,2,21,12790,1
421,2,42,9800,1
538,5,27,17877,1
6409,0,22,16000,1
443,17,83,12490,1
4655,3,19,14560,1
5064,2,26,10000,1
2652,3,32,13100,1
4608,0,24,6950,1
7384,4,46,9000,1
5288,3,68,21377,1
336,3,76,12990,1
4834,1,49,4550,1
741,0,22,4600,1
5231,1,23,14269,1
3837,6,56,12200,1
5244,1,43,19900,1
7322,7,35,30500,0
584,10,31,23367,1
2509,0,27,14110,1
1168,1,27,17069,1
5019,3,22,23700,0
3704,2,32,10490,1
6560,1,22,25040,1
751,22,60,10490,1
118,3,20,22586,1
3892,29,49,21900,1
7207,13,67,7900,1
3131,2,37,30500,0
1181,3,23,15317,1
2526,1,38,12950,1
3593,1,31,24990,1
325,7,49,7980,1
5170,4,53,12138,1
5351,0,20,8500,0
5992,29,51,5300,1
218,0,22,17890,1
2799,2,22,12500,1
625,2,22,8900,1
2697,1,35,17490,1
5702,16,62,9950,1
3411,5,54,18880,1
2915,6,26,5670,1
6563,1,39,9790,1
1370,1,61,24135,1
5325,5,54,10630,1
5782,4,20,21990,1
648,0,20,10990,1
3995,1,55,6990,1
1598,0,19,27250,1
2550,16,58,6000,1
748,0,57,12990,1
1157,4,59,12909,1
1127,2,39,21970,1
1073,3,41,12078,1
1723,12,55,3696,1
2825,6,36,29000,1
4011,2,34,8115,1
7265,7,32,4634,1
6044,5,49,17500,1
196,3,19,7990,0
7183,2,45,12978,1
1212,2,27,30061,0
6923,2,41,7990,1
500,1,56,7950,1
2299,10,72,8990,1
2404,0,19,10669,1
2955,5,28,10500,1
3237,1,64,26500,0
2841,0,64,20990,1
6116,2,29,22850,1
2892,4,31,12790,1
862,0,18,19898,1
5624,5,69,9500,1
5013,28,82,6780,1
3274,1,49,2718,1
3032,18,45,9276,1
1700,0,31,9119,1
283,10,71,2775,1
5844,7,41,12010,1
1551,7,36,22739,1
3362,2,18,7770,1
706,11,76,6900,1
4567,19,43,12282,1
1334,1,26,7400,1
6203,1,36,9690,1
3094,7,55,7990,1
227,1,52,19350,1
5998,8,33,25858,1
5602,3,55,16490,1
3454,2,54,16390,1
6098,1,43,15890,1
1728,7,66,9659,1
6690,5,47,8456,1
1361,0,27,22390,0
3809,5,78,11940,1
1918,0,24,8800,1
2410,0,19,6290,1
7141,7,71,7950,1
511,12,76,6711,1
4498,0,37,12490,1
231,1,41,23860,0
2445,12,54,9990,1
6370,0,33,29990,1
4704,0,46,11490,1
2676,4,66,10940,1
7018,1,41,22300,0
2842,0,21,18970,1
3290,0,49,26926,1
1661,1,44,12000,1
5799,0,44,30850,0
6567,5,57,10850,1
6462,1,66,5287,1
5242,5,54,27377,0
1921,3,42,8140,1
2250,4,35,13000,1
4184,1,28,24790,1
4326,2,40,23780,1
869,2,49,20950,1
1105,4,60,5300,1
4753,4,44,20600,1
4127,9,77,19990,1
4722,12,40,8990,1
5628,9,70,21300,1
5643,1,19,21950,1
4284,8,52,24711,1
5921,11,74,18740,1
2271,0,41,13425,1
4264,16,55,3032,1
3450,2,30,24500,0
2700,2,57,27280,0
996,37,57,15790,1
6365,1,38,14980,1
498,1,35,11850,1
4306,1,18,6200,1
1569,1,21,25490,0
7425,9,38,4502,1
7221,0,44,22000,0
2656,0,31,14290,1
3749,4,30,9970,1
4434,8,24,13990,1
469,18,77,7299,1
5522,16,58,6000,1
2633,2,25,34500,1
6244,2,45,5900,1
1979,0,20,11365,1
339,0,21,8684,1
3395,19,44,8490,1
5970,0,32,13600,1
1234,1,39,17990,1
2687,0,24,26490,1
5121,4,39,10400,1
3655,17,54,18889,1
387,5,54,5900,1
6870,2,34,25877,1
6479,10,32,8415,1
142,0,38,24880,1
4545,0,40,3990,1
5168,7,55,13750,1
2575,0,64,23175,1
5007,20,48,7990,1
747,1,22,25658,1
1261,2,35,30070,1
6995,3,35,11990,1
5184,4,36,9335,1
4229,24,45,6790,1
2559,1,25,20990,1
7258,2,25,27750,1
1703,3,51,8400,1
303,0,23,25280,1
543,2,20,5990,1
1554,3,54,18930,1
3651,0,26,14790,1
2476,10,34,16900,1
585,1,23,12990,1
3298,0,35,15000,1
2906,0,18,12800,1
3862,0,28,9950,1
847,0,25,26000,1
5495,3,26,7000,1
2450,1,51,7480,1
2683,2,21,22040,1
103,0,41,16379,1
2963,4,47,5250,1
861,2,24,15340,1
3559,2,20,13990,1
2020,7,81,7590,1
3621,2,55,9630,1
5112,2,18,7600,0
91,2,56,22129,0
5389,12,55,15495,1
641,15,58,6500,1
3011,1,53,23005,1
2318,3,20,8450,1
737,2,63,34700,0
3616,0,35,7980,1
3856,10,39,4200,1
6304,7,53,7990,0
6398,8,73,22990,1
7006,0,19,19900,1
5786,1,24,28990,1
401,1,29,30968,1
810,23,52,23450,1
4905,2,33,19625,1
1018,1,22,15885,1
6143,19,55,20590,1
2275,2,42,24500,1
5074,1,50,23500,0
5025,2,33,23500,0
5568,8,72,5880,1
453,2,30,32000,0
2654,4,31,15995,1
6366,14,77,13990,1
2316,5,21,23000,0
6182,25,61,17525,1
3948,0,57,7300,1
2519,0,25,8000,1
4108,24,79,4500,1
7305,5,41,6985,1
4975,4,52,12500,1
4395,5,59,9500,1
6645,0,33,9500,1
4074,21,56,6500,1
3785,2,25,17410,1
5041,0,18,11680,1
6966,6,25,7579,1
2727,1,44,11700,1
3172,1,56,27000,1
3388,0,21,8990,1
2880,2,18,14010,1
6264,0,19,6450,1
2648,1,28,23800,0
6234,6,49,7900,0
1373,8,68,8990,1
2370,3,47,25000,0
411,41,70,6200,1
5850,1,30,15985,1
6726,1,21,25990,0
3442,0,24,12500,1
5639,20,54,8000,1
4458,7,63,14295,1
5903,5,59,14023,1
4712,4,68,15590,1
6392,1,48,11990,1
2846,4,62,24980,1
7169,2,37,12490,1
2792,18,44,10990,1
4456,0,21,18300,0
7053,0,23,11890,1
5447,1,32,11300,1
6097,0,21,17990,1
5509,0,57,10300,1
3896,9,63,11508,1
4325,2,33,15990,1
178,6,29,35010,0
3575,9,57,9519,1
4301,0,45,22390,1
6150,1,55,6340,1
3381,1,23,19990,1
6470,0,52,10980,1
2716,8,73,26839,1
210,12,32,20016,1
3857,0,29,22000,1
4782,27,70,6850,1
5570,0,19,11900,1
3429,5,22,10500,1
5711,4,22,8000,1
4176,18,46,12500,1
981,4,37,1643,1
450,13,57,6077,1
4322,0,22,9990,1
1860,2,19,13990,1
183,0,34,28650,1
4742,0,18,6000,0
802,2,40,26490,1
6805,2,21,24800,1
4561,0,33,9500,1
101,1,40,15990,1
3527,16,45,7179,1
380,0,19,9999,1
5994,0,42,7200,1
4907,1,45,22145,1
5936,2,37,17890,1
4993,24,58,13130,1
705,1,19,23990,1
4553,2,29,12800,1
4098,1,41,12500,1
212,3,22,3990,1
4537,2,41,22329,0
