,Job tenure,Age,Car price,Default (y)
4362,24,82,6680,0
4727,23,77,13960,0
2644,24,61,9243,1
3197,4,62,4990,0
6400,31,53,5900,0
3424,1,64,16790,0
443,17,83,12490,1
5077,28,52,12800,0
4245,2,67,3300,0
6165,5,71,11054,0
2669,17,70,6700,0
6992,26,46,9990,0
3768,23,41,10990,0
2689,28,58,11060,0
6766,4,58,10350,0
6426,2,67,16339,0
5288,3,68,21377,1
6013,23,50,10900,0
3662,11,71,2830,0
336,3,76,12990,1
4228,31,48,28390,0
3752,27,55,17550,0
1041,32,57,5254,0
3837,6,56,12200,1
783,11,61,14590,0
5740,18,54,5971,0
506,19,60,7350,0
3102,11,46,4084,0
88,39,63,15990,0
2664,11,58,22080,0
3583,18,73,3659,0
5532,20,53,11650,0
1730,18,51,25700,0
2283,9,51,11980,0
1033,19,49,9000,0
6223,15,50,27590,0
4125,22,63,16650,0
414,30,54,23521,0
751,22,60,10490,1
3892,29,49,21900,1
7207,13,67,7900,1
4489,0,63,6800,0
2577,35,58,7207,0
1446,7,68,6400,0
180,12,59,27219,0
4032,4,66,12990,0
7348,16,48,11040,0
2418,25,55,4140,0
1223,11,49,15990,0
6529,18,45,7870,0
68,10,51,16900,0
198,13,48,10360,0
5891,6,56,15990,0
4436,10,60,11200,0
1083,14,75,4899,0
5684,34,50,31915,0
2820,26,46,16990,0
4128,19,38,5890,0
84,17,53,9800,0
1616,8,67,8590,0
5992,29,51,5300,1
3114,9,53,13980,0
5702,16,62,9950,1
5542,32,58,13500,0
2447,26,58,13900,0
3532,15,48,5000,0
644,21,76,13150,0
7316,20,47,6900,0
3405,21,49,29710,0
7389,3,68,14790,0
6579,8,49,6155,0
6050,11,72,10490,0
5325,5,54,10630,1
7323,7,59,9035,0
4998,13,75,9850,0
5162,14,59,11290,0
4538,14,52,13100,0
744,4,54,7495,0
5321,25,51,3608,0
3207,5,52,5825,0
4371,25,49,14623,0
6382,24,45,7990,0
3407,22,45,20970,0
2550,16,58,6000,1
6301,14,55,23719,0
4526,20,53,12300,0
3276,28,51,14900,0
1357,15,66,5901,0
1157,4,59,12909,1
3346,25,42,11490,0
4684,12,69,22126,0
7321,9,69,11885,0
4733,13,49,5924,0
2146,29,57,4990,0
4480,11,50,9700,0
461,18,55,9331,0
4343,25,51,23600,0
1539,21,50,4750,0
7223,17,62,12500,0
2602,27,52,9990,0
2885,19,46,22702,0
1451,26,56,8500,0
5613,36,60,10379,0
1723,12,55,3696,1
1526,0,63,5698,0
4213,2,64,10250,0
6133,7,60,5360,0
5339,11,52,19249,0
5291,15,77,9259,0
7014,3,67,12000,0
1277,30,56,11050,0
6076,25,49,14990,0
5433,7,65,5490,0
3615,35,52,12000,0
4504,16,38,5500,0
2207,28,51,12000,0
1199,28,49,28000,0
2266,18,49,14600,0
1773,6,58,2791,0
1954,20,43,17000,0
5834,4,67,16359,0
2851,10,48,5895,0
295,7,58,4643,0
2299,10,72,8990,1
485,17,62,5890,0
3143,6,56,5037,0
1587,9,75,19990,0
2934,29,57,4940,0
6600,5,67,12990,0
2123,4,67,6500,0
5823,15,45,16900,0
3164,23,54,7039,0
6004,39,60,20666,0
1366,31,58,30685,0
5002,10,74,11800,0
5038,7,49,5239,0
2570,17,54,9900,0
1672,23,57,13500,0
4877,15,58,11950,0
7071,8,59,10109,0
2232,25,56,8375,0
3167,16,47,25000,0
134,19,56,19160,0
5681,34,51,9460,0
1292,18,51,11490,0
2100,19,62,14490,0
1480,26,56,9000,0
5624,5,69,9500,1
1545,8,61,8238,0
5013,28,82,6780,1
41,21,40,6752,0
430,11,73,14990,0
3032,18,45,9276,1
4290,28,58,15069,0
5395,34,51,14990,0
283,10,71,2775,1
970,23,40,13970,0
2815,30,55,15350,0
3656,26,55,18402,0
706,11,76,6900,1
4567,19,43,12282,1
1056,26,50,12850,0
1444,23,45,8990,0
5461,33,54,12430,0
5189,28,47,9380,0
1803,3,67,12705,0
3094,7,55,7990,1
3289,1,60,5500,0
4004,36,58,17165,0
1078,35,52,19025,0
25,4,67,2986,0
1201,18,39,14300,0
1728,7,66,9659,1
1720,14,54,24136,0
978,7,67,12200,0
5784,25,46,18650,0
4113,4,57,5012,0
348,24,52,5990,0
3809,5,78,11940,1
1025,6,71,11990,0
211,24,43,23000,0
4803,7,56,9850,0
2897,8,51,10480,0
4103,9,50,4490,0
4692,19,57,19990,0
4506,14,73,9750,0
1535,22,47,11318,0
7141,7,71,7950,1
511,12,76,6711,1
701,30,50,9990,0
298,24,47,15030,0
7271,13,60,8500,0
5132,17,70,10500,0
3477,15,56,10650,0
2166,9,52,20204,0
736,5,67,14488,0
2445,12,54,9990,1
276,15,53,7000,0
4028,2,65,10895,0
5349,17,76,8173,0
6929,20,41,13990,0
4367,15,42,4529,0
1096,50,70,15990,0
2676,4,66,10940,1
3544,22,42,14665,0
6907,11,76,18200,0
611,14,72,9540,0
1610,13,51,13990,0
1192,16,43,10740,0
803,30,56,10403,0
3929,12,47,13500,0
1533,12,51,21200,0
2868,10,49,9950,0
5957,29,61,12844,0
5418,24,60,16500,0
6567,5,57,10850,1
321,26,46,15300,0
6462,1,66,5287,1
2789,7,70,19377,0
4080,35,55,23723,0
5110,1,64,9500,0
6589,30,53,9900,0
5171,8,55,11395,0
2972,15,49,11790,0
6592,3,65,9990,0
3685,2,65,4625,0
1519,15,46,15284,0
203,1,62,7980,0
415,17,48,8000,0
6062,26,54,13300,0
3667,17,67,18500,0
397,16,52,17849,0
1105,4,60,5300,1
4127,9,77,19990,1
5277,14,49,16500,0
4085,33,49,19630,0
5804,16,77,5350,0
599,14,52,14200,0
5628,9,70,21300,1
3592,10,68,9990,0
4668,15,47,10800,0
4303,9,55,4775,0
355,24,60,13040,0
2765,20,43,10990,0
6658,15,49,4490,0
4302,5,55,5570,0
621,19,46,10450,0
5282,20,39,8395,0
5967,13,68,6170,0
59,28,48,29139,0
5921,11,74,18740,1
3994,4,59,16950,0
2323,16,44,10580,0
3425,22,61,5500,0
4264,16,55,3032,1
3043,19,58,6437,0
996,37,57,15790,1
6140,5,57,15990,0
3905,2,65,16900,0
1340,21,38,23580,0
3680,20,46,4810,0
2787,13,47,6715,0
3001,8,50,11390,0
1767,26,48,8470,0
5243,42,60,9990,0
4861,16,56,10418,0
3218,5,65,8490,0
5623,19,39,22930,0
6026,14,75,8300,0
5281,37,57,13490,0
192,36,56,21400,0
3306,23,50,21260,0
4917,10,70,11985,0
4017,38,63,6200,0
4525,20,80,6862,0
4450,11,50,6500,0
5629,6,50,5100,0
3107,45,65,7186,0
2373,26,43,7200,0
3431,21,47,10500,0
678,3,54,4790,0
5746,23,46,6968,0
4726,23,49,21989,0
469,18,77,7299,1
1538,17,48,22300,0
1575,5,70,20830,0
5522,16,58,6000,1
1129,2,66,18198,0
6952,25,59,13700,0
3484,10,74,7990,0
972,8,57,11800,0
1163,38,55,18939,0
4500,25,58,15617,0
6473,7,51,3981,0
4329,37,54,11485,0
3395,19,44,8490,1
1777,12,72,7450,0
4357,9,58,13990,0
5380,18,51,13049,0
2997,5,57,13309,0
58,15,56,11801,0
2398,17,82,13995,0
2916,7,58,10550,0
1429,18,49,20990,0
7378,8,56,3490,0
0,34,55,4875,0
2957,8,53,7250,0
3649,29,58,6680,0
6922,2,67,14400,0
6001,12,78,11155,0
1669,23,54,17990,0
3168,29,56,20000,0
2670,3,66,10990,0
3260,2,61,9950,0
3932,16,48,10800,0
418,0,60,6415,0
3655,17,54,18889,1
387,5,54,5900,1
6274,22,62,9790,0
1391,35,69,7838,0
6216,15,48,6850,0
4951,19,49,13730,0
6189,10,66,30970,0
318,17,56,8390,0
5454,37,56,27500,0
2576,34,51,9500,0
2126,33,51,19990,0
5168,7,55,13750,1
6003,25,50,14990,0
