Index,Cluster
4362,1
3464,0
4727,1
2644,1
5736,0
755,0
6734,0
3197,1
1614,0
3554,0
6400,1
3408,0
7253,0
6356,0
3424,1
5048,0
421,0
44,0
538,0
6409,0
443,1
2407,0
6110,0
4655,0
6145,0
1255,0
1701,0
654,0
319,0
4384,0
5077,1
5064,0
2652,0
4608,0
7384,0
4245,1
6165,1
915,0
2669,1
6992,1
3768,1
2689,1
1562,0
6766,1
6426,1
2516,0
5288,1
6013,1
5768,0
3662,1
6218,0
921,0
1942,0
336,1
7268,0
4834,0
6105,0
741,0
4228,1
3752,1
5231,0
1041,1
3837,1
2883,0
783,1
5244,0
7322,0
4309,0
5740,1
1580,0
3018,0
584,0
2509,0
506,1
3102,1
4522,0
88,1
1168,0
1928,0
4231,0
2664,1
5019,0
3852,0
3583,1
5532,1
6695,0
6380,0
1730,1
3704,0
2283,1
1033,1
2840,0
5751,0
6223,1
4125,1
6560,0
7153,0
414,1
751,1
118,0
6499,0
4840,0
5698,0
3892,1
7207,1
6798,0
3131,0
4489,1
2577,1
809,0
1446,1
6758,0
2177,0
180,1
4032,1
1181,0
7348,1
7226,0
2418,1
1223,1
6529,1
68,1
198,1
5891,1
2526,0
4436,1
3593,0
436,0
325,0
1083,1
5684,1
2820,1
4128,1
84,1
5170,0
5351,0
1616,1
108,0
5992,1
218,0
3114,1
2799,0
4767,0
3858,0
625,0
2697,0
3016,0
6599,0
6314,0
5702,1
3411,0
5542,1
2447,1
3532,1
644,1
6960,0
4374,0
6340,0
7316,1
3405,1
7389,1
2915,0
2439,0
6579,1
6050,1
5368,0
6563,0
3661,0
1370,0
5325,1
5782,0
7323,1
4998,1
156,0
648,0
5162,1
4538,1
744,1
3995,0
1268,0
1432,0
5321,1
3207,1
1598,0
4371,1
1831,0
5090,0
6382,1
3407,1
2550,1
6301,1
4526,1
1024,0
3276,1
533,0
7213,0
1357,1
7274,0
748,0
1157,1
1127,0
5333,0
2333,0
3346,1
4684,1
7212,0
7321,1
4733,1
2132,0
2146,1
2798,0
4480,1
2226,0
461,1
3248,0
1073,0
3641,0
4343,1
2927,0
1539,1
7223,1
2436,0
4192,0
2602,1
5480,0
2885,1
1451,1
3491,0
5613,1
1723,1
2825,0
1526,1
4011,0
790,0
7199,0
1425,0
1847,0
3439,0
4213,1
6605,0
4739,0
6133,1
838,0
6104,0
7265,0
5339,1
1222,0
5291,1
7014,1
1277,1
6044,0
6076,1
196,0
7183,0
7060,0
5433,1
4707,0
3615,1
1212,0
1718,0
4507,0
4504,1
2277,0
7301,0
2207,1
3907,0
1199,1
3098,0
2266,1
1773,1
4828,0
5839,0
1954,1
5834,1
2851,1
1659,0
5842,0
295,1
6923,0
500,0
2299,1
5224,0
485,1
3536,0
3143,1
2404,0
2688,0
1587,1
2934,1
287,0
6460,0
6600,1
4296,0
2955,0
2123,1
5823,1
3063,0
3237,0
3164,1
2841,0
6662,0
6004,1
1366,1
5002,1
5038,1
6116,0
2892,0
2540,0
721,0
862,0
2570,1
2552,0
1672,1
5466,0
4877,1
7411,0
7071,1
4269,0
2232,1
3167,1
134,1
5681,1
4630,0
1292,1
3815,0
2100,1
1480,1
5624,1
1545,1
5013,1
1515,0
41,1
4041,0
5465,0
430,1
3274,0
6257,0
3075,0
3032,1
1095,0
4290,1
1700,0
5395,1
283,1
970,1
6708,0
5219,0
1626,0
5844,0
2815,1
1551,0
3656,1
3362,0
706,1
5552,0
4257,0
1313,0
1647,0
4567,1
1578,0
1334,0
354,0
544,0
1056,1
6203,0
1444,1
5461,1
5189,1
1803,1
3094,1
3289,1
4581,0
227,0
4004,1
5998,0
5602,0
4407,0
1078,1
3454,0
6362,0
6612,0
25,1
6098,0
5316,0
1201,1
1728,1
1720,1
6690,0
2594,0
978,1
2492,0
1361,0
5784,1
4113,1
348,1
3809,1
1025,1
3955,0
1918,0
2646,0
4570,0
211,1
2248,0
4803,1
2897,1
2410,0
4103,1
4692,1
4506,1
185,0
1535,1
7141,1
511,1
701,1
6648,0
298,1
3794,0
7271,1
1589,0
4498,0
231,0
3666,0
1965,0
5132,1
1873,0
3477,1
2166,1
736,1
2445,1
276,1
2895,0
1322,0
4028,1
5349,1
6929,1
4367,1
1096,1
4273,0
6370,0
4704,0
2676,1
4554,0
