Index,Cluster
4362,1
3464,1
4727,1
2644,0
5736,0
755,0
6734,0
3197,0
1614,1
3554,1
6400,1
3408,1
7253,0
6356,0
3424,0
5048,1
421,1
44,0
538,1
6409,1
443,0
2407,0
6110,0
4655,1
6145,0
1255,1
1701,0
654,1
319,1
4384,1
5077,1
5064,1
2652,1
4608,1
7384,1
4245,0
6165,0
915,0
2669,1
6992,1
3768,1
2689,1
1562,0
6766,0
6426,0
2516,1
5288,1
6013,1
5768,0
3662,1
6218,1
921,0
1942,0
336,1
7268,0
4834,1
6105,0
741,1
4228,1
3752,1
5231,1
1041,1
3837,0
2883,1
783,1
5244,1
7322,1
4309,0
5740,1
1580,0
3018,0
584,0
2509,1
506,1
3102,1
4522,0
88,1
1168,1
1928,0
4231,0
2664,1
5019,0
3852,0
3583,1
5532,1
6695,0
6380,0
1730,1
3704,1
2283,1
1033,1
2840,0
5751,0
6223,1
4125,1
6560,1
7153,0
414,1
751,0
118,1
6499,0
4840,0
5698,1
3892,0
7207,0
6798,0
3131,0
4489,0
2577,1
809,1
1446,1
6758,0
2177,0
180,1
4032,0
1181,1
7348,1
7226,1
2418,1
1223,1
6529,1
68,1
198,1
5891,1
2526,1
4436,1
3593,1
436,0
325,0
1083,1
5684,1
2820,1
4128,1
84,1
5170,1
5351,0
1616,1
108,0
5992,0
218,1
3114,1
2799,1
4767,0
3858,0
625,1
2697,1
3016,0
6599,0
6314,1
5702,0
3411,1
5542,1
2447,1
3532,1
644,1
6960,0
4374,0
6340,0
7316,1
3405,1
7389,0
2915,0
2439,1
6579,1
6050,1
5368,0
6563,1
3661,0
1370,1
5325,1
5782,1
7323,1
4998,1
156,0
648,1
5162,1
4538,1
744,0
3995,1
1268,0
1432,0
5321,1
3207,0
1598,1
4371,1
1831,1
5090,0
6382,1
3407,1
2550,0
6301,1
4526,1
1024,0
3276,1
533,1
7213,0
1357,1
7274,0
748,1
1157,1
1127,1
5333,1
2333,0
3346,1
4684,1
7212,0
7321,1
4733,1
2132,1
2146,1
2798,0
4480,1
2226,0
461,1
3248,1
1073,1
3641,0
4343,1
2927,0
1539,1
7223,1
2436,1
4192,0
2602,1
5480,1
2885,1
1451,1
3491,0
5613,1
1723,0
2825,0
1526,0
4011,1
790,0
7199,1
1425,0
1847,1
3439,1
4213,0
6605,1
4739,0
6133,1
838,1
6104,0
7265,0
5339,1
1222,1
5291,1
7014,0
1277,1
6044,1
6076,1
196,0
7183,1
7060,0
5433,1
4707,0
3615,1
1212,0
1718,0
4507,1
4504,1
2277,0
7301,0
2207,1
3907,0
1199,1
3098,1
2266,1
1773,1
4828,0
5839,0
1954,1
5834,0
2851,1
1659,1
5842,0
295,1
6923,1
500,1
2299,0
5224,0
485,1
3536,0
3143,1
2404,1
2688,0
1587,0
2934,1
287,1
6460,0
6600,0
4296,0
2955,1
2123,0
5823,1
3063,0
3237,0
3164,1
2841,1
6662,0
6004,1
1366,1
5002,1
5038,1
6116,1
2892,1
2540,0
721,0
862,1
2570,1
2552,1
1672,1
5466,0
4877,1
7411,0
7071,1
4269,0
2232,1
3167,1
134,1
5681,1
4630,0
1292,1
3815,1
2100,1
1480,1
5624,1
1545,1
5013,0
1515,0
41,1
4041,1
5465,0
430,1
3274,1
6257,0
3075,0
3032,0
1095,0
4290,1
1700,1
5395,1
283,0
970,1
6708,1
5219,0
1626,0
5844,0
2815,1
1551,0
3656,1
3362,1
706,0
5552,0
4257,0
1313,0
1647,1
4567,0
1578,0
1334,1
354,0
544,0
1056,1
6203,1
1444,1
5461,1
5189,1
1803,0
3094,0
3289,0
4581,0
227,1
4004,1
5998,0
5602,1
4407,0
1078,1
3454,1
6362,0
6612,1
25,0
6098,1
5316,0
1201,1
1728,0
1720,1
6690,1
2594,0
978,1
2492,0
1361,0
5784,1
4113,0
348,1
3809,1
1025,0
3955,0
1918,1
2646,0
4570,0
211,1
2248,0
4803,1
2897,1
2410,1
4103,1
4692,1
4506,1
185,0
1535,1
7141,1
511,0
701,1
6648,0
298,1
3794,0
7271,1
1589,1
4498,1
231,0
3666,1
1965,0
5132,1
1873,0
3477,1
2166,1
736,0
2445,0
276,1
2895,1
1322,0
4028,0
5349,1
6929,1
4367,1
1096,0
4273,0
6370,1
4704,1
2676,1
4554,1
3544,1
2477,0
7077,0
2464,0
79,0
5459,0
6907,1
611,1
6904,1
658,1
1817,0
7018,0
1610,1
1192,1
803,1
6178,1
2805,1
3929,1
1533,1
2868,1
2842,1
6317,0
3290,1
1488,0
3473,0
5653,0
4152,0
5957,1
5885,0
3545,0
1661,1
5799,0
6200,0
5418,1
5673,0
640,0
6567,1
1793,1
321,1
4404,0
6746,0
7070,1
6462,1
4110,0
6594,0
2651,1
2789,0
1740,0
3933,0
5242,0
4080,1
5110,0
1921,1
6589,1
5171,1
5455,1
2972,1
6592,0
3685,0
1519,1
6622,0
1482,0
2250,1
7302,1
2881,0
6299,0
4184,1
203,0
6277,0
415,1
6062,1
4326,1
3667,1
397,1
4376,0
869,1
1105,1
4753,1
4127,0
6247,0
5277,1
4251,1
6066,0
1436,0
4085,1
4722,0
5804,1
599,1
1023,0
5628,0
3592,1
4668,1
5643,1
4217,1
4303,1
1108,0
355,1
315,0
3210,0
2765,1
2609,1
6658,1
6058,1
4284,0
1468,0
4302,0
621,1
5282,1
5967,1
59,1
5921,0
3994,0
6595,0
4092,0
4502,0
2323,1
3425,1
2271,1
7391,0
4264,0
3450,0
4870,0
2700,0
7201,0
3043,1
996,0
6365,1
6140,0
3905,0
3434,0
498,1
4306,1
1340,1
3680,1
1569,0
4625,1
2787,1
937,0
1113,0
3001,1
4995,0
7425,0
1051,0
2767,0
3297,1
5564,0
5230,1
2517,0
2354,1
7221,0
2656,1
1767,1
3878,0
5440,0
5243,1
3749,1
7067,0
4861,1
3218,0
5623,1
2378,0
6026,1
5281,1
2685,0
3366,0
192,1
4053,0
62,0
1426,0
2641,0
3306,1
4917,1
4017,1
4434,0
4525,1
589,0
4450,1
2303,0
5780,0
5629,1
3107,1
7200,1
2373,1
7092,0
2781,0
3431,1
5356,1
6638,0
678,0
5798,0
4774,0
5746,1
2288,0
32,0
4726,1
1111,1
469,0
5054,0
1538,1
1575,0
5522,0
2633,1
96,0
6244,1
4552,0
1129,0
6952,1
1979,1
3484,0
1671,0
972,1
7290,1
1163,1
339,1
6321,0
4500,1
1116,0
5151,0
6473,1
4329,1
5964,0
3153,0
3395,0
1777,1
4357,1
5970,1
7428,1
4985,0
2726,0
5380,1
743,1
626,0
2997,0
58,1
5995,0
3313,1
2398,1
2094,1
2916,1
1429,1
1234,1
7378,1
2687,1
6912,0
4165,1
0,1
2957,1
5121,1
676,0
3649,1
1337,1
194,0
6922,0
3245,1
6001,1
1669,1
3168,1
2670,0
841,0
3089,0
2572,0
3260,0
3932,1
4209,0
418,0
3655,0
387,1
6274,1
4240,0
1391,1
2103,1
3181,0
6216,1
7180,0
4122,0
6984,0
3570,1
4951,1
6652,0
6870,1
3770,0
3693,1
6479,0
3296,0
6189,1
318,1
5454,1
5538,0
2576,1
3021,0
142,1
2126,1
4545,1
5168,0
2575,1
4899,0
3475,0
6048,0
6003,1
965,1
6942,0
4002,0
4291,0
4731,0
4087,0
4698,0
6587,1
1215,1
5007,0
2510,1
747,1
1261,1
7310,0
6134,0
6751,0
2377,0
4180,1
4101,1
3805,1
6995,1
5598,0
6651,1
1287,1
5184,1
6789,0
4229,0
5636,0
2559,1
1430,1
2705,1
7222,0
7258,1
4730,1
6159,0
5928,1
1703,1
5196,1
2498,1
4105,0
7252,0
6631,1
4771,1
2619,0
4427,1
3196,0
1094,0
2412,1
3000,0
303,1
93,1
3455,1
543,1
3534,1
752,1
4541,1
4629,0
5185,1
1554,1
2036,1
3651,1
2476,0
1320,1
4751,0
6290,0
1801,1
7261,0
3784,1
2662,0
2312,0
1501,0
6810,1
139,1
3003,0
4987,0
2827,1
7173,1
5359,1
1036,0
2910,1
585,1
157,1
7421,1
3262,0
1009,1
1971,1
6654,0
5269,0
1467,0
465,0
7297,1
1886,0
6519,1
1216,0
61,1
7266,1
4546,1
1649,0
6602,1
668,0
3298,1
6759,1
1075,1
5195,1
6914,0
2906,1
1992,1
3718,1
4441,0
3862,1
708,0
7124,0
3505,1
3949,0
5983,0
3113,0
439,1
866,0
4847,1
2093,1
847,1
2900,0
4055,0
2001,0
4442,0
2319,0
5495,1
2450,1
2683,1
1894,0
960,1
2533,0
4695,1
103,1
2963,1
6081,0
861,1
5929,1
3049,1
4487,0
1880,1
1270,1
1499,1
5557,0
3559,1
480,0
6447,1
2020,1
764,0
3621,1
2182,0
5144,0
5112,0
5001,0
3698,0
4248,0
5958,1
3733,0
91,0
3480,1
3319,1
3076,1
6780,0
7354,0
1666,0
188,1
4885,0
979,0
7095,1
5389,0
944,1
641,0
7259,1
4279,1
5789,1
3011,1
6977,0
7076,1
5055,0
3203,1
4791,1
5531,0
6074,1
7204,1
3382,1
2318,1
4666,1
5192,1
871,0
7295,0
5973,1
1393,0
737,0
3616,1
2052,0
1079,0
3856,0
5239,1
6115,1
3601,1
6304,0
5470,1
6682,0
1323,0
2862,0
4955,1
6398,1
1582,1
7006,1
111,0
7164,1
300,0
633,0
6487,1
6801,1
4147,1
5786,1
401,1
1224,1
810,0
12,0
479,1
4462,0
3501,1
52,1
4905,1
1018,1
4766,1
5775,1
6982,1
7133,0
3820,0
238,0
5413,1
3357,1
5785,0
903,1
6143,0
2213,0
234,1
5430,0
2275,1
7249,0
3309,1
2375,0
2168,0
360,1
3328,0
7203,1
5193,0
5074,0
6993,0
7047,1
5025,0
6444,0
7139,1
5568,1
1434,0
6240,1
3166,0
4852,1
453,0
3488,1
2144,0
5437,0
4691,1
3846,1
2536,0
6056,1
2138,1
2654,1
5216,0
2223,1
576,1
6366,0
5118,1
3774,0
1281,1
2316,0
6723,0
1658,0
4816,0
2170,1
2828,1
6270,0
2819,1
2374,1
7238,1
1258,1
6182,0
2622,0
3948,1
1830,0
5406,1
3254,0
566,1
2960,0
4410,0
3246,0
2519,1
373,1
2578,1
4108,0
5403,1
7305,1
4975,1
1634,1
4395,1
5227,0
879,0
1775,1
6693,0
6645,1
1963,1
7103,0
4074,0
3785,1
5979,1
5041,1
5901,0
4582,1
6966,1
3285,0
2663,0
4679,1
334,0
1295,1
4149,0
2280,0
2727,1
3172,1
3388,1
2880,1
6264,1
5960,0
2258,0
7068,1
6000,1
2648,0
5537,0
816,1
6234,0
1373,0
657,1
2627,0
6350,0
3684,1
48,0
2370,0
1691,1
411,0
3535,0
6533,1
1315,1
1330,0
4575,1
5302,0
5011,0
6209,1
7233,1
4510,1
1770,1
1371,0
6347,1
5111,1
2684,1
6990,0
6464,1
5850,1
3939,0
416,1
1656,0
1044,0
3379,1
6726,0
3442,1
5294,0
73,0
5639,0
4458,0
1362,1
6123,0
366,1
3350,0
5903,1
5201,0
5666,0
1688,0
5696,1
4979,0
3133,0
6853,1
2346,0
3524,0
3066,1
5329,1
5078,0
2480,0
6900,1
1489,0
2566,1
5345,1
679,1
2984,0
4712,1
6392,1
2846,1
794,0
3437,0
1378,1
6107,0
829,1
6901,1
102,0
5865,1
789,1
2754,0
3194,1
5692,1
5519,0
7169,1
6017,1
2792,0
3007,1
4456,0
3499,0
5328,1
1092,1
6309,1
3782,1
4253,1
942,1
1507,0
4141,1
2406,0
2918,1
4586,1
3518,1
473,1
4813,0
1310,1
888,0
6635,1
5438,0
3149,1
5354,1
7053,1
5447,1
6856,1
4386,1
6097,1
3834,0
1511,1
5509,1
2521,1
6597,0
2351,0
3896,0
6266,0
4325,1
852,1
178,1
5451,1
1599,1
3575,0
4129,1
292,0
1321,1
2860,1
208,1
5620,0
3336,1
3653,1
1128,0
209,0
4508,1
4301,1
6150,1
2858,0
7137,1
6851,0
3381,1
5828,1
3707,1
2707,0
6470,1
2716,1
6423,0
210,0
3106,1
3857,1
2807,0
2884,0
4782,0
6486,1
2638,0
122,0
5394,1
5570,1
5218,1
3429,1
5711,1
912,1
4176,0
6761,1
4879,1
1907,1
2004,1
1469,1
4880,1
4319,1
2069,1
981,1
4013,0
2776,1
5650,1
450,0
4322,1
2617,1
1860,1
183,1
6306,1
834,0
1102,1
6498,1
5327,0
6621,0
4742,0
3734,0
7115,1
802,1
695,1
6805,1
1424,1
433,0
1349,0
2236,0
410,1
637,0
4561,1
5521,0
101,1
3527,0
3885,1
2302,1
2481,1
3668,0
2582,0
380,1
5744,1
4084,1
1973,1
5994,1
4060,1
2691,0
1180,1
4776,1
2795,1
6284,1
3764,0
4907,1
4787,0
2600,0
4401,1
5284,1
5936,1
5612,1
5202,0
2417,1
4993,0
