Index,Cluster
4362,0
3464,0
4727,0
2644,1
5736,1
755,1
6734,1
3197,1
1614,0
3554,0
6400,0
3408,0
7253,1
6356,1
3424,1
5048,0
421,0
44,1
538,0
6409,0
443,1
2407,1
6110,1
4655,0
6145,1
1255,0
1701,1
654,0
319,0
4384,0
5077,0
5064,0
2652,0
4608,0
7384,0
4245,1
6165,1
915,1
2669,0
6992,0
3768,0
2689,0
1562,1
6766,1
6426,1
2516,0
5288,0
6013,0
5768,1
3662,0
6218,0
921,1
1942,1
336,0
7268,1
4834,0
6105,1
741,0
4228,0
3752,0
5231,0
1041,0
3837,1
2883,0
783,0
5244,0
7322,0
4309,1
5740,0
1580,1
3018,1
584,1
2509,0
506,0
3102,0
4522,1
88,0
1168,0
1928,1
4231,1
2664,0
5019,1
3852,1
3583,0
5532,0
6695,1
6380,1
1730,0
3704,0
2283,0
1033,0
2840,1
5751,1
6223,0
4125,0
6560,0
7153,1
414,0
751,1
118,0
6499,1
4840,1
5698,0
3892,1
7207,1
6798,1
3131,1
4489,1
2577,0
809,0
1446,0
6758,1
2177,1
180,0
4032,1
1181,0
7348,0
7226,0
2418,0
1223,0
6529,0
68,0
198,0
5891,0
2526,0
4436,0
3593,0
436,1
325,1
1083,0
5684,0
2820,0
4128,0
84,0
5170,0
5351,1
1616,0
108,1
5992,1
218,0
3114,0
2799,0
4767,1
3858,1
625,0
2697,0
3016,1
6599,1
6314,0
5702,1
3411,0
5542,0
2447,0
3532,0
644,0
6960,0
4374,1
6340,1
7316,0
3405,0
7389,1
2915,1
2439,0
6579,0
6050,0
5368,1
6563,0
3661,1
1370,0
5325,0
5782,0
7323,0
4998,0
156,1
648,0
5162,0
4538,0
744,1
3995,0
1268,1
1432,1
5321,0
3207,1
1598,0
4371,0
1831,0
5090,1
6382,0
3407,0
2550,1
6301,0
4526,0
1024,1
3276,0
533,0
7213,1
1357,0
7274,1
748,0
1157,0
1127,0
5333,0
2333,1
3346,0
4684,0
7212,1
7321,0
4733,0
2132,0
2146,0
2798,1
4480,0
2226,1
461,0
3248,0
1073,0
3641,1
4343,0
2927,1
1539,0
7223,0
2436,0
4192,1
2602,0
5480,0
2885,0
1451,0
3491,0
5613,0
1723,1
2825,1
1526,1
4011,0
790,1
7199,0
1425,1
1847,0
3439,0
4213,1
6605,0
4739,1
6133,0
838,0
6104,1
7265,1
5339,0
1222,0
5291,0
7014,1
1277,0
6044,0
6076,0
196,1
7183,0
7060,1
5433,0
4707,1
3615,0
1212,1
1718,1
4507,0
4504,0
2277,1
7301,1
2207,0
3907,1
1199,0
3098,0
2266,0
1773,0
4828,1
5839,1
1954,0
5834,1
2851,0
1659,0
5842,1
295,0
6923,0
500,0
2299,1
5224,1
485,0
3536,1
3143,0
2404,0
2688,1
1587,0
2934,0
287,0
6460,1
6600,1
4296,1
2955,0
2123,1
5823,0
3063,1
3237,1
3164,0
2841,0
6662,1
6004,0
1366,0
5002,0
5038,0
6116,0
2892,0
2540,1
721,1
862,0
2570,0
2552,0
1672,0
5466,1
4877,0
7411,1
7071,0
4269,1
2232,0
3167,0
134,0
5681,0
4630,1
1292,0
3815,0
2100,0
1480,0
5624,0
1545,0
5013,1
1515,1
41,0
4041,0
5465,1
430,0
3274,0
6257,1
3075,1
3032,1
1095,1
4290,0
1700,0
5395,0
283,1
970,0
6708,0
5219,1
1626,1
5844,1
2815,0
1551,1
3656,0
3362,0
706,1
5552,1
4257,1
1313,1
1647,0
4567,1
1578,1
1334,0
354,1
544,1
1056,0
6203,0
1444,0
5461,0
5189,0
1803,1
3094,1
3289,1
4581,1
227,0
4004,0
5998,1
5602,0
4407,1
1078,0
3454,0
6362,1
6612,0
25,1
6098,0
5316,1
1201,0
1728,1
1720,0
6690,0
2594,1
978,0
2492,1
1361,1
5784,0
4113,1
348,0
3809,0
1025,0
3955,1
1918,0
2646,1
4570,1
211,0
2248,1
4803,0
2897,0
2410,0
4103,0
4692,0
4506,0
185,1
1535,0
7141,0
511,1
701,0
6648,1
298,0
3794,1
7271,0
1589,0
4498,0
231,1
3666,0
1965,1
5132,0
1873,1
3477,0
2166,0
736,1
2445,1
276,0
2895,0
1322,1
4028,1
5349,0
6929,0
4367,0
1096,0
4273,1
6370,0
4704,0
2676,0
4554,0
3544,0
2477,1
7077,1
2464,1
79,1
5459,1
6907,0
611,0
6904,0
658,0
1817,1
7018,1
1610,0
1192,0
803,0
6178,0
2805,0
3929,0
1533,0
2868,0
2842,0
6317,1
3290,0
1488,1
3473,1
5653,1
4152,1
5957,0
5885,1
3545,1
1661,0
5799,1
6200,1
5418,0
5673,1
640,1
6567,0
1793,0
321,0
4404,1
6746,1
7070,0
6462,0
4110,1
6594,1
2651,0
2789,0
1740,1
3933,1
5242,1
4080,0
5110,1
1921,0
6589,0
5171,0
5455,0
2972,0
6592,1
3685,1
1519,0
6622,1
1482,1
2250,0
7302,0
2881,1
6299,1
4184,0
203,1
6277,1
415,0
6062,0
4326,0
3667,0
397,0
4376,1
869,0
1105,0
4753,0
4127,1
6247,1
5277,0
4251,0
6066,1
1436,1
4085,0
4722,1
5804,0
599,0
1023,1
5628,1
3592,0
4668,0
5643,0
4217,0
4303,0
1108,1
355,0
315,1
3210,1
2765,0
2609,0
6658,0
6058,0
4284,1
1468,1
4302,1
621,0
5282,0
5967,0
59,0
5921,1
3994,1
6595,1
4092,1
4502,1
2323,0
3425,0
2271,0
7391,1
4264,1
3450,1
4870,1
2700,1
7201,1
3043,0
996,1
6365,0
6140,1
3905,1
3434,1
498,0
4306,0
1340,0
3680,0
1569,1
4625,0
2787,0
937,1
1113,1
3001,0
4995,1
7425,1
1051,1
2767,1
3297,0
5564,1
5230,0
2517,1
2354,0
7221,1
2656,0
1767,0
3878,1
5440,1
5243,0
3749,0
7067,1
4861,0
3218,1
5623,0
2378,1
6026,0
5281,0
2685,1
3366,1
192,0
4053,1
62,1
1426,1
2641,1
3306,0
4917,0
4017,0
4434,1
4525,0
589,1
4450,0
2303,1
5780,1
5629,0
3107,0
7200,0
2373,0
7092,1
2781,1
3431,0
5356,0
6638,1
678,1
5798,1
4774,1
5746,0
2288,1
32,1
4726,0
1111,0
469,1
5054,1
1538,0
1575,1
5522,1
2633,0
96,1
6244,0
4552,1
1129,1
6952,0
1979,0
3484,0
1671,1
972,0
7290,0
1163,0
339,0
6321,1
4500,0
1116,1
5151,1
6473,0
4329,0
5964,1
3153,1
3395,1
1777,0
4357,0
5970,0
7428,0
4985,1
2726,1
5380,0
743,0
626,1
2997,1
58,0
5995,1
3313,0
2398,0
2094,0
2916,0
1429,0
1234,0
7378,0
2687,0
6912,1
4165,0
0,0
2957,0
5121,0
676,1
3649,0
1337,0
194,1
6922,1
3245,0
6001,0
1669,0
3168,0
2670,1
841,1
3089,1
2572,1
3260,1
3932,0
4209,1
418,1
3655,1
387,0
6274,0
4240,1
1391,0
2103,0
3181,1
6216,0
7180,1
4122,1
6984,1
3570,0
4951,0
6652,1
6870,0
3770,1
3693,0
6479,1
3296,1
6189,0
318,0
5454,0
5538,1
2576,0
3021,1
142,0
2126,0
4545,0
5168,1
2575,0
4899,1
3475,1
6048,1
6003,0
965,0
6942,1
4002,1
4291,1
4731,1
4087,1
4698,1
6587,0
1215,0
5007,1
2510,0
747,0
1261,0
7310,1
6134,1
6751,1
2377,1
4180,0
4101,0
3805,0
6995,0
5598,1
6651,0
1287,0
5184,0
6789,1
4229,1
5636,1
2559,0
1430,0
2705,0
7222,1
7258,0
4730,0
6159,1
5928,0
1703,0
5196,0
2498,0
4105,1
7252,1
6631,0
4771,0
2619,1
4427,0
3196,1
1094,1
2412,0
3000,1
303,0
93,0
3455,0
543,0
3534,0
752,0
4541,0
4629,1
5185,0
1554,0
2036,0
3651,0
2476,1
1320,0
4751,1
6290,1
1801,0
7261,1
3784,0
2662,1
2312,1
1501,1
6810,0
139,0
3003,1
4987,1
2827,0
7173,0
5359,0
1036,1
2910,0
585,0
157,0
7421,0
3262,1
1009,0
1971,0
6654,1
5269,1
1467,1
465,1
7297,0
1886,1
6519,0
1216,1
61,0
7266,0
4546,0
1649,1
6602,0
668,1
3298,0
6759,0
1075,0
5195,0
6914,1
2906,0
1992,0
3718,0
4441,1
3862,0
708,1
7124,1
3505,0
3949,1
5983,1
3113,1
439,0
866,1
4847,0
2093,0
847,0
2900,1
4055,1
2001,1
4442,0
2319,1
5495,0
2450,0
2683,0
1894,1
960,0
2533,1
4695,0
103,0
2963,0
6081,1
861,0
5929,0
3049,0
4487,1
1880,0
1270,0
1499,0
5557,1
3559,0
480,1
6447,0
2020,0
764,1
3621,0
2182,1
5144,1
5112,1
5001,1
3698,1
4248,1
5958,0
3733,1
91,1
3480,0
3319,0
3076,0
6780,1
7354,1
1666,1
188,0
4885,0
979,1
7095,0
5389,1
944,0
641,1
7259,0
4279,0
5789,0
3011,0
6977,1
7076,0
5055,1
3203,0
4791,0
5531,1
6074,0
7204,0
3382,0
2318,0
4666,0
5192,0
871,1
7295,1
5973,0
1393,1
737,1
3616,0
2052,1
1079,1
3856,1
5239,0
6115,0
3601,0
6304,1
5470,0
6682,1
1323,1
2862,1
4955,0
6398,1
1582,0
7006,0
111,1
7164,0
300,1
633,1
6487,0
6801,0
4147,0
5786,0
401,0
1224,0
810,1
12,1
479,0
4462,1
3501,0
52,0
4905,0
1018,0
4766,0
5775,0
6982,0
7133,1
3820,1
238,1
5413,0
3357,0
5785,1
903,0
6143,1
2213,1
234,0
5430,1
2275,0
7249,1
3309,0
2375,1
2168,1
360,0
3328,1
7203,0
5193,1
5074,1
6993,1
7047,0
5025,1
6444,1
7139,0
5568,0
1434,1
6240,0
3166,1
4852,0
453,1
3488,0
2144,1
5437,1
4691,0
3846,0
2536,1
6056,0
2138,0
2654,0
5216,1
2223,0
576,0
6366,1
5118,0
3774,1
1281,0
2316,1
6723,1
1658,1
4816,1
2170,0
2828,0
6270,1
2819,0
2374,0
7238,0
1258,0
6182,1
2622,1
3948,0
1830,1
5406,0
3254,1
566,0
2960,1
4410,1
3246,1
2519,0
373,0
2578,0
4108,1
5403,0
7305,0
4975,0
1634,0
4395,0
5227,1
879,1
1775,0
6693,1
