,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status
272,2833,1857.0,126.0,360.0,1.0,1
556,2667,1625.0,84.0,360.0,1.0,1
127,3865,1640.0,128.0,360.0,1.0,1
606,3400,2500.0,173.0,360.0,1.0,1
235,5500,1260.0,170.0,360.0,1.0,1
8,4006,1526.0,168.0,360.0,1.0,1
449,2769,1542.0,190.0,360.0,1.0,0
315,3399,1640.0,111.0,180.0,1.0,1
530,1025,5500.0,216.0,360.0,1.0,1
79,3333,2166.0,130.0,360.0,1.0,1
512,3283,2035.0,148.0,360.0,1.0,1
520,2192,1742.0,45.0,360.0,1.0,1
359,5167,3167.0,200.0,360.0,1.0,1
57,3366,2200.0,135.0,360.0,1.0,0
232,3189,2598.0,120.0,360.0,1.0,1
188,674,5296.0,168.0,360.0,1.0,1
55,2708,1167.0,97.0,360.0,1.0,1
211,3430,1250.0,128.0,360.0,0.0,0
460,2083,4083.0,160.0,360.0,1.0,1
180,6400,7250.0,180.0,360.0,0.0,0
230,2491,2054.0,104.0,360.0,1.0,1
59,3357,2859.0,144.0,360.0,1.0,1
515,3466,3428.0,150.0,360.0,1.0,1
266,4708,1387.0,150.0,360.0,1.0,1
419,3246,1417.0,138.0,360.0,1.0,1
470,3450,2079.0,162.0,360.0,1.0,1
280,4053,2426.0,158.0,360.0,0.0,0
558,3887,2669.0,162.0,360.0,1.0,1
584,2787,1917.0,146.0,360.0,0.0,0
440,3660,5064.0,187.0,360.0,1.0,1
585,4283,3000.0,172.0,84.0,1.0,0
24,3717,2925.0,151.0,360.0,1.0,0
448,3340,1710.0,150.0,360.0,0.0,0
399,1500,1800.0,103.0,360.0,0.0,0
87,2500,2118.0,104.0,360.0,1.0,1
445,3466,1210.0,130.0,360.0,1.0,1
387,3010,3136.0,128.0,360.0,0.0,0
552,3333,3250.0,158.0,360.0,1.0,1
30,4166,3369.0,201.0,360.0,1.0,0
66,3200,2254.0,126.0,180.0,0.0,0
197,1907,2365.0,120.0,360.0,1.0,1
505,3510,4416.0,243.0,360.0,1.0,1
479,2947,1603.0,128.0,360.0,1.0,0
269,2876,1560.0,90.0,360.0,1.0,1
317,2058,2134.0,88.0,360.0,1.0,1
340,2647,1587.0,173.0,360.0,1.0,0
345,2499,2458.0,160.0,360.0,1.0,1
135,4000,7750.0,290.0,360.0,1.0,0
437,2213,1125.0,128.0,360.0,1.0,1
490,2699,2785.0,96.0,360.0,1.0,1
554,3593,4266.0,132.0,180.0,0.0,0
108,3800,3600.0,216.0,360.0,0.0,0
104,3816,754.0,160.0,360.0,1.0,1
347,3083,2168.0,126.0,360.0,1.0,1
450,2309,1255.0,125.0,360.0,0.0,0
358,3000,1666.0,100.0,480.0,0.0,0
49,4000,2275.0,144.0,360.0,1.0,1
241,2510,1983.0,140.0,180.0,1.0,0
203,3500,1083.0,135.0,360.0,1.0,1
303,1625,1803.0,96.0,360.0,1.0,1
118,5568,2142.0,175.0,360.0,1.0,0
462,3015,2188.0,153.0,360.0,1.0,1
92,3273,1820.0,81.0,360.0,1.0,1
261,2060,2209.0,134.0,360.0,1.0,1
56,2132,1591.0,96.0,360.0,1.0,1
528,2679,1302.0,94.0,360.0,1.0,1
139,4200,1430.0,129.0,360.0,1.0,0
23,3365,1917.0,112.0,360.0,0.0,0
578,1782,2232.0,107.0,360.0,1.0,1
559,4180,2306.0,182.0,360.0,1.0,1
346,3523,3230.0,152.0,360.0,0.0,0
240,5819,5000.0,120.0,360.0,1.0,1
482,2083,3150.0,128.0,360.0,1.0,1
436,1926,1851.0,50.0,360.0,1.0,1
3,2583,2358.0,120.0,360.0,1.0,1
19,2600,3500.0,115.0,360.0,1.0,1
298,5000,2541.0,151.0,480.0,1.0,0
576,3087,2210.0,136.0,360.0,0.0,0
140,5042,2083.0,185.0,360.0,1.0,0
82,1378,1881.0,167.0,360.0,1.0,0
502,4865,5624.0,208.0,360.0,1.0,1
179,2333,1451.0,102.0,480.0,0.0,0
99,1759,3541.0,131.0,360.0,1.0,1
451,1958,1456.0,60.0,300.0,1.0,1
74,5266,1774.0,187.0,360.0,1.0,1
7,3036,2504.0,158.0,360.0,0.0,0
402,2500,20000.0,103.0,360.0,1.0,1
273,2620,2223.0,150.0,360.0,1.0,1
586,2297,1522.0,104.0,360.0,1.0,1
551,2492,2375.0,128.0,360.0,1.0,1
50,1928,1644.0,100.0,360.0,1.0,1
38,4166,7210.0,184.0,360.0,1.0,1
248,2882,1843.0,123.0,480.0,1.0,1
70,3208,3066.0,172.0,360.0,1.0,1
286,2600,1717.0,99.0,300.0,1.0,0
11,2500,1840.0,109.0,360.0,1.0,1
397,3033,1459.0,95.0,360.0,1.0,1
253,2661,7101.0,279.0,180.0,1.0,1
195,3125,2583.0,170.0,360.0,1.0,0
570,3417,1750.0,186.0,360.0,1.0,1
219,4283,2383.0,127.0,360.0,1.0,1
362,4750,2333.0,130.0,360.0,1.0,1
77,1000,3022.0,110.0,360.0,1.0,0
577,3229,2739.0,110.0,360.0,1.0,1
457,3708,2569.0,173.0,360.0,1.0,0
314,2473,1843.0,159.0,360.0,1.0,0
488,4583,2083.0,160.0,360.0,1.0,1
567,3400,2500.0,123.0,360.0,0.0,0
6,2333,1516.0,95.0,360.0,1.0,1
524,4680,2087.0,128.0,360.0,1.0,0
290,3075,2416.0,139.0,360.0,1.0,1
418,1025,2773.0,112.0,360.0,1.0,1
386,2346,1600.0,132.0,360.0,1.0,1
122,2137,8980.0,137.0,360.0,0.0,1
78,3167,4000.0,180.0,300.0,0.0,0
320,2400,2167.0,115.0,360.0,1.0,1
151,2577,3750.0,152.0,360.0,1.0,1
299,2014,2925.0,113.0,360.0,1.0,0
163,4167,1447.0,158.0,360.0,1.0,1
499,6283,4416.0,209.0,360.0,0.0,0
265,4095,3447.0,151.0,360.0,1.0,1
513,2130,6666.0,70.0,180.0,1.0,0
301,2875,1750.0,105.0,360.0,1.0,1
143,2698,2034.0,122.0,360.0,1.0,1
442,4707,1993.0,148.0,360.0,1.0,1
553,2454,2333.0,181.0,360.0,0.0,0
547,2526,1783.0,145.0,360.0,1.0,1
245,6050,4333.0,120.0,180.0,1.0,0
167,2439,3333.0,129.0,360.0,1.0,1
494,3597,2157.0,119.0,360.0,0.0,0
466,2947,1664.0,70.0,180.0,0.0,0
29,3750,2083.0,120.0,360.0,1.0,1
250,1668,3890.0,201.0,360.0,0.0,0
162,3089,1280.0,121.0,360.0,0.0,0
221,4009,1717.0,116.0,360.0,1.0,1
85,2366,2531.0,136.0,360.0,1.0,1
388,2333,2417.0,136.0,360.0,1.0,1
187,2383,2138.0,58.0,360.0,1.0,1
89,5695,4167.0,175.0,360.0,1.0,1
217,3727,1775.0,131.0,360.0,1.0,1
453,2483,2466.0,90.0,180.0,0.0,1
394,3100,1400.0,113.0,360.0,1.0,1
12,3073,8106.0,200.0,360.0,1.0,1
198,3416,2816.0,113.0,360.0,1.0,1
579,3182,2917.0,161.0,360.0,1.0,1
234,3155,1779.0,140.0,360.0,1.0,1
571,5116,1451.0,165.0,360.0,0.0,0
516,2031,1632.0,113.0,480.0,1.0,1
216,150,1800.0,135.0,360.0,1.0,0
96,2484,2302.0,137.0,360.0,1.0,1
469,4333,2451.0,110.0,360.0,1.0,0
222,2971,2791.0,144.0,360.0,1.0,1
452,3948,1733.0,149.0,360.0,0.0,0
13,1853,2840.0,114.0,360.0,1.0,0
327,5818,2160.0,184.0,360.0,1.0,1
543,2239,2524.0,128.0,360.0,1.0,1
608,3232,1950.0,108.0,360.0,1.0,1
207,3975,2531.0,55.0,360.0,1.0,1
90,2958,2900.0,131.0,360.0,1.0,1
307,2400,1863.0,104.0,360.0,0.0,0
380,3333,2500.0,128.0,360.0,1.0,1
417,1600,20000.0,239.0,360.0,1.0,0
344,2583,2330.0,125.0,360.0,1.0,1
471,2653,1500.0,113.0,180.0,0.0,0
491,5333,1131.0,186.0,360.0,1.0,1
600,416,41667.0,350.0,180.0,1.0,0
39,3748,1668.0,110.0,360.0,1.0,1
86,3333,2000.0,99.0,360.0,1.0,1
181,1916,5063.0,67.0,360.0,1.0,0
145,2330,4486.0,100.0,360.0,1.0,1
158,2980,2083.0,120.0,360.0,1.0,1
527,5285,1430.0,161.0,360.0,0.0,1
517,3074,1800.0,123.0,360.0,0.0,0
200,2600,2500.0,90.0,360.0,1.0,1
292,3153,1560.0,134.0,360.0,1.0,1
71,1875,1875.0,97.0,360.0,1.0,1
569,3166,2064.0,104.0,360.0,0.0,0
549,2785,2016.0,110.0,360.0,1.0,1
603,3676,4301.0,172.0,360.0,1.0,1
60,2500,3796.0,120.0,360.0,1.0,1
26,2799,2253.0,122.0,360.0,1.0,1
100,4288,3263.0,133.0,180.0,1.0,1
363,3013,3033.0,95.0,300.0,1.0,1
252,2583,2167.0,104.0,360.0,1.0,1
22,2600,1911.0,116.0,360.0,0.0,0
62,2609,3449.0,165.0,180.0,0.0,0
242,2965,5701.0,155.0,60.0,1.0,1
173,5708,5625.0,187.0,360.0,1.0,1
35,2275,2067.0,128.0,360.0,1.0,1
120,5667,2667.0,180.0,360.0,1.0,1
275,2750,1842.0,115.0,360.0,1.0,1
300,1800,2934.0,93.0,360.0,0.0,0
76,3750,4750.0,176.0,360.0,1.0,0
267,4333,1811.0,160.0,360.0,0.0,1
311,2927,2405.0,111.0,360.0,1.0,1
444,7333,8333.0,175.0,300.0,1.0,1
503,4050,5302.0,138.0,360.0,1.0,0
33,3500,1667.0,114.0,360.0,1.0,1
160,1863,1041.0,98.0,360.0,1.0,1
285,3158,3053.0,89.0,360.0,1.0,1
496,2600,1700.0,107.0,360.0,1.0,1
590,3000,3416.0,56.0,180.0,1.0,1
36,1828,1330.0,100.0,360.0,0.0,0
508,2479,3013.0,188.0,360.0,1.0,1
497,4625,2857.0,111.0,12.0,1.0,1
414,2149,3237.0,178.0,360.0,0.0,0
117,2214,1398.0,85.0,360.0,1.0,1
1,4583,1508.0,128.0,360.0,1.0,0
593,3859,3300.0,142.0,180.0,1.0,1
165,3707,3166.0,182.0,360.0,1.0,1
540,4608,2845.0,140.0,180.0,1.0,1
500,645,3683.0,113.0,480.0,1.0,1
176,2045,1619.0,101.0,360.0,1.0,1
335,5503,4490.0,70.0,360.0,1.0,1
545,2768,1950.0,155.0,360.0,1.0,1
413,2253,2033.0,110.0,360.0,1.0,1
581,1836,33837.0,90.0,360.0,1.0,0
474,5532,4648.0,162.0,360.0,1.0,1
337,2500,4600.0,176.0,360.0,1.0,1
504,3814,1483.0,124.0,300.0,1.0,1
398,3902,1666.0,109.0,360.0,1.0,1
605,2400,3800.0,128.0,180.0,1.0,0
422,1820,1719.0,100.0,360.0,1.0,1
249,1809,1868.0,90.0,360.0,1.0,1
