,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status
284,20667,0.0,128.0,360.0,1.0,0
201,4923,0.0,166.0,360.0,0.0,1
40,3600,0.0,80.0,360.0,1.0,0
16,3596,0.0,100.0,240.0,1.0,1
389,5488,0.0,125.0,360.0,1.0,1
449,2769,1542.0,190.0,360.0,1.0,0
79,3333,2166.0,130.0,360.0,1.0,1
57,3366,2200.0,135.0,360.0,1.0,0
155,39999,0.0,600.0,180.0,0.0,1
232,3189,2598.0,120.0,360.0,1.0,1
211,3430,1250.0,128.0,360.0,0.0,0
432,12876,0.0,405.0,360.0,1.0,1
153,2281,0.0,113.0,360.0,1.0,0
355,3813,0.0,116.0,180.0,1.0,1
161,7933,0.0,275.0,360.0,1.0,0
192,6033,0.0,160.0,360.0,1.0,0
333,63337,0.0,490.0,180.0,1.0,1
585,4283,3000.0,172.0,84.0,1.0,0
366,2500,0.0,96.0,480.0,1.0,0
539,6417,0.0,157.0,180.0,1.0,1
365,6216,0.0,133.0,360.0,1.0,0
18,4887,0.0,133.0,360.0,1.0,0
87,2500,2118.0,104.0,360.0,1.0,1
168,2237,0.0,63.0,480.0,0.0,0
51,3086,0.0,120.0,360.0,1.0,1
186,2178,0.0,66.0,300.0,0.0,0
30,4166,3369.0,201.0,360.0,1.0,0
583,1880,0.0,61.0,360.0,1.0,0
479,2947,1603.0,128.0,360.0,1.0,0
596,6383,1000.0,187.0,360.0,1.0,0
568,2378,0.0,9.0,360.0,1.0,0
317,2058,2134.0,88.0,360.0,1.0,1
340,2647,1587.0,173.0,360.0,1.0,0
135,4000,7750.0,290.0,360.0,1.0,0
610,4106,0.0,40.0,180.0,1.0,1
554,3593,4266.0,132.0,180.0,0.0,0
108,3800,3600.0,216.0,360.0,0.0,0
574,6406,0.0,150.0,360.0,1.0,0
251,3427,0.0,138.0,360.0,1.0,0
104,3816,754.0,160.0,360.0,1.0,1
514,5815,3666.0,311.0,360.0,1.0,0
347,3083,2168.0,126.0,360.0,1.0,1
358,3000,1666.0,100.0,480.0,0.0,0
136,4583,0.0,84.0,360.0,1.0,0
241,2510,1983.0,140.0,180.0,1.0,0
174,4344,736.0,87.0,360.0,1.0,0
46,5649,0.0,44.0,360.0,1.0,1
404,7441,0.0,194.0,360.0,1.0,0
83,6000,2250.0,265.0,360.0,1.0,0
118,5568,2142.0,175.0,360.0,1.0,0
166,4583,0.0,112.0,360.0,1.0,0
189,9328,0.0,188.0,180.0,1.0,1
509,13262,0.0,40.0,360.0,1.0,1
56,2132,1591.0,96.0,360.0,1.0,1
401,2755,0.0,65.0,300.0,1.0,0
139,4200,1430.0,129.0,360.0,1.0,0
164,9323,0.0,75.0,180.0,1.0,1
319,10000,0.0,155.0,360.0,1.0,0
410,3867,0.0,62.0,360.0,1.0,0
262,3481,0.0,155.0,36.0,1.0,0
98,4188,0.0,115.0,180.0,1.0,1
202,3992,0.0,128.0,180.0,1.0,0
501,3159,0.0,100.0,360.0,1.0,1
298,5000,2541.0,151.0,480.0,1.0,0
378,3069,0.0,71.0,480.0,1.0,0
384,4566,0.0,100.0,360.0,1.0,0
140,5042,2083.0,185.0,360.0,1.0,0
82,1378,1881.0,167.0,360.0,1.0,0
84,3988,0.0,50.0,240.0,1.0,1
179,2333,1451.0,102.0,480.0,0.0,0
402,2500,20000.0,103.0,360.0,1.0,1
191,12000,0.0,164.0,360.0,1.0,0
75,3750,0.0,113.0,480.0,1.0,0
47,5821,0.0,144.0,360.0,1.0,1
591,6000,0.0,205.0,240.0,1.0,0
225,3250,0.0,170.0,360.0,1.0,0
286,2600,1717.0,99.0,300.0,1.0,0
115,14583,0.0,185.0,180.0,1.0,1
195,3125,2583.0,170.0,360.0,1.0,0
65,5726,4595.0,258.0,360.0,1.0,0
68,7100,0.0,125.0,60.0,1.0,1
77,1000,3022.0,110.0,360.0,1.0,0
236,5746,0.0,255.0,360.0,1.0,0
457,3708,2569.0,173.0,360.0,1.0,0
314,2473,1843.0,159.0,360.0,1.0,0
459,8334,0.0,160.0,360.0,1.0,0
487,18333,0.0,500.0,360.0,1.0,0
524,4680,2087.0,128.0,360.0,1.0,0
447,3539,1376.0,55.0,360.0,1.0,0
259,4931,0.0,128.0,360.0,1.0,0
122,2137,8980.0,137.0,360.0,0.0,1
375,4817,923.0,120.0,180.0,1.0,1
299,2014,2925.0,113.0,360.0,1.0,0
513,2130,6666.0,70.0,180.0,1.0,0
278,14583,0.0,436.0,360.0,1.0,1
199,11000,0.0,83.0,360.0,1.0,0
553,2454,2333.0,181.0,360.0,0.0,0
231,3716,0.0,42.0,180.0,1.0,1
245,6050,4333.0,120.0,180.0,1.0,0
313,5746,0.0,144.0,84.0,1.0,1
466,2947,1664.0,70.0,180.0,0.0,0
263,7200,0.0,120.0,360.0,1.0,1
250,1668,3890.0,201.0,360.0,0.0,0
226,4735,0.0,138.0,360.0,1.0,0
533,11250,0.0,196.0,360.0,1.0,0
94,3620,0.0,25.0,120.0,1.0,1
34,12500,3000.0,320.0,360.0,1.0,0
305,2000,0.0,128.0,360.0,1.0,0
453,2483,2466.0,90.0,180.0,0.0,1
343,3173,0.0,74.0,360.0,1.0,1
213,5703,0.0,130.0,360.0,1.0,1
420,5829,0.0,138.0,360.0,1.0,1
216,150,1800.0,135.0,360.0,1.0,0
461,7740,0.0,128.0,180.0,1.0,1
469,4333,2451.0,110.0,360.0,1.0,0
95,6782,0.0,128.0,360.0,1.0,0
13,1853,2840.0,114.0,360.0,1.0,0
90,2958,2900.0,131.0,360.0,1.0,1
341,2378,0.0,46.0,360.0,1.0,0
417,1600,20000.0,239.0,360.0,1.0,0
471,2653,1500.0,113.0,180.0,0.0,0
351,8750,4167.0,308.0,360.0,1.0,0
600,416,41667.0,350.0,180.0,1.0,0
181,1916,5063.0,67.0,360.0,1.0,0
158,2980,2083.0,120.0,360.0,1.0,1
172,3522,0.0,81.0,180.0,1.0,0
527,5285,1430.0,161.0,360.0,0.0,1
426,4606,0.0,81.0,360.0,1.0,0
32,4692,0.0,106.0,360.0,1.0,0
546,3358,0.0,80.0,36.0,1.0,0
252,2583,2167.0,104.0,360.0,1.0,1
62,2609,3449.0,165.0,180.0,0.0,0
148,10000,1666.0,225.0,360.0,1.0,0
257,5250,0.0,94.0,360.0,1.0,0
52,4230,0.0,112.0,360.0,1.0,0
178,3750,0.0,116.0,360.0,1.0,1
76,3750,4750.0,176.0,360.0,1.0,0
267,4333,1811.0,160.0,360.0,0.0,1
503,4050,5302.0,138.0,360.0,1.0,0
9,12841,10968.0,349.0,360.0,1.0,0
563,5800,0.0,132.0,360.0,1.0,1
182,4600,0.0,73.0,180.0,1.0,1
308,20233,0.0,480.0,360.0,1.0,0
141,5417,0.0,168.0,360.0,1.0,1
183,33846,0.0,260.0,360.0,1.0,0
117,2214,1398.0,85.0,360.0,1.0,1
1,4583,1508.0,128.0,360.0,1.0,0
379,5391,0.0,130.0,360.0,1.0,1
171,51763,0.0,700.0,300.0,1.0,1
519,3400,0.0,95.0,360.0,1.0,0
507,3583,0.0,96.0,360.0,1.0,0
152,9166,0.0,244.0,360.0,1.0,0
316,3717,0.0,120.0,360.0,1.0,1
258,14683,2100.0,304.0,360.0,1.0,0
474,5532,4648.0,162.0,360.0,1.0,1
538,2917,536.0,66.0,360.0,1.0,0
605,2400,3800.0,128.0,180.0,1.0,0
480,4350,0.0,154.0,360.0,1.0,1
