Index,Cluster
272,1
284,0
556,1
127,1
201,0
40,0
606,1
235,1
16,0
8,1
312,1
389,0
449,0
315,1
493,1
428,1
530,1
79,0
407,1
512,1
520,1
134,1
359,1
57,0
155,0
232,0
188,1
602,1
55,1
271,1
211,0
492,1
432,0
460,1
467,1
180,1
126,1
243,1
331,1
230,1
59,1
515,1
153,0
266,1
355,0
161,0
541,1
419,1
192,0
333,0
470,1
114,1
280,1
558,1
324,1
584,1
338,1
218,1
400,1
54,1
440,1
585,0
366,0
229,1
539,0
24,1
365,0
506,1
465,1
18,0
448,1
399,1
87,0
445,1
595,1
525,1
387,1
168,0
51,0
215,1
589,1
594,1
186,0
552,1
193,1
529,1
30,0
66,1
197,1
339,1
505,1
429,1
439,1
523,1
583,0
479,0
596,0
15,1
269,1
568,0
317,0
340,0
345,1
233,1
135,0
437,1
377,1
610,0
490,1
532,1
554,0
108,0
574,0
251,0
104,0
514,0
347,0
450,1
358,0
227,1
25,1
136,0
49,1
296,1
241,0
174,0
46,0
404,0
203,1
303,1
548,1
83,0
118,0
462,1
166,0
564,1
189,0
557,1
509,0
92,1
261,1
138,1
56,0
464,1
88,1
401,0
528,1
139,0
291,1
288,1
23,1
164,0
578,1
559,1
128,1
346,1
240,1
319,0
410,0
262,0
98,0
482,1
443,1
537,1
436,1
202,0
3,1
371,1
350,1
456,1
146,1
310,1
19,1
501,0
260,1
298,0
378,0
190,1
384,0
576,1
196,1
140,0
82,0
502,1
382,1
84,0
334,1
575,1
179,0
99,1
451,1
74,1
7,1
402,0
273,1
279,1
154,1
586,1
191,0
551,1
592,1
555,1
50,1
38,1
208,1
5,1
75,0
248,1
47,0
302,1
70,1
598,1
591,0
225,0
286,0
11,1
522,1
150,1
397,1
115,0
281,1
253,1
195,0
570,1
65,0
434,1
403,1
219,1
362,1
69,1
93,1
68,0
21,1
77,0
577,1
458,1
236,0
457,0
314,0
125,1
228,1
415,1
42,1
4,1
459,0
64,1
488,1
109,1
255,1
567,1
205,1
487,0
147,1
6,1
524,0
290,1
390,1
418,1
386,1
447,0
411,1
259,0
282,1
122,0
78,1
550,1
320,1
572,1
151,1
375,0
299,0
427,1
163,1
499,1
396,1
325,1
265,1
531,1
478,1
513,0
301,1
278,0
143,1
438,1
442,1
199,0
41,1
430,1
553,0
547,1
364,1
231,0
245,0
313,0
167,1
332,1
494,1
466,0
263,0
29,1
238,1
250,0
162,1
149,1
226,0
353,1
533,0
94,0
612,1
221,1
85,1
388,1
187,1
89,1
475,1
34,0
217,1
72,1
305,0
220,1
453,0
534,1
395,1
394,1
110,1
367,1
412,1
12,1
343,0
198,1
213,0
579,1
234,1
571,1
420,0
431,1
516,1
216,0
96,1
461,0
469,0
297,1
63,1
222,1
452,1
95,0
13,0
327,1
435,1
17,1
521,1
246,1
543,1
608,1
207,1
90,0
307,1
341,0
380,1
417,0
344,1
471,0
491,1
351,0
600,0
39,1
86,1
181,0
562,1
580,1
145,1
158,0
172,0
526,1
527,0
408,1
517,1
200,1
426,0
381,1
292,1
348,1
71,1
604,1
569,1
32,0
549,1
603,1
106,1
489,1
546,0
542,1
133,1
60,1
26,1
100,1
363,1
309,1
252,0
481,1
441,1
476,1
22,1
62,0
148,0
483,1
588,1
257,0
52,0
242,1
173,1
35,1
178,0
120,1
275,1
44,1
300,1
76,0
368,1
212,1
267,0
311,1
444,1
503,0
495,1
33,1
9,0
160,1
285,1
295,1
277,1
563,0
484,1
496,1
182,0
590,1
36,1
156,1
2,1
508,1
497,1
308,0
289,1
560,1
414,1
421,1
141,0
223,1
183,0
599,1
511,1
117,0
1,0
113,1
593,1
165,1
184,1
372,1
274,1
0,1
566,1
540,1
500,1
383,1
405,1
561,1
20,1
176,1
335,1
379,0
545,1
171,0
519,0
507,0
152,0
413,1
581,1
316,0
258,0
474,0
337,1
538,0
504,1
398,1
423,1
605,0
480,0
422,1
119,1
256,1
249,1
