,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Dependents_0,Loan_Status
284,20667,0.0,128.0,360.0,1.0,1,1,0
493,17263,0.0,225.0,360.0,1.0,0,1,1
155,39999,0.0,600.0,180.0,0.0,1,0,1
271,11146,0.0,136.0,360.0,1.0,1,1,1
432,12876,0.0,405.0,360.0,1.0,0,1,1
467,16692,0.0,110.0,360.0,1.0,1,1,1
126,23803,0.0,370.0,360.0,1.0,1,0,1
161,7933,0.0,275.0,360.0,1.0,1,1,0
333,63337,0.0,490.0,180.0,1.0,1,1,1
324,15000,0.0,300.0,360.0,1.0,1,0,1
54,11500,0.0,286.0,360.0,0.0,1,0,0
506,20833,6667.0,480.0,360.0,1.0,1,1,1
525,17500,0.0,400.0,360.0,1.0,1,0,1
594,16120,0.0,260.0,360.0,1.0,1,1,1
523,7948,7166.0,480.0,360.0,1.0,1,0,1
25,9560,0.0,191.0,360.0,1.0,1,1,1
83,6000,2250.0,265.0,360.0,1.0,1,1,0
189,9328,0.0,188.0,180.0,1.0,1,1,1
138,14999,0.0,242.0,360.0,0.0,0,1,0
443,37719,0.0,152.0,360.0,1.0,0,0,1
350,9083,0.0,228.0,360.0,1.0,1,1,1
592,9357,0.0,292.0,360.0,1.0,0,0,1
598,9963,0.0,180.0,360.0,1.0,1,1,1
65,5726,4595.0,258.0,360.0,1.0,1,1,0
236,5746,0.0,255.0,360.0,1.0,1,1,0
459,8334,0.0,160.0,360.0,1.0,1,1,0
487,18333,0.0,500.0,360.0,1.0,1,0,0
572,16666,0.0,275.0,360.0,1.0,1,0,1
325,8666,4983.0,376.0,360.0,0.0,1,0,0
278,14583,0.0,436.0,360.0,1.0,1,1,1
34,12500,3000.0,320.0,360.0,1.0,0,0,0
412,6096,0.0,218.0,360.0,0.0,1,1,0
435,10047,0.0,128.0,240.0,1.0,1,1,1
351,8750,4167.0,308.0,360.0,1.0,0,1,0
562,5923,2054.0,211.0,360.0,1.0,1,1,1
348,6333,4583.0,259.0,360.0,1.0,1,1,1
604,12000,0.0,496.0,360.0,1.0,1,0,1
441,7901,1833.0,180.0,360.0,1.0,1,1,1
483,10833,0.0,234.0,360.0,1.0,1,1,1
9,12841,10968.0,349.0,360.0,1.0,1,0,0
308,20233,0.0,480.0,360.0,1.0,0,1,0
223,7578,1010.0,175.0,360.0,1.0,1,1,1
183,33846,0.0,260.0,360.0,1.0,1,0,0
372,9323,7873.0,380.0,300.0,1.0,1,0,1
561,19484,0.0,600.0,360.0,1.0,1,0,1
171,51763,0.0,700.0,300.0,1.0,1,0,1
258,14683,2100.0,304.0,360.0,1.0,1,1,0
