,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Dependents_0,Loan_Status
127,3865,1640.0,128.0,360.0,1.0,0,1,1
40,3600,0.0,80.0,360.0,1.0,0,1,0
606,3400,2500.0,173.0,360.0,1.0,1,0,1
8,4006,1526.0,168.0,360.0,1.0,1,0,1
389,5488,0.0,125.0,360.0,1.0,1,1,1
449,2769,1542.0,190.0,360.0,1.0,0,0,0
315,3399,1640.0,111.0,180.0,1.0,1,0,1
530,1025,5500.0,216.0,360.0,1.0,1,1,1
512,3283,2035.0,148.0,360.0,1.0,1,0,1
520,2192,1742.0,45.0,360.0,1.0,1,0,1
359,5167,3167.0,200.0,360.0,1.0,1,0,1
188,674,5296.0,168.0,360.0,1.0,1,1,1
55,2708,1167.0,97.0,360.0,1.0,1,0,1
271,11146,0.0,136.0,360.0,1.0,1,1,1
432,12876,0.0,405.0,360.0,1.0,0,1,1
460,2083,4083.0,160.0,360.0,1.0,1,1,1
467,16692,0.0,110.0,360.0,1.0,1,1,1
243,6250,1300.0,108.0,360.0,1.0,1,0,1
230,2491,2054.0,104.0,360.0,1.0,1,0,1
59,3357,2859.0,144.0,360.0,1.0,1,0,1
515,3466,3428.0,150.0,360.0,1.0,1,0,1
266,4708,1387.0,150.0,360.0,1.0,1,0,1
541,2138,0.0,99.0,360.0,0.0,0,1,0
419,3246,1417.0,138.0,360.0,1.0,1,1,1
333,63337,0.0,490.0,180.0,1.0,1,1,1
470,3450,2079.0,162.0,360.0,1.0,1,0,1
54,11500,0.0,286.0,360.0,0.0,1,0,0
585,4283,3000.0,172.0,84.0,1.0,1,0,0
366,2500,0.0,96.0,480.0,1.0,0,1,0
24,3717,2925.0,151.0,360.0,1.0,1,0,0
506,20833,6667.0,480.0,360.0,1.0,1,1,1
465,6000,0.0,140.0,360.0,1.0,0,1,1
18,4887,0.0,133.0,360.0,1.0,1,1,0
399,1500,1800.0,103.0,360.0,0.0,0,1,0
87,2500,2118.0,104.0,360.0,1.0,1,1,1
445,3466,1210.0,130.0,360.0,1.0,1,0,1
168,2237,0.0,63.0,480.0,0.0,0,1,0
215,3850,983.0,100.0,360.0,1.0,1,0,1
594,16120,0.0,260.0,360.0,1.0,1,1,1
552,3333,3250.0,158.0,360.0,1.0,1,0,1
197,1907,2365.0,120.0,360.0,1.0,0,1,1
439,7142,0.0,138.0,360.0,1.0,1,1,1
479,2947,1603.0,128.0,360.0,1.0,1,0,0
269,2876,1560.0,90.0,360.0,1.0,0,0,1
568,2378,0.0,9.0,360.0,1.0,0,1,0
340,2647,1587.0,173.0,360.0,1.0,1,0,0
345,2499,2458.0,160.0,360.0,1.0,1,1,1
233,8333,0.0,280.0,360.0,1.0,0,1,1
135,4000,7750.0,290.0,360.0,1.0,1,0,0
377,4310,0.0,130.0,360.0,1.0,1,1,1
610,4106,0.0,40.0,180.0,1.0,1,0,1
532,3588,0.0,110.0,360.0,0.0,0,0,0
574,6406,0.0,150.0,360.0,1.0,1,0,0
251,3427,0.0,138.0,360.0,1.0,0,0,0
227,6250,1695.0,210.0,360.0,1.0,1,0,1
25,9560,0.0,191.0,360.0,1.0,1,1,1
136,4583,0.0,84.0,360.0,1.0,1,1,0
174,4344,736.0,87.0,360.0,1.0,1,1,0
46,5649,0.0,44.0,360.0,1.0,1,0,1
404,7441,0.0,194.0,360.0,1.0,0,1,0
203,3500,1083.0,135.0,360.0,1.0,1,0,1
303,1625,1803.0,96.0,360.0,1.0,1,0,1
118,5568,2142.0,175.0,360.0,1.0,1,1,0
564,8799,0.0,258.0,360.0,0.0,1,0,0
92,3273,1820.0,81.0,360.0,1.0,1,0,1
56,2132,1591.0,96.0,360.0,1.0,1,1,1
464,4166,0.0,98.0,360.0,0.0,0,1,0
401,2755,0.0,65.0,300.0,1.0,0,1,0
528,2679,1302.0,94.0,360.0,1.0,0,0,1
578,1782,2232.0,107.0,360.0,1.0,1,0,1
559,4180,2306.0,182.0,360.0,1.0,1,1,1
319,10000,0.0,155.0,360.0,1.0,1,0,0
410,3867,0.0,62.0,360.0,1.0,0,0,0
262,3481,0.0,155.0,36.0,1.0,0,0,0
482,2083,3150.0,128.0,360.0,1.0,1,1,1
443,37719,0.0,152.0,360.0,1.0,0,0,1
436,1926,1851.0,50.0,360.0,1.0,0,1,1
3,2583,2358.0,120.0,360.0,1.0,1,1,1
350,9083,0.0,228.0,360.0,1.0,1,1,1
456,4301,0.0,118.0,360.0,1.0,1,1,1
146,14866,0.0,70.0,360.0,1.0,1,0,1
19,2600,3500.0,115.0,360.0,1.0,1,1,1
298,5000,2541.0,151.0,480.0,1.0,0,1,0
378,3069,0.0,71.0,480.0,1.0,0,1,0
196,8333,3750.0,187.0,360.0,1.0,0,1,1
140,5042,2083.0,185.0,360.0,1.0,1,0,0
502,4865,5624.0,208.0,360.0,1.0,1,0,1
382,6000,0.0,156.0,360.0,1.0,0,1,1
84,3988,0.0,50.0,240.0,1.0,1,0,1
334,9833,1833.0,182.0,180.0,1.0,1,0,1
575,3159,461.0,108.0,84.0,1.0,1,0,1
179,2333,1451.0,102.0,480.0,0.0,0,1,0
99,1759,3541.0,131.0,360.0,1.0,1,1,1
451,1958,1456.0,60.0,300.0,1.0,1,0,1
74,5266,1774.0,187.0,360.0,1.0,1,0,1
273,2620,2223.0,150.0,360.0,1.0,1,1,1
586,2297,1522.0,104.0,360.0,1.0,1,1,1
191,12000,0.0,164.0,360.0,1.0,0,1,0
551,2492,2375.0,128.0,360.0,1.0,1,0,1
555,5468,1032.0,26.0,360.0,1.0,1,0,1
50,1928,1644.0,100.0,360.0,1.0,1,1,1
75,3750,0.0,113.0,480.0,1.0,0,1,0
248,2882,1843.0,123.0,480.0,1.0,1,0,1
302,5000,0.0,132.0,360.0,1.0,0,1,1
70,3208,3066.0,172.0,360.0,1.0,1,1,1
591,6000,0.0,205.0,240.0,1.0,1,0,0
225,3250,0.0,170.0,360.0,1.0,1,1,0
286,2600,1717.0,99.0,300.0,1.0,0,1,0
11,2500,1840.0,109.0,360.0,1.0,1,0,1
