,ID,Job tenure,Age,Car price,Funding amount,Default (y)
4032,4033,4,66,12990,12990,0
1277,1278,30,56,11050,11050,0
4328,4329,2,56,13200,9122,0
1357,1358,15,66,5901,5901,0
2095,2096,0,37,7000,4506,0
1354,1355,48,64,7955,7955,1
5325,5326,5,54,10630,12232,1
6159,6160,2,68,5990,4490,0
1044,1045,0,27,3500,3500,0
511,512,12,76,6711,7149,1
5624,5625,5,69,9500,9500,1
14,15,15,53,3400,3400,0
4885,4886,8,73,9500,9500,0
3217,3218,2,60,10850,10416,0
1634,1635,20,57,4600,4812,0
6620,6621,31,55,12669,13881,0
2623,2624,8,28,4800,3800,0
7311,7312,21,47,6412,6894,0
2094,2095,6,44,12300,6984,0
6621,6622,0,37,6890,2890,0
4416,4417,8,50,11990,4398,0
598,599,19,50,5690,6372,0
5111,5112,46,63,7650,9055,0
3790,3791,5,57,2500,2640,0
1414,1415,27,74,10985,8101,0
4958,4959,2,41,7000,3500,1
3518,3519,24,62,7625,4925,0
2091,2092,26,47,7690,8660,0
3382,3383,17,43,13490,8490,0
3570,3571,13,37,9950,10872,0
5375,5376,11,54,9521,9479,0
6577,6578,25,61,9990,7990,0
2412,2413,19,43,3990,4287,0
7155,7156,24,53,6019,3353,0
1731,1732,5,70,14200,5000,0
2299,2300,10,72,8990,7490,1
4500,4501,25,58,15617,17055,0
6754,6755,5,32,10390,4658,0
7261,7262,0,63,17150,3150,0
6311,6312,2,52,9290,3790,0
1897,1898,8,73,12650,12650,1
3265,3266,5,54,12690,11083,1
4401,4402,15,53,8938,9711,0
4772,4773,0,53,7800,7865,0
3181,3182,1,56,8190,6040,0
7323,7324,7,59,9035,9742,0
132,133,10,76,4764,4764,1
2498,2499,22,48,6825,7370,0
2902,2903,15,45,11500,6500,0
1595,1596,1,64,13950,7309,0
434,435,23,45,11850,9704,0
3501,3502,31,50,11722,12641,0
6834,6835,11,76,10500,10500,0
3017,3018,11,54,13189,10041,0
6977,6978,2,68,8950,11055,0
4365,4366,1,43,7669,7955,0
4428,4429,19,52,14560,9775,0
3195,3196,4,55,6700,6700,1
2684,2685,29,52,10744,10744,0
6460,6461,3,50,7900,8469,0
3309,3310,25,49,9250,10380,0
5359,5360,34,51,5870,6449,0
1425,1426,2,38,7500,6200,0
4410,4411,5,70,5425,5425,0
2312,2313,4,68,11100,8556,0
3903,3904,3,27,9500,2695,1
6105,6106,1,46,5382,5726,0
222,223,23,62,8480,8725,1
1487,1488,4,36,8890,5890,0
2759,2760,6,54,8990,3990,0
325,326,7,49,7980,6480,1
3207,3208,5,52,5825,4825,0
5418,5419,24,60,16500,13500,0
4126,4127,14,52,9400,9400,0
4475,4476,18,55,13000,8000,0
3666,3667,6,28,8600,5370,0
812,813,33,50,9295,4912,0
4101,4102,9,48,9130,3990,0
1226,1227,2,33,6800,5260,0
4630,4631,3,45,11290,2290,0
3703,3704,4,64,12100,12100,0
2868,2869,10,49,9950,9950,0
5013,5014,28,82,6780,5280,1
2651,2652,12,34,8500,9426,0
1360,1361,48,64,10445,11000,0
