,ID,Job tenure,Age,Car price,Funding amount,Default (y)
438,439,4,38,20590,21810,0
624,625,3,31,19585,19243,0
3132,3133,4,42,23070,17703,0
179,180,1,20,16790,18821,1
4032,4033,4,66,12990,12990,0
6534,6535,19,47,19000,20835,0
4336,4337,0,48,22262,22469,0
2899,2900,7,25,12490,13543,0
6459,6460,1,33,17690,16150,0
1277,1278,30,56,11050,11050,0
2603,2604,4,38,19350,13150,0
1656,1657,0,63,19000,13000,0
5245,5246,3,26,23640,23640,0
3303,3304,0,54,12990,14254,1
7221,7222,0,44,22000,23603,0
6122,6123,4,52,18100,18100,0
1354,1355,48,64,7955,7955,1
5325,5326,5,54,10630,12232,1
511,512,12,76,6711,7149,1
6237,6238,3,24,7790,8629,1
7297,7298,40,59,39136,21650,0
5624,5625,5,69,9500,9500,1
1954,1955,20,43,17000,17000,0
676,677,5,39,19300,8500,0
2829,2830,12,58,19199,20327,0
2436,2437,7,28,11990,14322,0
1620,1621,4,21,8890,9714,1
4080,4081,35,55,23723,12548,0
4600,4601,15,49,13990,12176,0
2470,2471,2,43,17900,12000,0
6620,6621,31,55,12669,13881,0
4416,4417,8,50,11990,4398,0
598,599,19,50,5690,6372,0
6178,6179,11,43,13990,13990,0
3049,3050,20,36,24990,24990,0
3358,3359,27,57,17790,19174,0
4958,4959,2,41,7000,3500,1
44,45,1,47,16500,14565,0
4603,4604,0,56,11895,13296,0
2091,2092,26,47,7690,8660,0
3382,3383,17,43,13490,8490,0
1416,1417,2,32,13990,13048,0
3834,3835,0,49,13327,12327,0
6518,6519,34,55,24190,16850,0
1744,1745,7,36,16847,12743,0
3570,3571,13,37,9950,10872,0
6339,6340,16,46,14790,11790,0
5026,5027,23,53,18881,17988,0
1405,1406,7,41,15785,17151,0
6075,6076,11,41,13990,13534,0
3784,3785,6,46,12585,10285,0
334,335,0,39,13990,13990,0
7057,7058,3,41,15755,15671,0
1032,1033,14,47,15490,16800,0
964,965,20,37,15000,16687,0
5471,5472,0,39,17480,13480,0
2299,2300,10,72,8990,7490,1
4500,4501,25,58,15617,17055,0
