Index,Cluster
438,0
2221,0
4127,0
624,0
3132,0
179,0
4032,1
6534,0
4336,0
6699,0
2899,0
6459,0
1277,1
2603,0
1656,0
4328,1
5245,0
5921,0
3303,0
7221,0
6122,0
1357,1
2095,1
1261,0
1354,1
5325,1
6159,1
1044,1
5219,0
3785,0
511,1
73,0
6237,0
7297,0
5624,1
2057,0
1954,0
676,0
14,1
2829,0
4885,1
3217,1
2436,0
1620,0
4080,0
4600,0
2470,0
1634,1
6620,1
2623,1
7311,1
2094,1
6621,1
4416,1
5231,0
598,1
5111,1
3790,1
6178,0
4284,0
3049,0
1414,1
3358,0
4958,1
44,0
4603,0
3518,1
1507,0
2091,1
3382,1
1416,0
6942,0
2177,0
6715,0
3834,0
6518,0
5168,0
1744,0
4584,0
3570,1
5375,1
6577,1
6339,0
5026,0
2412,1
7155,1
1405,0
6075,0
3784,0
334,0
7057,0
1032,0
964,0
2517,0
210,0
5471,0
1732,0
1731,1
2299,1
4500,1
6754,1
7261,1
6311,1
1897,1
6101,0
3265,1
3803,0
4401,1
4772,1
2882,0
3181,1
7323,1
132,1
2498,1
7359,0
2902,1
1595,1
434,1
3501,1
6834,1
3017,1
2688,0
6305,0
748,0
3386,0
6977,1
4271,0
4365,1
5277,0
468,0
4428,1
1835,0
3277,0
3195,1
2684,1
6527,0
6153,0
6460,1
3309,1
5359,1
1425,1
4410,1
2312,1
864,0
6321,0
3903,1
6105,1
222,1
6286,0
4404,0
1487,1
2759,1
7006,0
7110,0
50,0
325,1
6110,0
3207,1
5418,1
4126,1
4475,1
3616,0
6763,0
3666,1
1158,0
2707,0
812,1
149,0
4101,1
1226,1
4630,1
3703,1
2868,1
5013,1
4487,0
2651,1
6315,0
1360,1
1515,0
5918,0
5994,1
1436,0
706,1
3968,1
6907,1
501,1
2778,0
3698,0
1322,1
1536,0
538,0
6552,1
401,0
6663,1
3781,0
5807,1
2796,1
5804,1
1223,0
3996,0
4442,0
798,1
6107,1
7008,0
88,1
5609,1
4482,0
2284,1
7384,1
5495,0
997,0
1281,1
1706,0
834,1
4291,0
7382,1
1010,1
6143,0
1075,1
1426,0
1295,0
5455,0
6851,1
2417,0
5303,0
1020,0
1090,0
701,1
5480,0
5683,0
5038,1
3024,0
6050,1
752,0
6133,1
2118,1
93,0
2758,1
1370,0
3768,1
2531,0
332,1
1330,0
6967,1
1811,1
4058,0
2273,1
3003,1
6454,0
3103,1
5427,0
5905,0
6767,1
319,0
877,0
6854,1
3578,0
7347,0
640,1
5077,1
6370,0
6936,0
6428,0
6470,1
3166,0
267,1
2306,0
1578,0
696,0
4814,1
1502,1
1702,0
3641,0
339,0
1858,0
969,0
3544,0
794,1
5391,1
1046,1
734,1
6841,1
3879,1
4634,0
3931,0
1450,0
3898,1
2570,1
2069,0
2877,0
5629,1
4034,1
5979,0
1775,0
1220,0
429,0
5738,0
2609,0
2127,0
3984,0
3467,1
6966,0
3469,1
23,0
1575,0
1550,1
7133,1
1499,0
1979,0
6333,1
672,0
3844,1
7148,1
2732,1
2227,1
373,1
2995,0
1452,1
5643,0
592,0
5857,0
3749,0
2131,1
6012,0
3433,0
387,1
2815,1
1174,0
533,0
1397,0
1033,1
1287,1
6307,1
61,1
4395,1
2087,1
5553,0
5973,1
4691,1
2654,0
1514,1
2628,0
2034,1
1320,1
4331,1
2585,1
7164,1
3783,0
6017,0
6453,0
2691,0
3437,0
2937,1
530,0
2333,1
4222,0
4829,1
4938,1
6223,0
1683,1
4173,0
4423,1
2653,0
2249,1
5250,1
5775,0
5488,0
4122,0
6870,0
7070,0
4690,1
1454,1
1465,1
3381,0
443,1
1891,0
3786,1
4367,1
585,0
6077,1
4996,1
5095,1
3258,0
445,1
2540,1
6088,1
2298,1
5218,1
3268,1
3102,1
2280,1
6116,0
4121,0
7051,0
4903,1
3686,0
7000,1
5189,1
5060,1
2316,0
2638,0
6234,1
6635,0
4472,1
7253,0
5846,0
2110,0
5579,0
1726,1
248,0
196,0
1671,0
6746,0
4961,0
252,0
2348,0
1718,0
3044,0
408,1
4303,1
5337,0
6329,1
453,0
2453,0
2036,0
2031,1
4722,1
2149,0
4778,0
2245,0
3693,1
573,0
4233,0
3944,1
6569,1
4022,1
3870,1
1886,0
1168,0
2699,1
6049,1
5441,0
4288,1
3007,1
3558,0
6100,1
6257,0
5261,0
4656,0
7403,0
1512,0
4532,1
3370,1
7241,1
3787,0
1608,1
2862,1
543,0
7229,0
5368,0
751,1
1807,1
5620,1
2534,1
6412,1
6501,1
2133,0
3947,0
2272,1
7014,1
6121,1
4577,1
1765,0
4024,0
6198,1
1729,1
6134,0
5901,0
2846,0
756,1
3470,0
4230,1
7026,0
4629,0
2473,1
743,1
4467,1
6115,0
2874,1
6943,1
7354,0
1041,1
5259,1
1760,0
4015,1
1557,1
176,0
2984,0
2689,1
5781,1
5477,0
5943,0
5021,0
3668,0
2178,0
6147,0
3580,0
5814,0
4766,1
59,0
7002,1
2432,0
5061,1
6391,1
4635,1
881,1
6462,1
4871,0
1593,0
6889,0
1203,0
5351,0
7137,0
5096,1
131,1
4606,0
5673,0
346,1
3982,1
6338,1
3846,1
7378,1
1860,0
57,0
5275,1
3482,0
6808,1
3904,1
7333,1
478,0
7025,1
1022,1
5755,1
1768,1
3194,0
3250,1
5080,1
4664,1
655,1
576,1
5030,0
2189,0
1535,1
505,0
3213,1
527,1
5945,0
5011,0
1438,0
1543,0
712,1
6533,1
5746,1
3050,1
6733,0
5447,0
5635,1
1652,1
4450,1
6244,1
3939,1
5702,1
7396,1
6192,1
7030,0
3554,0
5432,1
2182,1
5039,0
535,0
1820,1
4813,0
1079,0
4653,1
1201,1
681,1
6357,1
3196,0
6784,1
1092,1
1783,0
4791,1
2168,1
5656,1
3163,1
6914,1
808,1
7392,1
4581,0
6106,0
4553,0
763,1
2406,0
6850,1
6560,0
4559,0
4890,1
1375,1
5903,0
185,0
4207,1
833,0
6314,0
3047,0
7129,1
2515,1
5689,0
2827,1
4828,0
4696,1
4640,0
1926,0
7289,0
5112,0
5266,0
95,0
6900,1
4071,0
5825,0
3614,1
1024,0
5360,0
5969,1
221,1
4195,0
1971,0
4582,0
586,0
4935,0
4386,0
506,1
5027,1
1562,0
321,0
7054,0
5291,1
6365,0
842,0
553,1
3892,1
