Index,Cluster
438,0
2221,1
4127,1
624,0
3132,0
179,0
4032,0
6534,0
4336,0
6699,1
2899,0
6459,0
1277,0
2603,0
1656,0
4328,1
5245,0
5921,1
3303,0
7221,0
6122,0
1357,1
2095,1
1261,1
1354,0
5325,0
6159,1
1044,1
5219,1
3785,1
511,0
73,1
6237,0
7297,0
5624,0
2057,1
1954,0
676,0
14,1
2829,0
4885,1
3217,1
2436,0
1620,0
4080,0
4600,0
2470,0
1634,1
6620,0
2623,1
7311,1
2094,1
6621,1
4416,0
5231,1
598,0
5111,1
3790,1
6178,0
4284,1
3049,0
1414,1
3358,0
4958,0
44,0
4603,0
3518,1
1507,1
2091,0
3382,0
1416,0
6942,1
2177,1
6715,1
3834,0
6518,0
5168,1
1744,0
4584,1
3570,0
5375,1
6577,1
6339,0
5026,0
2412,1
7155,1
1405,0
6075,0
3784,0
334,0
7057,0
1032,0
964,0
2517,1
210,1
5471,0
1732,1
1731,1
2299,0
4500,0
6754,1
7261,1
6311,1
1897,1
6101,1
3265,0
3803,0
4401,0
4772,1
2882,1
3181,1
7323,0
132,0
2498,0
7359,0
2902,0
1595,1
434,0
3501,0
6834,1
3017,0
2688,0
6305,1
748,1
3386,1
6977,0
4271,0
4365,1
5277,0
468,0
4428,0
1835,0
3277,0
3195,0
2684,0
6527,0
6153,1
6460,1
3309,0
5359,0
1425,1
4410,1
2312,1
864,0
6321,0
3903,0
6105,1
222,0
6286,1
4404,0
1487,1
2759,1
7006,1
7110,1
50,0
325,0
6110,1
3207,1
5418,0
4126,0
4475,1
3616,0
6763,0
3666,1
1158,0
2707,0
812,0
149,1
4101,0
1226,1
4630,1
3703,0
2868,1
5013,0
4487,0
2651,0
6315,1
1360,0
1515,1
5918,0
5994,0
1436,0
706,0
3968,1
6907,1
501,0
2778,0
3698,0
1322,1
1536,0
538,1
6552,0
401,1
6663,1
3781,0
5807,1
2796,1
5804,1
1223,0
3996,0
4442,0
798,0
6107,1
7008,0
88,0
5609,1
4482,0
2284,1
7384,0
5495,0
997,0
1281,1
1706,0
834,0
4291,0
7382,1
1010,0
6143,1
1075,0
1426,0
1295,0
5455,0
6851,1
2417,0
5303,1
1020,1
1090,0
701,0
5480,0
5683,0
5038,1
3024,0
6050,1
752,0
6133,1
2118,1
93,0
2758,1
1370,1
3768,0
2531,0
332,0
1330,0
6967,1
1811,1
4058,0
2273,1
3003,1
6454,1
3103,1
5427,0
5905,1
6767,0
319,0
877,0
6854,1
3578,1
7347,0
640,1
5077,0
6370,1
6936,0
6428,0
6470,0
3166,0
267,0
2306,0
1578,0
696,1
4814,0
1502,0
1702,0
3641,1
339,0
1858,0
969,1
3544,0
794,1
5391,1
1046,0
734,1
6841,1
3879,0
4634,0
3931,0
1450,0
3898,1
2570,1
2069,0
2877,0
5629,1
4034,1
5979,0
1775,0
1220,1
429,1
5738,0
2609,0
2127,0
3984,0
3467,0
6966,0
3469,0
23,1
1575,0
1550,1
7133,0
1499,0
1979,0
6333,1
672,1
3844,1
7148,1
2732,1
2227,1
373,0
2995,1
1452,1
5643,1
592,0
5857,1
3749,0
2131,1
6012,1
3433,0
387,0
2815,0
1174,1
533,0
1397,1
1033,0
1287,1
6307,0
61,1
4395,0
2087,0
5553,1
5973,1
4691,0
2654,1
1514,0
2628,0
2034,0
1320,1
4331,1
2585,0
7164,1
3783,0
6017,0
6453,1
2691,1
3437,1
2937,0
530,0
2333,1
4222,1
4829,0
4938,1
6223,0
1683,1
4173,0
4423,0
2653,1
2249,1
5250,1
5775,0
5488,1
4122,1
6870,1
7070,0
4690,0
1454,0
1465,1
3381,1
443,1
1891,1
3786,0
4367,0
585,0
6077,1
4996,0
5095,1
3258,1
445,0
2540,1
6088,1
2298,0
5218,1
3268,1
3102,1
2280,1
6116,1
4121,1
7051,0
4903,0
3686,1
7000,1
5189,0
5060,0
2316,0
2638,0
6234,1
6635,0
4472,1
7253,1
5846,0
2110,0
5579,0
1726,0
248,1
196,1
1671,1
6746,0
4961,0
252,0
2348,1
1718,0
3044,0
408,1
4303,1
5337,1
6329,0
453,0
2453,0
2036,0
2031,1
4722,0
2149,0
4778,0
2245,0
3693,1
573,0
4233,1
3944,1
6569,0
4022,1
3870,0
1886,1
1168,1
2699,0
6049,1
5441,0
4288,0
3007,1
3558,1
6100,1
6257,1
5261,0
4656,1
7403,0
1512,0
4532,0
3370,1
7241,1
3787,0
1608,0
2862,1
543,0
7229,0
5368,0
751,1
1807,1
5620,1
2534,0
6412,1
6501,0
2133,0
3947,0
2272,1
7014,0
6121,1
4577,0
1765,0
4024,1
6198,1
1729,1
6134,1
5901,1
2846,1
756,1
3470,1
4230,0
7026,0
4629,0
2473,1
743,1
4467,1
6115,0
2874,1
6943,1
7354,1
1041,0
5259,1
1760,1
4015,0
1557,1
176,1
2984,0
2689,0
5781,1
5477,1
5943,1
5021,1
3668,0
2178,1
6147,1
3580,1
5814,0
4766,0
59,0
7002,0
2432,1
5061,1
6391,0
4635,0
881,1
6462,0
4871,1
1593,1
6889,0
1203,1
5351,1
7137,0
5096,1
131,1
4606,0
5673,0
346,0
3982,1
6338,1
3846,1
7378,1
1860,0
57,0
5275,1
3482,0
6808,1
3904,0
7333,1
478,1
7025,0
1022,1
5755,0
1768,1
3194,0
3250,0
5080,0
4664,1
655,1
576,1
5030,0
2189,0
1535,0
505,1
3213,1
527,0
5945,0
5011,0
1438,0
1543,1
712,0
6533,1
5746,0
3050,1
6733,0
5447,0
5635,0
1652,1
4450,1
6244,0
3939,0
5702,0
7396,1
6192,1
7030,1
3554,0
5432,1
2182,1
5039,1
535,0
1820,1
4813,1
1079,1
4653,0
1201,1
681,1
6357,1
3196,1
6784,0
1092,0
1783,0
4791,0
2168,1
5656,0
3163,0
6914,1
808,1
7392,0
4581,1
6106,0
4553,0
763,0
2406,1
6850,1
6560,1
4559,0
4890,1
1375,1
5903,1
185,1
4207,1
833,1
6314,0
3047,0
7129,0
2515,0
5689,1
2827,1
4828,0
4696,0
4640,0
1926,1
7289,0
5112,1
5266,1
95,0
6900,0
4071,1
5825,1
3614,1
1024,0
5360,1
5969,0
221,1
4195,0
1971,0
4582,0
586,1
4935,0
4386,0
506,0
5027,1
1562,0
321,0
7054,0
5291,1
6365,1
842,0
553,1
3892,1
2291,0
4787,0
2996,0
2499,0
3071,1
6299,0
6214,1
5594,0
1912,1
322,1
1966,0
7247,1
1372,0
6027,1
3150,0
6114,1
2586,0
4922,0
2907,1
1839,1
1047,1
5866,1
3929,0
7079,1
2226,1
5086,0
3148,1
6393,0
349,0
1870,0
3971,0
3751,0
2481,0
5928,1
410,0
286,0
4086,0
351,0
1108,1
1672,0
7242,0
4575,0
7087,1
3689,1
5014,0
1922,0
2794,1
5908,1
642,0
1335,1
4706,0
6062,0
4730,0
7260,1
3080,0
1945,1
5812,0
2826,1
2126,0
4965,1
198,1
3053,0
4608,0
4623,1
1173,0
6598,1
4919,1
5564,1
3626,0
7264,0
1317,1
1599,0
3100,1
3159,0
1786,1
1965,1
6433,0
4950,1
6869,1
1406,0
4098,0
2627,1
625,0
6878,1
3454,1
4525,1
6451,0
2020,0
4028,0
5880,1
1669,0
7106,0
6156,1
2850,0
6827,1
2206,0
6246,1
1606,1
3494,1
4794,0
4692,0
6003,0
6261,0
2954,1
31,1
230,1
4159,1
2934,1
7227,1
4987,1
2927,0
6606,1
1632,1
6599,1
3038,0
3881,0
2676,0
2251,1
3125,0
233,0
5106,0
420,0
4393,1
6000,1
5538,1
435,0
2526,0
48,1
6185,1
5144,1
5331,0
7107,0
1805,0
2963,0
7150,0
3567,0
5094,0
1018,1
604,0
1188,0
3601,1
6162,0
5761,0
2301,0
3954,1
4094,1
303,1
4915,0
6888,1
172,1
7216,0
5965,1
5686,0
2991,0
3333,0
6815,1
3206,1
6664,0
5388,1
199,1
3377,0
4125,0
1483,0
6538,1
4172,0
6341,0
4112,1
7139,1
4004,0
5156,1
378,1
4434,1
1038,1
3341,0
549,1
5786,1
5166,0
4758,0
911,1
