,ID,Job tenure,Age,Car price,Default (y)
4829,4830,19,59,13990,1
2208,2209,29,56,4785,0
1593,1594,2,24,20000,1
1188,1189,7,50,13500,0
2858,2859,5,49,15700,0
435,436,31,47,11400,0
156,157,5,40,20849,0
3049,3050,20,36,24990,0
168,169,2,27,26228,0
3017,3018,11,54,13189,0
1575,1576,5,70,20830,0
5291,5292,15,77,9259,0
970,971,23,40,13970,0
251,252,3,36,18470,0
1046,1047,10,70,7190,1
642,643,11,67,19190,0
3520,3521,25,45,4300,1
1025,1026,6,71,11990,0
756,757,2,67,13680,0
748,749,0,57,12990,1
2521,2522,7,43,10700,0
683,684,11,45,27500,0
491,492,10,31,21593,0
2245,2246,8,28,24900,0
2302,2303,9,38,19880,0
4482,4483,11,48,14380,0
1539,1540,21,50,4750,0
4475,4476,18,55,13000,0
706,707,11,76,6900,1
3132,3133,4,42,23070,0
1811,1812,6,70,7930,0
5775,5776,7,47,28190,0
1320,1321,20,58,7641,0
3936,3937,19,40,13490,0
1965,1966,6,36,19400,1
6868,6869,2,64,25800,0
2531,2532,3,37,20922,0
3484,3485,10,74,7990,0
1992,1993,25,54,20450,0
1817,1818,5,51,15040,0
2829,2830,12,58,19199,0
1652,1653,15,60,5865,0
2937,2938,23,42,7490,0
6245,6246,25,53,12500,0
2439,2440,7,39,12800,0
1775,1776,26,51,17000,0
48,49,3,61,9710,0
468,469,15,49,26290,0
1616,1617,8,67,8590,0
1803,1804,3,67,12705,0
4690,4691,24,55,7500,0
3689,3690,11,75,18300,1
3221,3222,19,78,13950,0
2173,2174,13,49,4700,0
61,62,24,58,13500,0
65,66,9,36,19683,0
1608,1609,20,53,13785,0
518,519,0,63,19300,0
2678,2679,17,60,11900,0
4401,4402,15,53,8938,0
676,677,5,39,19300,0
1893,1894,20,66,13385,0
4577,4578,20,49,11490,0
2868,2869,10,49,9950,0
4717,4718,15,38,20790,0
535,536,20,40,26000,0
2778,2779,26,47,16490,0
3721,3722,0,56,13300,1
2132,2133,7,29,17290,0
3688,3689,6,51,10205,0
4664,4665,18,56,7449,0
1858,1859,22,46,23390,0
763,764,15,49,15000,0
5094,5095,27,49,16500,0
3332,3333,16,54,7700,0
2181,2182,4,40,17400,0
1383,1384,10,59,6795,0
247,248,9,38,8950,0
2189,2190,5,34,13580,0
2177,2178,7,32,19968,1
6784,6785,32,59,13900,0
2299,2300,10,72,8990,1
6274,6275,22,62,9790,0
4766,4767,30,51,15901,0
5049,5050,36,52,4322,0
1533,1534,12,51,21200,0
2827,2828,15,57,8900,0
7025,7026,14,79,11990,0
2890,2891,26,45,15990,0
2952,2953,2,67,8980,0
1426,1427,4,59,28180,0
79,80,0,44,5839,0
445,446,28,52,16790,0
308,309,9,73,20000,0
7114,7115,32,48,21300,0
1335,1336,18,44,6300,0
957,958,20,53,26980,0
2859,2860,5,47,8990,0
4127,4128,9,77,19990,1
6076,6077,25,49,14990,0
3265,3266,5,54,12690,1
2206,2207,4,29,22750,0
2684,2685,29,52,10744,0
167,168,0,25,16890,0
927,928,8,52,17945,0
2291,2292,30,56,12700,0
1038,1039,3,41,7890,0
1374,1375,22,55,3990,0
5014,5015,34,51,3075,0
157,158,15,57,26790,0
5703,5704,15,71,19400,0
4836,4837,11,47,26797,1
2646,2647,4,54,15180,0
378,379,0,56,5648,0
736,737,5,67,14488,0
457,458,0,63,19615,0
2586,2587,22,77,11800,0
1499,1500,18,57,20990,0
4500,4501,25,58,15617,0
447,448,4,47,6268,1
2088,2089,7,72,9400,0
611,612,14,72,9540,0
2225,2226,18,51,16365,0
222,223,23,62,8480,1
321,322,26,46,15300,0
2676,2677,4,66,10940,1
1242,1243,10,70,11990,0
2199,2200,28,51,16000,0
1215,1216,34,57,6700,0
5318,5319,44,64,11884,0
31,32,9,71,22830,0
3206,3207,4,57,9000,0
1672,1673,23,57,13500,0
6900,6901,33,55,6990,0
1634,1635,20,57,4600,0
2091,2092,26,47,7690,0
1747,1748,15,39,11490,1
3250,3251,22,54,8203,0
1783,1784,5,58,20660,0
