,ID,Job tenure,Age,Car price,Default (y)
625,626,2,22,8900,1
2796,2797,0,55,10400,0
101,102,1,40,15990,1
4767,4768,5,43,19999,0
2018,2019,1,26,11800,0
5465,5466,3,21,10090,0
4126,4127,14,52,9400,0
6077,6078,4,58,11504,0
1783,1784,5,58,20660,0
2864,2865,0,20,22990,1
7087,7088,0,61,6500,0
2578,2579,13,53,5388,0
5659,5660,4,37,9900,0
5362,5363,3,22,18990,1
1893,1894,20,66,13385,0
1175,1176,1,50,6350,0
1025,1026,6,71,11990,0
3078,3079,3,48,19250,0
3653,3654,13,58,18900,0
7347,7348,1,35,21400,0
1511,1512,10,74,3860,0
773,774,17,77,5190,0
1024,1025,4,26,20990,0
4545,4546,0,40,3990,1
1047,1048,0,50,7990,0
6579,6580,8,49,6155,0
4679,4680,15,54,7790,0
1176,1177,5,51,8536,0
965,966,26,42,15250,0
7284,7285,2,20,16877,1
132,133,10,76,4764,1
1992,1993,25,54,20450,0
6020,6021,1,54,33485,0
4253,4254,23,50,8650,0
6237,6238,3,24,7790,1
6368,6369,24,83,9850,0
1321,1322,8,51,9540,0
3095,3096,5,38,14495,0
6569,6570,11,61,15900,0
5880,5881,3,32,9650,0
1634,1635,20,57,4600,0
2927,2928,4,30,22450,0
3879,3880,0,64,4240,1
2138,2139,10,26,12000,0
1665,1666,1,66,7896,0
5337,5338,3,23,6480,0
2858,2859,5,49,15700,0
856,857,4,21,9985,0
1414,1415,27,74,10985,0
1420,1421,1,52,3750,0
1721,1722,21,49,13550,0
1702,1703,1,28,7656,1
733,734,8,82,25990,0
3954,3955,2,30,9246,0
7129,7130,22,65,9596,0
1945,1946,2,20,7990,0
2952,2953,2,67,8980,0
319,320,12,37,9990,0
3463,3464,0,28,10250,0
4819,4820,0,20,7000,0
5306,5307,0,50,7551,0
7425,7426,9,38,4502,1
4995,4996,0,39,9579,0
3077,3078,9,61,7700,0
3844,3845,4,27,10000,0
1545,1546,8,61,8238,0
6980,6981,7,44,19400,1
5014,5015,34,51,3075,0
6888,6889,3,50,10000,0
4918,4919,19,53,16500,0
3767,3768,12,61,5290,0
1941,1942,10,31,10500,0
6518,6519,34,55,24190,0
