,ID,Job tenure,Age,Car price,Default (y)
5781,5782,6,53,6000,0
6333,6334,20,63,7000,0
4829,4830,19,59,13990,1
1832,1833,2,30,14700,1
2406,2407,1,32,7650,0
1593,1594,2,24,20000,1
7113,7114,7,43,11990,0
2018,2019,1,26,11800,0
6725,6726,27,58,7067,0
6133,6134,7,60,5360,0
3307,3308,0,37,5400,0
6648,6649,1,37,16810,0
156,157,5,40,20849,0
4326,4327,2,40,23780,1
6977,6978,2,68,8950,0
5610,5611,5,50,6200,0
168,169,2,27,26228,0
5553,5554,2,37,23660,1
5291,5292,15,77,9259,0
251,252,3,36,18470,0
1046,1047,10,70,7190,1
4584,4585,0,46,12500,0
642,643,11,67,19190,0
3520,3521,25,45,4300,1
756,757,2,67,13680,0
3668,3669,0,25,21495,0
1632,1633,5,36,6900,0
4091,4092,5,29,5500,0
6153,6154,1,25,10100,0
6808,6809,21,54,10989,0
2899,2900,7,25,12490,0
706,707,11,76,6900,1
5368,5369,1,28,14990,0
3132,3133,4,42,23070,0
7060,7061,2,58,19680,0
5775,5776,7,47,28190,0
4559,4560,1,44,13000,1
1965,1966,6,36,19400,1
6538,6539,1,28,2950,0
6868,6869,2,64,25800,0
2531,2532,3,37,20922,0
7380,7381,24,62,9000,0
6081,6082,3,64,15115,0
6049,6050,8,45,8104,0
5598,5599,1,28,7500,0
2937,2938,23,42,7490,0
6245,6246,25,53,12500,0
48,49,3,61,9710,0
5261,5262,5,36,13259,0
5700,5701,1,26,5990,0
3689,3690,11,75,18300,1
61,62,24,58,13500,0
65,66,9,36,19683,0
5901,5902,5,23,10450,0
518,519,0,63,19300,0
676,677,5,39,19300,0
7104,7105,17,48,17000,0
7403,7404,10,41,29000,0
7347,7348,1,35,21400,0
7110,7111,2,26,12990,0
6012,6013,3,26,7650,0
7201,7202,4,33,18390,0
6605,6606,8,27,15899,0
2181,2182,4,40,17400,0
6116,6117,2,29,22850,1
6888,6889,3,50,10000,0
5360,5361,4,31,12537,0
2177,2178,7,32,19968,1
3948,3949,0,57,7300,1
3787,3788,4,39,16700,0
3095,3096,5,38,14495,0
3047,3048,1,30,7990,1
2299,2300,10,72,8990,1
6274,6275,22,62,9790,0
7025,7026,14,79,11990,0
1426,1427,4,59,28180,0
3320,3321,3,41,9000,1
79,80,0,44,5839,0
308,309,9,73,20000,0
4825,4826,1,51,6300,0
1335,1336,18,44,6300,0
2859,2860,5,47,8990,0
5584,5585,0,20,11313,0
4127,4128,9,77,19990,1
3265,3266,5,54,12690,1
6804,6805,4,34,12790,0
167,168,0,25,16890,0
5738,5739,1,42,18485,0
828,829,3,21,8299,0
800,801,1,30,9590,1
7261,7262,0,63,17150,0
4808,4809,0,43,7600,0
3470,3471,2,40,13980,0
3903,3904,3,27,9500,1
6903,6904,0,40,13000,0
4836,4837,11,47,26797,1
6289,6290,1,34,4900,0
4094,4095,0,27,13550,0
2646,2647,4,54,15180,0
7241,7242,5,44,5489,0
736,737,5,67,14488,0
6147,6148,0,25,10990,0
7014,7015,3,67,12000,0
4395,4396,5,59,9500,1
6257,6258,0,44,11750,0
1499,1500,18,57,20990,0
1507,1508,2,22,7990,0
447,448,4,47,6268,1
4063,4064,9,40,16085,0
222,223,23,62,8480,1
2676,2677,4,66,10940,1
6268,6269,15,62,4000,0
6881,6882,1,31,19286,0
5746,5747,23,46,6968,0
31,32,9,71,22830,0
1672,1673,23,57,13500,0
1634,1635,20,57,4600,0
5071,5072,3,46,7800,0
6758,6759,1,24,8069,0
5184,5185,4,36,9335,1
1747,1748,15,39,11490,1
2333,2334,1,21,4900,0
5141,5142,0,52,12129,0
6077,6078,4,58,11504,0
5905,5906,1,35,13730,1
586,587,1,28,10990,0
6286,6287,2,20,10880,0
6000,6001,5,31,21895,1
3370,3371,3,68,16990,0
4758,4759,21,57,5490,1
2728,2729,0,29,10980,1
1420,1421,1,52,3750,0
5537,5538,0,26,19886,0
3980,3981,1,32,6598,0
2862,2863,1,47,10795,0
1554,1555,3,54,18930,1
737,738,2,63,34700,0
1945,1946,2,20,7990,0
3154,3155,2,35,5990,0
4905,4906,2,33,19625,1
4782,4783,27,70,6850,1
2540,2541,2,45,6250,0
5857,5858,18,36,14550,1
5743,5744,4,40,8440,0
6834,6835,11,76,10500,0
4819,4820,0,20,7000,0
852,853,17,63,21380,0
2499,2500,3,46,13499,0
1487,1488,4,36,8890,0
2178,2179,10,63,19890,1
842,843,0,28,9500,1
1370,1371,1,61,24135,1
7129,7130,22,65,9596,0
465,466,1,41,20950,0
7264,7265,23,83,6420,1
503,504,14,77,10046,1
1174,1175,1,35,9500,0
3641,3642,1,55,18100,0
2628,2629,9,39,10450,1
1871,1872,0,26,11700,0
6980,6981,7,44,19400,1
3381,3382,1,23,19990,1
6098,6099,1,43,15890,1
5885,5886,1,46,11250,0
1175,1176,1,50,6350,0
228,229,4,50,17460,0
91,92,2,56,22129,0
1512,1513,0,25,16750,0
2405,2406,15,41,4401,0
2855,2856,7,29,4780,0
1055,1056,3,58,5628,1
6840,6841,15,38,12485,0
1595,1596,1,64,13950,0
6525,6526,1,34,17809,0
6110,6111,3,38,12990,0
37,38,25,58,18538,0
