,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Dependents_0,Dependents_1,Loan_Status
389,5488,0.0,125.0,360.0,1.0,1,1,0,1
428,2920,16.12000084,87.0,360.0,1.0,1,1,0,1
271,11146,0.0,136.0,360.0,1.0,1,1,0,1
467,16692,0.0,110.0,360.0,1.0,1,1,0,1
419,3246,1417.0,138.0,360.0,1.0,1,1,0,1
192,6033,0.0,160.0,360.0,1.0,1,1,0,0
18,4887,0.0,133.0,360.0,1.0,1,1,0,0
439,7142,0.0,138.0,360.0,1.0,1,1,0,1
437,2213,1125.0,128.0,360.0,1.0,1,1,0,1
377,4310,0.0,130.0,360.0,1.0,1,1,0,1
104,3816,754.0,160.0,360.0,1.0,1,1,0,1
358,3000,1666.0,100.0,480.0,0.0,1,1,0,0
25,9560,0.0,191.0,360.0,1.0,1,1,0,1
136,4583,0.0,84.0,360.0,1.0,1,1,0,0
174,4344,736.0,87.0,360.0,1.0,1,1,0,0
166,4583,0.0,112.0,360.0,1.0,1,1,0,0
189,9328,0.0,188.0,180.0,1.0,1,1,0,1
56,2132,1591.0,96.0,360.0,1.0,1,1,0,1
164,9323,0.0,75.0,180.0,1.0,1,1,0,1
98,4188,0.0,115.0,180.0,1.0,1,1,0,1
456,4301,0.0,118.0,360.0,1.0,1,1,0,1
279,4100,0.0,124.0,360.0,1.0,1,1,0,1
586,2297,1522.0,104.0,360.0,1.0,1,1,0,1
50,1928,1644.0,100.0,360.0,1.0,1,1,0,1
47,5821,0.0,144.0,360.0,1.0,1,1,0,1
598,9963,0.0,180.0,360.0,1.0,1,1,0,1
225,3250,0.0,170.0,360.0,1.0,1,1,0,0
397,3033,1459.0,95.0,360.0,1.0,1,1,0,1
281,3927,800.0,112.0,360.0,1.0,1,1,0,1
236,5746,0.0,255.0,360.0,1.0,1,1,0,0
228,4758,0.0,158.0,480.0,1.0,1,1,0,1
42,2400,0.0,75.0,360.0,1.0,1,1,0,1
459,8334,0.0,160.0,360.0,1.0,1,1,0,0
6,2333,1516.0,95.0,360.0,1.0,1,1,0,1
447,3539,1376.0,55.0,360.0,1.0,1,1,0,0
411,6256,0.0,160.0,360.0,1.0,1,1,0,1
375,4817,923.0,120.0,180.0,1.0,1,1,0,1
301,2875,1750.0,105.0,360.0,1.0,1,1,0,1
231,3716,0.0,42.0,180.0,1.0,1,1,0,1
149,4860,830.0,125.0,360.0,1.0,1,1,0,1
226,4735,0.0,138.0,360.0,1.0,1,1,0,0
353,5500,0.0,105.0,360.0,0.0,1,1,0,0
187,2383,2138.0,58.0,360.0,1.0,1,1,0,1
220,2221,0.0,60.0,360.0,0.0,1,1,0,0
412,6096,0.0,218.0,360.0,0.0,1,1,0,0
571,5116,1451.0,165.0,360.0,0.0,1,1,0,0
420,5829,0.0,138.0,360.0,1.0,1,1,0,1
435,10047,0.0,128.0,240.0,1.0,1,1,0,1
608,3232,1950.0,108.0,360.0,1.0,1,1,0,1
526,3775,0.0,110.0,360.0,1.0,1,1,0,1
133,3459,0.0,25.0,120.0,1.0,1,1,0,1
44,4695,0.0,96.0,360.0,1.0,1,1,0,1
33,3500,1667.0,114.0,360.0,1.0,1,1,0,1
160,1863,1041.0,98.0,360.0,1.0,1,1,0,1
277,3103,1300.0,80.0,360.0,1.0,1,1,0,1
496,2600,1700.0,107.0,360.0,1.0,1,1,0,1
182,4600,0.0,73.0,180.0,1.0,1,1,0,1
36,1828,1330.0,100.0,360.0,0.0,1,1,0,0
2,3000,0.0,66.0,360.0,1.0,1,1,0,1
223,7578,1010.0,175.0,360.0,1.0,1,1,0,1
184,3625,0.0,108.0,360.0,1.0,1,1,0,1
20,7660,0.0,104.0,360.0,0.0,1,1,0,0
538,2917,536.0,66.0,360.0,1.0,1,1,0,0
504,3814,1483.0,124.0,300.0,1.0,1,1,0,1
422,1820,1719.0,100.0,360.0,1.0,1,1,0,1
249,1809,1868.0,90.0,360.0,1.0,1,1,0,1
