,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Dependents_0,Dependents_1,Loan_Status
284,20667,0.0,128.0,360.0,1.0,1,1,0,0
127,3865,1640.0,128.0,360.0,1.0,0,1,0,1
201,4923,0.0,166.0,360.0,0.0,0,0,0,1
40,3600,0.0,80.0,360.0,1.0,0,1,0,0
606,3400,2500.0,173.0,360.0,1.0,1,0,1,1
235,5500,1260.0,170.0,360.0,1.0,1,0,1,1
8,4006,1526.0,168.0,360.0,1.0,1,0,0,1
449,2769,1542.0,190.0,360.0,1.0,0,0,1,0
315,3399,1640.0,111.0,180.0,1.0,1,0,1,1
530,1025,5500.0,216.0,360.0,1.0,1,1,0,1
512,3283,2035.0,148.0,360.0,1.0,1,0,0,1
520,2192,1742.0,45.0,360.0,1.0,1,0,0,1
359,5167,3167.0,200.0,360.0,1.0,1,0,0,1
57,3366,2200.0,135.0,360.0,1.0,1,1,0,0
155,39999,0.0,600.0,180.0,0.0,1,0,0,1
188,674,5296.0,168.0,360.0,1.0,1,1,0,1
55,2708,1167.0,97.0,360.0,1.0,1,0,0,1
460,2083,4083.0,160.0,360.0,1.0,1,1,0,1
126,23803,0.0,370.0,360.0,1.0,1,0,0,1
243,6250,1300.0,108.0,360.0,1.0,1,0,0,1
230,2491,2054.0,104.0,360.0,1.0,1,0,1,1
59,3357,2859.0,144.0,360.0,1.0,1,0,0,1
515,3466,3428.0,150.0,360.0,1.0,1,0,0,1
153,2281,0.0,113.0,360.0,1.0,1,0,0,0
266,4708,1387.0,150.0,360.0,1.0,1,0,0,1
161,7933,0.0,275.0,360.0,1.0,1,1,0,0
541,2138,0.0,99.0,360.0,0.0,0,1,0,0
192,6033,0.0,160.0,360.0,1.0,1,1,0,0
470,3450,2079.0,162.0,360.0,1.0,1,0,1,1
280,4053,2426.0,158.0,360.0,0.0,0,0,1,0
324,15000,0.0,300.0,360.0,1.0,1,0,0,1
584,2787,1917.0,146.0,360.0,0.0,1,0,1,0
338,1830,0.0,128.0,360.0,0.0,0,0,0,0
218,5000,0.0,72.0,360.0,0.0,1,0,0,0
400,2889,0.0,45.0,180.0,0.0,1,0,0,0
585,4283,3000.0,172.0,84.0,1.0,1,0,1,0
366,2500,0.0,96.0,480.0,1.0,0,1,0,0
539,6417,0.0,157.0,180.0,1.0,1,0,0,1
24,3717,2925.0,151.0,360.0,1.0,1,0,1,0
365,6216,0.0,133.0,360.0,1.0,0,1,0,0
506,20833,6667.0,480.0,360.0,1.0,1,1,0,1
18,4887,0.0,133.0,360.0,1.0,1,1,0,0
87,2500,2118.0,104.0,360.0,1.0,1,1,0,1
445,3466,1210.0,130.0,360.0,1.0,1,0,1,1
525,17500,0.0,400.0,360.0,1.0,1,0,0,1
168,2237,0.0,63.0,480.0,0.0,0,1,0,0
215,3850,983.0,100.0,360.0,1.0,1,0,0,1
589,2726,0.0,106.0,360.0,0.0,1,0,0,0
186,2178,0.0,66.0,300.0,0.0,1,0,1,0
552,3333,3250.0,158.0,360.0,1.0,1,0,1,1
30,4166,3369.0,201.0,360.0,1.0,1,0,1,0
197,1907,2365.0,120.0,360.0,1.0,0,1,0,1
505,3510,4416.0,243.0,360.0,1.0,1,0,0,1
