,Job tenure,Age,Car price,Funding amount,Down payment,Loan duration,Monthly payment,Credit event,Default (y)
0,34,55,4875,3087,0,36,0.04789473684210526,0,0
1,5,29,13000,13000,0,60,0.09166666666666666,0,1
2,14,38,17190,14190,0,60,0.08823529411764706,0,0
3,16,37,22773,23568,0,48,0.1100843712334271,0,0
4,1,61,7700,8526,0,48,0.1234042553191489,0,1
5,17,50,10250,5750,0,48,0.1101694915254237,0,0
6,8,45,8050,6050,0,48,0.06043478260869565,0,0
7,10,51,9950,9610,0,60,0.06974358974358974,0,0
8,1,28,3890,4306,0,36,0.07470588235294118,1,1
9,1,28,10790,11954,0,84,0.1108843537414966,0,1
10,6,36,15589,9366,0,48,0.08584589614740369,0,0
11,3,67,15990,15487,0,48,0.06,0,0
12,2,48,13400,11800,0,96,0.1808252427184466,0,0
13,5,39,25790,25901,0,60,0.09172126265634306,0,0
14,15,53,3400,3400,0,24,0.06772727272727273,1,0
15,1,30,18400,13169,0,36,0.5555555555555556,0,0
16,5,23,24250,20594,0,48,0.1633333333333333,0,0
17,3,22,9078,9909,0,60,0.09076923076923077,0,0
18,0,25,15990,17302,0,60,0.1584615384615385,0,0
19,44,60,13800,11808,0,72,0.07102040816326531,0,0
20,0,30,6990,5433,0,60,0.08169934640522876,0,1
21,8,32,16120,11448,0,60,0.05441860465116279,0,0
22,26,58,14990,10690,0,72,0.11,0,0
23,3,26,14140,4840,1,12,0.2985714285714286,0,0
24,10,61,8600,8600,0,36,0.1770034843205575,0,0
25,4,67,2986,2986,0,12,0.1953846153846154,0,0
26,44,61,19312,19312,0,72,0.1204,0,0
27,0,24,10990,10000,0,60,0.08357142857142857,0,0
28,5,51,13600,13600,0,48,0.02446428571428571,0,0
29,2,29,8200,7352,0,84,0.076103500761035,0,0
30,2,49,5950,5753,0,60,0.08917748917748917,0,0
31,9,71,22830,12330,0,36,0.06666666666666667,0,0
32,4,53,14900,13500,0,72,0.1085,0,0
33,14,41,16200,17569,0,60,0.09615384615384616,0,0
34,4,44,9289,9289,0,48,0.071,0,1
35,22,49,11000,10843,0,60,0.124282982791587,0,0
36,16,45,24000,25792,0,96,0.1048387096774194,0,1
37,25,58,18538,9273,0,60,0.05581395348837209,0,0
38,40,61,8400,8400,0,60,0.03422222222222222,0,0
39,6,36,17300,20403,0,84,0.06529382219989954,0,0
40,27,56,12049,13585,0,60,0.1363636363636364,0,0
41,21,40,6752,6752,0,36,0.05934455270150576,0,0
42,4,47,6990,7700,0,72,0.09968602825745683,0,0
43,15,52,27985,27985,0,72,0.1028235294117647,0,0
44,1,47,16500,14565,0,72,0.09043478260869565,0,0
45,1,22,8500,8500,0,48,0.05555555555555555,0,0
46,3,23,16250,13785,0,60,0.08555555555555555,0,0
47,3,49,6166,6841,0,60,0.09333333333333334,0,1
48,3,61,9710,9220,0,48,0.0625,0,0
49,0,30,7480,7978,0,36,0.1058823529411765,0,1
50,1,19,18990,20450,0,72,0.08064516129032258,0,1
51,2,22,13000,2500,1,12,0.122331217541835,0,0
52,30,58,35480,16000,0,60,0.0684964200477327,0,0
53,3,57,8900,4802,1,60,0.06206896551724138,0,0
54,1,28,6450,6404,0,36,0.1044133476856835,0,1
55,21,53,18990,18567,0,96,0.07890909090909091,0,0
56,12,46,5900,5750,0,60,0.04497816593886463,0,0
57,28,52,22990,15410,1,72,0.1335294117647059,0,0
58,15,56,11801,12500,1,60,0.05958188153310105,0,0
59,28,48,29139,9139,1,36,0.16875,0,0
60,7,71,11490,11490,0,72,0.1247619047619048,0,0
61,24,58,13500,11950,0,60,0.06265664160401002,0,0
62,4,23,19890,16747,0,48,0.1470588235294118,0,0
63,0,65,11490,7690,0,60,0.1490236382322713,0,0
64,0,22,14900,14900,0,60,0.2,0,0
65,9,36,19683,22848,0,72,0.08437892095357591,0,0
66,3,42,8899,6014,0,72,0.07615384615384616,0,0
67,7,27,12880,11292,0,48,0.1275,0,0
68,10,51,16900,17920,0,72,0.2092307692307692,0,0
69,0,53,13200,14383,0,36,0.1546153846153846,0,0
70,13,73,14950,10950,0,84,0.093125,0,0
71,2,27,8300,8300,0,72,0.07,0,0
72,1,50,17900,17900,0,60,0.1982352941176471,0,0
73,1,37,14700,7118,1,24,0.1275,0,0
74,10,74,7490,2490,1,12,0.1638461538461538,0,0
75,4,23,9000,8591,0,36,0.1946153846153846,0,0
76,0,34,16700,14886,0,60,0.1756410256410256,0,0
77,3,43,26179,29248,0,96,0.1433764135702746,0,0
78,16,63,7146,7146,0,36,0.1507142857142857,0,0
79,0,44,5839,6067,0,24,0.02547223812249571,0,0
80,16,38,14900,14900,0,48,0.07239130434782609,0,0
81,3,53,5690,5608,0,72,0.0525,0,1
82,4,37,28854,29000,0,72,0.1112280701754386,0,1
83,14,35,17960,14960,0,48,0.1,0,0
84,17,53,9800,9800,0,72,0.04131578947368421,0,0
85,0,33,8900,7400,0,60,0.07722222222222222,0,0
86,2,66,9500,11524,0,72,0.1521739130434783,1,1
87,8,47,9950,7950,0,48,0.04119973632168754,0,0
88,39,63,15990,13142,0,72,0.07933333333333334,0,0
