,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Loan_Status
284,20667,0.0,128.0,360.0,1.0,1,0
235,5500,1260.0,170.0,360.0,1.0,1,1
8,4006,1526.0,168.0,360.0,1.0,1,1
359,5167,3167.0,200.0,360.0,1.0,1,1
155,39999,0.0,600.0,180.0,0.0,1,1
602,5703,0.0,128.0,360.0,1.0,1,1
271,11146,0.0,136.0,360.0,1.0,1,1
432,12876,0.0,405.0,360.0,1.0,0,1
467,16692,0.0,110.0,360.0,1.0,1,1
180,6400,7250.0,180.0,360.0,0.0,1,0
126,23803,0.0,370.0,360.0,1.0,1,1
266,4708,1387.0,150.0,360.0,1.0,1,1
161,7933,0.0,275.0,360.0,1.0,1,0
192,6033,0.0,160.0,360.0,1.0,1,0
333,63337,0.0,490.0,180.0,1.0,1,1
324,15000,0.0,300.0,360.0,1.0,1,1
54,11500,0.0,286.0,360.0,0.0,1,0
585,4283,3000.0,172.0,84.0,1.0,1,0
539,6417,0.0,157.0,180.0,1.0,1,1
506,20833,6667.0,480.0,360.0,1.0,1,1
525,17500,0.0,400.0,360.0,1.0,1,1
594,16120,0.0,260.0,360.0,1.0,1,1
30,4166,3369.0,201.0,360.0,1.0,1,0
505,3510,4416.0,243.0,360.0,1.0,1,1
439,7142,0.0,138.0,360.0,1.0,1,1
523,7948,7166.0,480.0,360.0,1.0,1,1
596,6383,1000.0,187.0,360.0,1.0,1,0
135,4000,7750.0,290.0,360.0,1.0,1,0
108,3800,3600.0,216.0,360.0,0.0,1,0
574,6406,0.0,150.0,360.0,1.0,1,0
104,3816,754.0,160.0,360.0,1.0,1,1
227,6250,1695.0,210.0,360.0,1.0,1,1
25,9560,0.0,191.0,360.0,1.0,1,1
296,6875,0.0,200.0,360.0,1.0,1,1
83,6000,2250.0,265.0,360.0,1.0,1,0
118,5568,2142.0,175.0,360.0,1.0,1,0
564,8799,0.0,258.0,360.0,0.0,1,0
189,9328,0.0,188.0,180.0,1.0,1,1
557,10139,0.0,260.0,360.0,1.0,1,1
559,4180,2306.0,182.0,360.0,1.0,1,1
128,10513,3850.0,160.0,180.0,0.0,1,0
319,10000,0.0,155.0,360.0,1.0,1,0
443,37719,0.0,152.0,360.0,1.0,0,1
371,5185,0.0,155.0,360.0,1.0,1,1
350,9083,0.0,228.0,360.0,1.0,1,1
146,14866,0.0,70.0,360.0,1.0,1,1
260,6083,4250.0,330.0,360.0,1.0,1,1
140,5042,2083.0,185.0,360.0,1.0,1,0
502,4865,5624.0,208.0,360.0,1.0,1,1
334,9833,1833.0,182.0,180.0,1.0,1,1
74,5266,1774.0,187.0,360.0,1.0,1,1
5,5417,4196.0,267.0,360.0,1.0,1,1
47,5821,0.0,144.0,360.0,1.0,1,1
598,9963,0.0,180.0,360.0,1.0,1,1
591,6000,0.0,205.0,240.0,1.0,1,0
225,3250,0.0,170.0,360.0,1.0,1,0
115,14583,0.0,185.0,180.0,1.0,1,1
253,2661,7101.0,279.0,180.0,1.0,1,1
570,3417,1750.0,186.0,360.0,1.0,1,1
65,5726,4595.0,258.0,360.0,1.0,1,0
68,7100,0.0,125.0,60.0,1.0,1,1
21,5955,5625.0,315.0,360.0,1.0,1,1
236,5746,0.0,255.0,360.0,1.0,1,0
457,3708,2569.0,173.0,360.0,1.0,1,0
228,4758,0.0,158.0,480.0,1.0,1,1
459,8334,0.0,160.0,360.0,1.0,1,0
488,4583,2083.0,160.0,360.0,1.0,1,1
487,18333,0.0,500.0,360.0,1.0,1,0
411,6256,0.0,160.0,360.0,1.0,1,1
550,6633,0.0,128.0,360.0,0.0,1,0
572,16666,0.0,275.0,360.0,1.0,1,1
427,5935,0.0,133.0,360.0,1.0,1,1
163,4167,1447.0,158.0,360.0,1.0,1,1
325,8666,4983.0,376.0,360.0,0.0,1,0
478,16667,2250.0,86.0,360.0,1.0,1,1
278,14583,0.0,436.0,360.0,1.0,1,1
313,5746,0.0,144.0,84.0,1.0,1,1
226,4735,0.0,138.0,360.0,1.0,1,0
612,7583,0.0,187.0,360.0,1.0,1,1
89,5695,4167.0,175.0,360.0,1.0,1,1
475,16525,1014.0,150.0,360.0,1.0,1,1
34,12500,3000.0,320.0,360.0,1.0,0,0
412,6096,0.0,218.0,360.0,0.0,1,0
213,5703,0.0,130.0,360.0,1.0,1,1
