,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Loan_Status
272,2833,1857.0,126.0,360.0,1.0,0,1
201,4923,0.0,166.0,360.0,0.0,0,1
40,3600,0.0,80.0,360.0,1.0,0,0
312,2507,0.0,56.0,360.0,1.0,0,1
449,2769,1542.0,190.0,360.0,1.0,0,0
315,3399,1640.0,111.0,180.0,1.0,1,1
530,1025,5500.0,216.0,360.0,1.0,1,1
512,3283,2035.0,148.0,360.0,1.0,1,1
520,2192,1742.0,45.0,360.0,1.0,1,1
359,5167,3167.0,200.0,360.0,1.0,1,1
155,39999,0.0,600.0,180.0,0.0,1,1
232,3189,2598.0,120.0,360.0,1.0,0,1
188,674,5296.0,168.0,360.0,1.0,1,1
55,2708,1167.0,97.0,360.0,1.0,1,1
432,12876,0.0,405.0,360.0,1.0,0,1
460,2083,4083.0,160.0,360.0,1.0,1,1
126,23803,0.0,370.0,360.0,1.0,1,1
243,6250,1300.0,108.0,360.0,1.0,1,1
230,2491,2054.0,104.0,360.0,1.0,1,1
59,3357,2859.0,144.0,360.0,1.0,1,1
515,3466,3428.0,150.0,360.0,1.0,1,1
153,2281,0.0,113.0,360.0,1.0,1,0
266,4708,1387.0,150.0,360.0,1.0,1,1
161,7933,0.0,275.0,360.0,1.0,1,0
541,2138,0.0,99.0,360.0,0.0,0,0
333,63337,0.0,490.0,180.0,1.0,1,1
470,3450,2079.0,162.0,360.0,1.0,1,1
114,5050,0.0,118.0,360.0,1.0,0,1
558,3887,2669.0,162.0,360.0,1.0,1,1
584,2787,1917.0,146.0,360.0,0.0,1,0
54,11500,0.0,286.0,360.0,0.0,1,0
440,3660,5064.0,187.0,360.0,1.0,0,1
585,4283,3000.0,172.0,84.0,1.0,1,0
366,2500,0.0,96.0,480.0,1.0,0,0
539,6417,0.0,157.0,180.0,1.0,1,1
24,3717,2925.0,151.0,360.0,1.0,1,0
506,20833,6667.0,480.0,360.0,1.0,1,1
18,4887,0.0,133.0,360.0,1.0,1,0
448,3340,1710.0,150.0,360.0,0.0,1,0
87,2500,2118.0,104.0,360.0,1.0,1,1
445,3466,1210.0,130.0,360.0,1.0,1,1
525,17500,0.0,400.0,360.0,1.0,1,1
168,2237,0.0,63.0,480.0,0.0,0,0
215,3850,983.0,100.0,360.0,1.0,1,1
