Index,Cluster
272,0
284,2
556,0
127,0
201,0
40,0
606,1
235,2
16,0
8,2
312,0
389,1
449,0
315,1
493,0
428,1
530,1
79,1
407,0
512,1
520,1
134,0
359,2
57,1
155,2
232,0
188,1
602,2
55,1
271,2
211,1
492,0
432,2
460,1
467,2
180,2
126,2
243,1
331,0
230,1
59,1
515,1
153,1
266,2
355,0
161,2
541,0
419,1
192,2
333,2
470,1
114,0
280,0
558,1
324,2
584,1
338,0
218,1
400,1
54,2
440,0
585,2
366,0
229,0
539,2
24,1
365,0
506,2
465,0
18,1
448,1
399,0
87,1
445,1
595,0
525,2
387,1
168,0
51,0
215,1
589,1
594,2
186,1
552,1
193,0
529,0
30,2
66,0
197,0
339,0
505,2
429,0
439,2
523,2
583,1
479,1
596,2
15,0
269,0
568,0
317,1
340,1
345,1
233,0
135,2
437,1
377,1
610,1
490,0
532,0
554,1
108,2
574,2
251,0
104,2
514,0
347,1
450,1
358,1
227,2
25,2
136,1
49,0
296,2
241,1
174,1
46,1
404,0
203,1
303,1
548,0
83,2
118,2
462,1
166,1
564,2
189,2
557,2
509,0
92,1
261,0
138,0
56,1
464,0
88,0
401,0
528,0
139,1
291,1
288,0
23,1
164,1
578,1
559,2
128,2
346,1
240,1
319,2
410,0
262,0
98,1
482,1
443,2
537,0
436,0
202,1
3,1
371,2
350,2
456,1
146,2
310,0
19,1
501,0
260,2
298,0
378,0
190,0
384,1
576,1
196,0
140,2
82,1
502,2
382,0
84,1
334,2
575,1
179,0
99,1
451,1
74,2
7,1
402,1
273,1
279,1
154,0
586,1
191,0
551,1
592,0
555,1
50,1
38,0
208,0
5,2
75,0
248,1
47,2
302,0
70,1
598,2
591,2
225,2
286,0
11,1
522,1
150,0
397,1
115,2
281,1
253,2
195,1
570,2
65,2
434,0
403,0
219,1
362,1
69,0
93,0
68,2
21,2
77,1
577,0
458,0
236,2
457,2
314,1
125,0
228,2
415,0
42,1
4,0
459,2
64,0
488,2
109,1
255,0
567,1
205,0
487,2
147,1
6,1
524,0
290,1
390,0
418,1
386,0
447,1
411,2
259,1
282,1
122,0
78,1
550,2
320,1
572,2
151,1
375,1
299,1
427,2
163,2
499,0
396,0
325,2
265,0
531,1
478,2
513,1
301,1
278,2
143,1
438,0
442,0
199,0
41,0
430,0
553,1
547,0
364,0
231,1
245,0
313,2
167,1
332,0
494,1
466,1
263,0
29,0
238,0
250,1
162,1
149,1
226,2
353,1
533,0
94,0
612,2
221,1
85,0
388,1
187,1
89,2
475,2
34,2
217,1
72,0
305,0
220,1
453,1
534,0
395,1
394,1
110,0
367,0
412,2
12,1
343,1
198,1
213,2
579,0
234,1
571,2
420,2
431,0
516,1
216,1
96,1
461,2
469,1
297,1
63,1
222,0
452,1
95,0
13,0
327,2
435,2
17,0
521,0
246,2
543,1
608,1
207,0
90,1
307,0
341,0
380,1
417,1
344,1
471,1
491,2
351,2
600,1
39,0
86,1
181,0
562,2
580,2
145,1
158,0
172,1
526,1
527,2
408,2
517,1
200,1
426,0
381,0
292,1
348,2
71,1
604,2
569,1
32,0
549,1
603,0
106,2
489,0
546,0
542,0
133,1
60,1
26,1
100,1
363,1
309,2
252,0
481,1
441,2
476,2
22,1
62,1
148,0
483,2
588,0
257,1
52,0
242,0
173,2
35,1
178,1
120,2
275,1
44,1
300,1
76,0
368,2
212,2
267,2
311,0
444,1
503,1
495,1
33,1
9,2
160,1
285,0
295,1
277,1
563,0
484,2
496,1
182,1
590,1
36,1
156,2
2,1
508,1
497,1
308,2
289,0
560,1
414,1
421,0
141,0
223,2
183,2
599,2
511,2
117,1
1,1
113,0
593,1
165,2
184,1
372,2
274,1
0,0
566,0
540,1
500,0
383,0
405,0
561,2
20,2
176,1
335,1
379,2
545,1
171,2
519,0
507,0
152,0
413,1
581,1
316,1
258,2
474,0
337,1
538,1
504,1
398,0
423,1
605,1
480,0
422,1
119,0
256,0
249,1
