,Job tenure,Age,Car price,Funding amount,Default (y)
4362,24,82,6680,6300,0
4727,23,77,13960,12981,0
2644,24,61,9243,10285,1
6734,1,48,15990,6080,0
3197,4,62,4990,5447,0
1614,5,49,4450,5061,1
6400,31,53,5900,5900,0
3424,1,64,16790,13790,0
443,17,83,12490,12490,1
2407,5,56,28485,11881,0
1701,1,52,9990,9990,0
654,16,36,11999,9638,0
5077,28,52,12800,6443,0
7384,4,46,9000,8200,1
4245,2,67,3300,3917,0
6165,5,71,11054,11054,0
915,2,50,5700,3830,0
2669,17,70,6700,5300,0
6992,26,46,9990,6999,0
3768,23,41,10990,10990,0
2689,28,58,11060,10270,0
1562,5,51,11149,13334,0
6766,4,58,10350,11087,0
6426,2,67,16339,19779,0
2516,8,50,13485,10385,0
5288,3,68,21377,19541,1
6013,23,50,10900,4689,0
5768,3,43,6887,6887,0
3662,11,71,2830,2830,0
6218,11,41,6390,4000,0
336,3,76,12990,14471,1
4834,1,49,4550,4390,1
6105,1,46,5382,5726,0
4228,31,48,28390,14390,0
3752,27,55,17550,7350,0
1041,32,57,5254,5547,0
3837,6,56,12200,12073,1
783,11,61,14590,24245,0
5740,18,54,5971,6138,0
1580,3,41,5600,1501,0
506,19,60,7350,7500,0
3102,11,46,4084,4342,0
88,39,63,15990,13142,0
2664,11,58,22080,21643,0
3583,18,73,3659,3659,0
5532,20,53,11650,11650,0
6695,0,57,10990,8490,0
1730,18,51,25700,19800,0
2283,9,51,11980,11980,0
1033,19,49,9000,9650,0
4125,22,63,16650,15804,0
414,30,54,23521,13957,0
751,22,60,10490,12019,1
3892,29,49,21900,3833,1
7207,13,67,7900,9847,1
4489,0,63,6800,3800,0
2577,35,58,7207,7598,0
1446,7,68,6400,4025,0
180,12,59,27219,20219,0
4032,4,66,12990,12990,0
7348,16,48,11040,11967,0
2418,25,55,4140,4140,0
1223,11,49,15990,11570,0
6529,18,45,7870,9454,0
68,10,51,16900,17920,0
198,13,48,10360,10094,0
5891,6,56,15990,15490,0
4436,10,60,11200,5200,0
325,7,49,7980,6480,1
1083,14,75,4899,4899,0
5684,34,50,31915,29407,0
2820,26,46,16990,15034,0
4128,19,38,5890,6400,0
84,17,53,9800,9800,0
5170,4,53,12138,13274,1
1616,8,67,8590,9071,0
108,4,51,7680,8897,0
5992,29,51,5300,5215,1
3114,9,53,13980,15077,0
6314,8,51,15900,12897,0
5702,16,62,9950,11553,1
5542,32,58,13500,6909,0
2447,26,58,13900,8934,0
3532,15,48,5000,4000,0
644,21,76,13150,8350,0
7316,20,47,6900,6464,0
3405,21,49,29710,21710,0
7389,3,68,14790,6790,0
6579,8,49,6155,6743,0
6050,11,72,10490,10490,0
3661,2,45,7900,6519,0
5325,5,54,10630,12232,1
7323,7,59,9035,9742,0
4998,13,75,9850,9068,0
5162,14,59,11290,11359,0
4538,14,52,13100,12992,0
744,4,54,7495,6758,0
3995,1,55,6990,6990,1
1432,2,47,12110,8710,0
5321,25,51,3608,3608,0
3207,5,52,5825,4825,0
4371,25,49,14623,14623,0
6382,24,45,7990,9447,0
3407,22,45,20970,10785,0
2550,16,58,6000,6854,1
6301,14,55,23719,22720,0
4526,20,53,12300,10300,0
3276,28,51,14900,10000,0
1357,15,66,5901,5901,0
748,0,57,12990,14674,1
1157,4,59,12909,12011,1
5333,9,39,9510,3769,0
3346,25,42,11490,6640,0
4684,12,69,22126,12193,0
7321,9,69,11885,12000,0
4733,13,49,5924,6368,0
2146,29,57,4990,4249,0
4480,11,50,9700,5037,0
461,18,55,9331,10336,0
3641,1,55,18100,6100,0
4343,25,51,23600,14645,0
1539,21,50,4750,4750,0
7223,17,62,12500,9125,0
2602,27,52,9990,5990,0
2885,19,46,22702,16951,0
1451,26,56,8500,8891,0
5613,36,60,10379,8984,0
1723,12,55,3696,3865,1
1526,0,63,5698,6358,0
1847,16,35,5800,6255,0
4213,2,64,10250,9109,0
6133,7,60,5360,1948,0
838,15,36,8048,8048,0
5339,11,52,19249,22019,0
5291,15,77,9259,3259,0
7014,3,67,12000,10000,0
1277,30,56,11050,11050,0
6076,25,49,14990,16300,0
7060,2,58,19680,12825,0
5433,7,65,5490,5915,0
3615,35,52,12000,13078,0
4507,6,47,12359,14067,0
4504,16,38,5500,3500,0
2207,28,51,12000,12144,0
1199,28,49,28000,18000,0
3098,7,54,18760,15760,0
2266,18,49,14600,7086,0
1773,6,58,2791,2791,0
1954,20,43,17000,17000,0
5834,4,67,16359,14359,0
2851,10,48,5895,5319,0
295,7,58,4643,4894,0
500,1,56,7950,6950,1
2299,10,72,8990,7490,1
485,17,62,5890,6567,0
3536,4,54,12173,12173,0
3143,6,56,5037,5037,0
1587,9,75,19990,9990,0
2934,29,57,4940,5171,0
6460,3,50,7900,8469,0
6600,5,67,12990,9024,0
2123,4,67,6500,3131,0
5823,15,45,16900,4400,0
3237,1,64,26500,20100,0
3164,23,54,7039,4792,0
2841,0,64,20990,22486,1
6662,2,58,11490,12948,0
6004,39,60,20666,21147,0
1366,31,58,30685,24929,0
5002,10,74,11800,12241,0
5038,7,49,5239,5693,0
2540,2,45,6250,4945,0
2570,17,54,9900,8008,0
1672,23,57,13500,13500,0
4877,15,58,11950,9795,0
7071,8,59,10109,10238,0
2232,25,56,8375,9174,0
134,19,56,19160,15538,0
5681,34,51,9460,2009,0
4630,3,45,11290,2290,0
1292,18,51,11490,12595,0
3815,7,44,12000,10700,0
2100,19,62,14490,12105,0
1480,26,56,9000,9739,0
5624,5,69,9500,9500,1
1545,8,61,8238,8238,0
5013,28,82,6780,5280,1
41,21,40,6752,6752,0
430,11,73,14990,14500,0
3274,1,49,2718,2890,1
3032,18,45,9276,9276,1
4290,28,58,15069,11184,0
5395,34,51,14990,4490,0
283,10,71,2775,2804,1
970,23,40,13970,13970,0
2815,30,55,15350,12350,0
3656,26,55,18402,3500,0
706,11,76,6900,7407,1
4567,19,43,12282,14016,1
1056,26,50,12850,9750,0
1444,23,45,8990,9936,0
5461,33,54,12430,14009,0
5189,28,47,9380,9380,0
1803,3,67,12705,12828,0
3094,7,55,7990,7990,1
3289,1,60,5500,4500,0
4004,36,58,17165,6855,0
5602,3,55,16490,16490,1
1078,35,52,19025,9806,0
25,4,67,2986,2986,0
1201,18,39,14300,5800,0
1728,7,66,9659,9758,1
1720,14,54,24136,23136,0
6690,5,47,8456,10114,1
978,7,67,12200,12200,0
5784,25,46,18650,14650,0
4113,4,57,5012,5282,0
348,24,52,5990,3490,0
3809,5,78,11940,12676,1
1025,6,71,11990,9490,0
2646,4,54,15180,14180,0
211,24,43,23000,9000,0
2248,4,49,5300,4800,0
4803,7,56,9850,9767,0
2897,8,51,10480,9778,0
4103,9,50,4490,4490,0
4692,19,57,19990,15781,0
4506,14,73,9750,10114,0
1535,22,47,11318,11318,0
7141,7,71,7950,7000,1
511,12,76,6711,7149,1
701,30,50,9990,4990,0
298,24,47,15030,15158,0
7271,13,60,8500,8500,0
1589,11,42,6390,6413,0
5132,17,70,10500,10932,0
3477,15,56,10650,8531,0
2166,9,52,20204,3285,0
736,5,67,14488,11627,0
2445,12,54,9990,11686,1
276,15,53,7000,6471,0
4028,2,65,10895,11455,0
5349,17,76,8173,8173,0
6929,20,41,13990,16557,0
4367,15,42,4529,4864,0
1096,50,70,15990,12990,0
2676,4,66,10940,5158,1
4554,17,36,13849,10849,0
3544,22,42,14665,16068,0
79,0,44,5839,6067,0
6907,11,76,18200,14800,0
611,14,72,9540,7654,0
658,6,45,8500,8191,0
1817,5,51,15040,10500,0
1610,13,51,13990,4690,0
1192,16,43,10740,10740,0
803,30,56,10403,10889,0
6178,11,43,13990,13990,0
3929,12,47,13500,9800,0
1533,12,51,21200,10722,0
2868,10,49,9950,9950,0
3473,4,51,12480,10422,0
5957,29,61,12844,14020,0
5418,24,60,16500,13500,0
6567,5,57,10850,7537,1
321,26,46,15300,17384,0
4404,2,55,15487,16361,0
6462,1,66,5287,5287,1
4110,0,58,8100,8567,0
2789,7,70,19377,16377,0
4080,35,55,23723,12548,0
5110,1,64,9500,8500,0
6589,30,53,9900,8400,0
5171,8,55,11395,8879,0
5455,6,49,16250,10380,0
2972,15,49,11790,12564,0
6592,3,65,9990,8490,0
3685,2,65,4625,5006,0
1519,15,46,15284,5404,0
7302,8,45,11090,9090,0
6299,2,54,11532,11532,0
203,1,62,7980,6480,0
415,17,48,8000,3273,0
6062,26,54,13300,14149,0
3667,17,67,18500,18500,0
397,16,52,17849,8446,0
1105,4,60,5300,5806,1
4127,9,77,19990,19990,1
5277,14,49,16500,14821,0
6066,0,55,11299,8799,0
4085,33,49,19630,13532,0
4722,12,40,8990,9828,1
5804,16,77,5350,5350,0
599,14,52,14200,13945,0
5628,9,70,21300,18300,1
3592,10,68,9990,10482,0
4668,15,47,10800,9634,0
4303,9,55,4775,2575,0
355,24,60,13040,16481,0
3210,1,47,10490,6490,0
2765,20,43,10990,5990,0
6658,15,49,4490,4879,0
4302,5,55,5570,6350,0
621,19,46,10450,10237,0
5282,20,39,8395,5818,0
5967,13,68,6170,3859,0
59,28,48,29139,9139,0
5921,11,74,18740,18838,1
3994,4,59,16950,15816,0
6595,4,49,8990,9829,0
2323,16,44,10580,9580,0
3425,22,61,5500,2791,0
4264,16,55,3032,3032,1
3043,19,58,6437,6635,0
996,37,57,15790,14590,1
6140,5,57,15990,15318,0
3905,2,65,16900,16847,0
3434,1,53,7748,1544,0
1340,21,38,23580,13580,0
3680,20,46,4810,2391,0
4625,7,45,8995,6995,0
2787,13,47,6715,6991,0
937,4,50,15800,12000,0
3001,8,50,11390,9390,0
7425,9,38,4502,4856,1
1051,2,49,8651,10211,0
3297,6,45,4490,4842,0
1767,26,48,8470,2470,0
5243,42,60,9990,11641,0
7067,5,41,9100,4415,0
4861,16,56,10418,10418,0
3218,5,65,8490,8521,0
6026,14,75,8300,5300,0
5281,37,57,13490,11990,0
192,36,56,21400,15925,0
1426,4,59,28180,19458,0
3306,23,50,21260,21900,0
4917,10,70,11985,2134,0
4017,38,63,6200,5565,0
4525,20,80,6862,6862,0
4450,11,50,6500,6128,0
5629,6,50,5100,5100,0
3107,45,65,7186,7769,0
2373,26,43,7200,6208,0
7092,3,48,9841,10901,0
2781,1,44,10840,5719,0
3431,21,47,10500,3200,0
678,3,54,4790,2240,0
4774,0,49,12990,10076,0
5746,23,46,6968,7503,0
32,4,53,14900,13500,0
4726,23,49,21989,21989,0
469,18,77,7299,7299,1
