,Job tenure,Age,Car price,Funding amount,Down payment,Loan duration,Default (y)
625,2,22,8900,8900,0,60,1
2796,0,55,10400,9400,0,72,0
101,1,40,15990,14990,0,60,1
4767,5,43,19999,23233,0,72,0
2018,1,26,11800,4298,1,24,0
5465,3,21,10090,11948,0,60,0
4126,14,52,9400,9400,0,24,0
6077,4,58,11504,12041,0,36,0
1783,5,58,20660,22237,0,60,0
2864,0,20,22990,25703,0,96,1
7087,0,61,6500,6500,0,36,0
2578,13,53,5388,5589,0,48,0
5659,4,37,9900,10172,0,60,0
5362,3,22,18990,17490,0,60,1
1893,20,66,13385,9485,0,48,0
1175,1,50,6350,6350,0,48,0
1025,6,71,11990,9490,0,72,0
3078,3,48,19250,19250,0,60,0
3653,13,58,18900,8900,1,72,0
7347,1,35,21400,7680,1,48,0
1511,10,74,3860,2663,0,24,0
773,17,77,5190,5150,0,36,0
1024,4,26,20990,22381,0,72,0
4545,0,40,3990,2213,0,24,1
1047,0,50,7990,5827,0,60,0
6579,8,49,6155,6743,0,72,0
4679,15,54,7790,7790,0,60,0
1176,5,51,8536,9490,0,60,0
965,26,42,15250,7625,0,24,0
7284,2,20,16877,17016,0,72,1
132,10,76,4764,4764,0,24,1
1992,25,54,20450,16837,0,72,0
6020,1,54,33485,26485,0,96,0
4253,23,50,8650,5150,1,60,0
6237,3,24,7790,8629,0,60,1
6368,24,83,9850,2592,1,12,0
1321,8,51,9540,7113,0,60,0
3095,5,38,14495,10317,0,60,0
6569,11,61,15900,10900,0,48,0
5880,3,32,9650,7850,0,48,0
1634,20,57,4600,4812,0,36,0
2927,4,30,22450,24689,0,72,0
3879,0,64,4240,4832,0,48,1
2138,10,26,12000,12000,0,48,0
1665,1,66,7896,7896,0,60,0
5337,3,23,6480,7055,0,36,0
2858,5,49,15700,14950,0,72,0
856,4,21,9985,10114,0,96,0
1414,27,74,10985,8101,0,72,0
1420,1,52,3750,2750,0,36,0
1721,21,49,13550,14866,0,60,0
1702,1,28,7656,8354,0,60,1
733,8,82,25990,23315,0,60,0
3954,2,30,9246,9725,0,36,0
7129,22,65,9596,10497,0,60,0
1945,2,20,7990,7955,0,72,0
2952,2,67,8980,8980,0,60,0
319,12,37,9990,12131,0,96,0
3463,0,28,10250,8100,0,96,0
4819,0,20,7000,7606,0,60,0
5306,0,50,7551,8125,0,48,0
7425,9,38,4502,4856,0,48,1
4995,0,39,9579,12756,0,96,0
3077,9,61,7700,8098,0,36,0
3844,4,27,10000,3615,1,24,0
1545,8,61,8238,8238,0,36,0
6980,7,44,19400,21018,0,60,1
5014,34,51,3075,3075,0,36,0
6888,3,50,10000,9799,0,60,0
4918,19,53,16500,15856,0,60,0
3767,12,61,5290,5424,0,36,0
1941,10,31,10500,7000,0,48,0
6518,34,55,24190,16850,0,60,0
1488,2,50,14319,14319,0,72,0
3341,1,37,24900,26597,0,60,0
2877,1,20,6400,6940,0,60,1
7275,19,49,19118,19118,0,72,0
6253,40,66,16150,14104,0,60,0
5218,6,42,9990,10124,0,72,0
6000,5,31,21895,24053,0,72,1
3538,18,40,9300,6272,0,60,0
3089,2,35,11200,12433,0,96,0
5885,1,46,11250,13360,0,84,0
2842,0,21,18970,19417,0,60,1
4812,1,65,5800,4300,0,60,0
4149,0,49,16450,16450,0,60,0
5341,0,23,13980,13980,0,60,1
2221,1,30,11750,10965,0,48,0
7167,6,34,7190,7951,0,36,0
6869,4,39,12500,12500,0,60,0
1142,5,35,10105,11339,0,96,1
1168,1,27,17069,20660,0,96,1
332,48,64,13620,9000,0,12,0
586,1,28,10990,10990,0,72,0
7288,6,59,13880,11077,0,60,0
408,9,43,10520,5340,0,24,0
37,25,58,18538,9273,0,60,0
61,24,58,13500,11950,0,60,0
6179,8,26,7970,8709,0,72,0
1731,5,70,14200,5000,1,24,0
7203,7,55,21524,21524,0,72,0
2879,1,28,20039,21680,0,60,0
1188,7,50,13500,13677,0,72,0
4407,4,33,9890,8227,0,60,0
6840,15,38,12485,11184,0,48,0
4559,1,44,13000,11952,0,60,1
6274,22,62,9790,5480,1,36,0
7110,2,26,12990,6990,0,24,0
95,10,51,18500,20378,0,72,0
5781,6,53,6000,6000,0,36,0
