,Job tenure,Age,Car price,Default (y)
4362,24,82,6680,0
3464,0,22,24421,1
4727,23,77,13960,0
1614,5,49,4450,1
3554,1,21,11987,1
6400,31,53,5900,0
3408,8,32,10000,0
5048,2,21,12790,1
421,2,42,9800,1
538,5,27,17877,1
6409,0,22,16000,1
4655,3,19,14560,1
1255,6,26,12000,0
654,16,36,11999,0
319,12,37,9990,0
4384,9,28,22910,0
5077,28,52,12800,0
5064,2,26,10000,1
2652,3,32,13100,1
4608,0,24,6950,1
7384,4,46,9000,1
2669,17,70,6700,0
6992,26,46,9990,0
3768,23,41,10990,0
2689,28,58,11060,0
2516,8,50,13485,0
5288,3,68,21377,1
6013,23,50,10900,0
3662,11,71,2830,0
6218,11,41,6390,0
336,3,76,12990,1
4834,1,49,4550,1
741,0,22,4600,1
4228,31,48,28390,0
3752,27,55,17550,0
5231,1,23,14269,1
1041,32,57,5254,0
2883,9,40,11990,0
783,11,61,14590,0
5244,1,43,19900,1
7322,7,35,30500,0
5740,18,54,5971,0
2509,0,27,14110,1
506,19,60,7350,0
3102,11,46,4084,0
88,39,63,15990,0
1168,1,27,17069,1
2664,11,58,22080,0
3583,18,73,3659,0
5532,20,53,11650,0
1730,18,51,25700,0
3704,2,32,10490,1
2283,9,51,11980,0
1033,19,49,9000,0
6223,15,50,27590,0
4125,22,63,16650,0
6560,1,22,25040,1
414,30,54,23521,0
118,3,20,22586,1
5698,3,32,6550,1
2577,35,58,7207,0
809,15,34,10990,0
1446,7,68,6400,0
180,12,59,27219,0
1181,3,23,15317,1
7348,16,48,11040,0
7226,6,31,5674,0
2418,25,55,4140,0
1223,11,49,15990,0
6529,18,45,7870,0
68,10,51,16900,0
198,13,48,10360,0
5891,6,56,15990,0
2526,1,38,12950,1
4436,10,60,11200,0
3593,1,31,24990,1
1083,14,75,4899,0
5684,34,50,31915,0
2820,26,46,16990,0
4128,19,38,5890,0
84,17,53,9800,0
5170,4,53,12138,1
1616,8,67,8590,0
218,0,22,17890,1
3114,9,53,13980,0
2799,2,22,12500,1
625,2,22,8900,1
2697,1,35,17490,1
6314,8,51,15900,0
3411,5,54,18880,1
5542,32,58,13500,0
2447,26,58,13900,0
3532,15,48,5000,0
644,21,76,13150,0
6960,6,25,10513,0
7316,20,47,6900,0
3405,21,49,29710,0
2439,7,39,12800,0
6579,8,49,6155,0
6050,11,72,10490,0
6563,1,39,9790,1
1370,1,61,24135,1
5325,5,54,10630,1
5782,4,20,21990,1
7323,7,59,9035,0
4998,13,75,9850,0
648,0,20,10990,1
5162,14,59,11290,0
4538,14,52,13100,0
3995,1,55,6990,1
5321,25,51,3608,0
1598,0,19,27250,1
4371,25,49,14623,0
1831,9,41,36159,0
6382,24,45,7990,0
3407,22,45,20970,0
6301,14,55,23719,0
4526,20,53,12300,0
3276,28,51,14900,0
533,8,30,22650,0
1357,15,66,5901,0
748,0,57,12990,1
1157,4,59,12909,1
1127,2,39,21970,1
5333,9,39,9510,0
3346,25,42,11490,0
4684,12,69,22126,0
7321,9,69,11885,0
4733,13,49,5924,0
2132,7,29,17290,0
2146,29,57,4990,0
4480,11,50,9700,0
461,18,55,9331,0
3248,7,26,22700,0
1073,3,41,12078,1
4343,25,51,23600,0
1539,21,50,4750,0
7223,17,62,12500,0
2436,7,28,11990,0
2602,27,52,9990,0
5480,14,30,20850,0
2885,19,46,22702,0
1451,26,56,8500,0
3491,7,23,13844,0
5613,36,60,10379,0
4011,2,34,8115,1
7199,8,35,9900,0
1847,16,35,5800,0
3439,9,35,9300,0
6605,8,27,15899,0
6133,7,60,5360,0
838,15,36,8048,0
5339,11,52,19249,0
1222,10,39,16400,0
5291,15,77,9259,0
1277,30,56,11050,0
6044,5,49,17500,1
6076,25,49,14990,0
7183,2,45,12978,1
5433,7,65,5490,0
3615,35,52,12000,0
4507,6,47,12359,0
4504,16,38,5500,0
2207,28,51,12000,0
1199,28,49,28000,0
3098,7,54,18760,0
2266,18,49,14600,0
1773,6,58,2791,0
1954,20,43,17000,0
2851,10,48,5895,0
1659,12,41,21300,0
295,7,58,4643,0
6923,2,41,7990,1
500,1,56,7950,1
485,17,62,5890,0
3143,6,56,5037,0
2404,0,19,10669,1
1587,9,75,19990,0
2934,29,57,4940,0
287,12,34,17500,0
2955,5,28,10500,1
5823,15,45,16900,0
3164,23,54,7039,0
2841,0,64,20990,1
6004,39,60,20666,0
1366,31,58,30685,0
5002,10,74,11800,0
5038,7,49,5239,0
6116,2,29,22850,1
2892,4,31,12790,1
862,0,18,19898,1
2570,17,54,9900,0
2552,10,49,23448,0
1672,23,57,13500,0
4877,15,58,11950,0
7071,8,59,10109,0
2232,25,56,8375,0
3167,16,47,25000,0
134,19,56,19160,0
5681,34,51,9460,0
1292,18,51,11490,0
3815,7,44,12000,0
2100,19,62,14490,0
1480,26,56,9000,0
5624,5,69,9500,1
1545,8,61,8238,0
41,21,40,6752,0
4041,9,33,24885,0
430,11,73,14990,0
3274,1,49,2718,1
4290,28,58,15069,0
1700,0,31,9119,1
5395,34,51,14990,0
970,23,40,13970,0
6708,7,41,13900,0
2815,30,55,15350,0
3656,26,55,18402,0
3362,2,18,7770,1
1647,6,29,7078,0
1334,1,26,7400,1
1056,26,50,12850,0
6203,1,36,9690,1
1444,23,45,8990,0
5461,33,54,12430,0
5189,28,47,9380,0
227,1,52,19350,1
4004,36,58,17165,0
5602,3,55,16490,1
1078,35,52,19025,0
3454,2,54,16390,1
6612,10,41,13980,0
6098,1,43,15890,1
1201,18,39,14300,0
1720,14,54,24136,0
6690,5,47,8456,1
978,7,67,12200,0
5784,25,46,18650,0
348,24,52,5990,0
3809,5,78,11940,1
1025,6,71,11990,0
1918,0,24,8800,1
211,24,43,23000,0
4803,7,56,9850,0
2897,8,51,10480,0
2410,0,19,6290,1
4103,9,50,4490,0
4692,19,57,19990,0
4506,14,73,9750,0
1535,22,47,11318,0
7141,7,71,7950,1
701,30,50,9990,0
298,24,47,15030,0
7271,13,60,8500,0
1589,11,42,6390,0
4498,0,37,12490,1
3666,6,28,8600,0
5132,17,70,10500,0
3477,15,56,10650,0
2166,9,52,20204,0
276,15,53,7000,0
2895,6,43,18567,0
5349,17,76,8173,0
6929,20,41,13990,0
4367,15,42,4529,0
1096,50,70,15990,0
6370,0,33,29990,1
4704,0,46,11490,1
2676,4,66,10940,1
4554,17,36,13849,0
3544,22,42,14665,0
6907,11,76,18200,0
611,14,72,9540,0
6904,9,28,5961,0
658,6,45,8500,0
1610,13,51,13990,0
1192,16,43,10740,0
803,30,56,10403,0
6178,11,43,13990,0
2805,6,26,9700,0
3929,12,47,13500,0
1533,12,51,21200,0
2868,10,49,9950,0
2842,0,21,18970,1
3290,0,49,26926,1
5957,29,61,12844,0
1661,1,44,12000,1
5418,24,60,16500,0
6567,5,57,10850,1
1793,14,36,29493,0
321,26,46,15300,0
7070,12,39,23980,0
6462,1,66,5287,1
2651,12,34,8500,0
2789,7,70,19377,0
4080,35,55,23723,0
1921,3,42,8140,1
6589,30,53,9900,0
5171,8,55,11395,0
